"province","year","fuel","pct"
"AH",1971,"gas",0
"AH",1971,"refined liquids",0
"AH",1972,"gas",0
"AH",1972,"refined liquids",0
"AH",1973,"gas",0
"AH",1973,"refined liquids",0
"AH",1974,"gas",0
"AH",1974,"refined liquids",0
"AH",1975,"gas",0
"AH",1975,"refined liquids",0
"AH",1976,"gas",0
"AH",1976,"refined liquids",0
"AH",1977,"gas",0
"AH",1977,"refined liquids",0
"AH",1978,"gas",0
"AH",1978,"refined liquids",0
"AH",1979,"gas",0
"AH",1979,"refined liquids",0
"AH",1980,"gas",0
"AH",1980,"refined liquids",0
"AH",1981,"gas",0
"AH",1981,"refined liquids",0
"AH",1982,"gas",0
"AH",1982,"refined liquids",0
"AH",1983,"gas",0
"AH",1983,"refined liquids",0
"AH",1984,"gas",0
"AH",1984,"refined liquids",0
"AH",1985,"gas",0
"AH",1985,"refined liquids",0.0120700647242897
"AH",1986,"gas",0
"AH",1986,"refined liquids",0.0118090392472623
"AH",1987,"gas",0
"AH",1987,"refined liquids",0.01152886029305
"AH",1988,"gas",0
"AH",1988,"refined liquids",0.0112514760461743
"AH",1989,"gas",0
"AH",1989,"refined liquids",0.0109768448994996
"AH",1990,"gas",0
"AH",1990,"refined liquids",0.0106592667523452
"AH",1991,"gas",0
"AH",1991,"refined liquids",0.0100757666377374
"AH",1992,"gas",0
"AH",1992,"refined liquids",0.0094890280562454
"AH",1993,"gas",0
"AH",1993,"refined liquids",0.00889902397226434
"AH",1994,"gas",0
"AH",1994,"refined liquids",0.00830572704841529
"AH",1995,"gas",0.0128629269873202
"AH",1995,"refined liquids",0.0076718526160638
"AH",1996,"gas",0.0313869487417741
"AH",1996,"refined liquids",0.0105557610324358
"AH",1997,"gas",0.0345381470331442
"AH",1997,"refined liquids",0.00887194904116772
"AH",1998,"gas",0.0620029265213712
"AH",1998,"refined liquids",0.00169052657521453
"AH",1999,"gas",0.0753734242826166
"AH",1999,"refined liquids",0.00217935383076763
"AH",2000,"gas",0.0969595357255269
"AH",2000,"refined liquids",0.00144422698659664
"AH",2001,"gas",0.0902467485504594
"AH",2001,"refined liquids",0.00105473339843115
"AH",2002,"gas",0.0998027720650947
"AH",2002,"refined liquids",0.000965351733399881
"AH",2003,"gas",0.0948319350532875
"AH",2003,"refined liquids",0.00171017817088157
"AH",2004,"gas",0.0722140899329637
"AH",2004,"refined liquids",0.00179672460820407
"AH",2005,"gas",0.0650917651725732
"AH",2005,"refined liquids",0.0026720818982097
"AH",2006,"gas",0.0295059319438395
"AH",2006,"refined liquids",0.00459927622845843
"AH",2007,"gas",0.0335004121854567
"AH",2007,"refined liquids",0.00395546692796802
"AH",2008,"gas",0.0142198044009808
"AH",2008,"refined liquids",0.00281780692542106
"AH",2009,"gas",0.000650321454424379
"AH",2009,"refined liquids",0.00560621717730323
"AH",2010,"gas",0.00112150033214327
"AH",2010,"refined liquids",0.00280108981187689
"AH",2011,"gas",0.00192046025498859
"AH",2011,"refined liquids",0.00601701625493258
"AH",2012,"gas",0.00285556932608327
"AH",2012,"refined liquids",0.00622244082732396
"AH",2013,"gas",0.00725820999750171
"AH",2013,"refined liquids",0.00798042395779366
"AH",2014,"gas",0.00598559803306304
"AH",2014,"refined liquids",0.00377608165610532
"AH",2015,"gas",0.00598559803306304
"AH",2015,"refined liquids",0.00377608165610532
"BJ",1971,"gas",0
"BJ",1971,"refined liquids",0
"BJ",1972,"gas",0
"BJ",1972,"refined liquids",0
"BJ",1973,"gas",0
"BJ",1973,"refined liquids",0
"BJ",1974,"gas",0
"BJ",1974,"refined liquids",0
"BJ",1975,"gas",0
"BJ",1975,"refined liquids",0
"BJ",1976,"gas",0
"BJ",1976,"refined liquids",0
"BJ",1977,"gas",0
"BJ",1977,"refined liquids",0
"BJ",1978,"gas",0
"BJ",1978,"refined liquids",0
"BJ",1979,"gas",0
"BJ",1979,"refined liquids",0
"BJ",1980,"gas",0
"BJ",1980,"refined liquids",0
"BJ",1981,"gas",0
"BJ",1981,"refined liquids",0
"BJ",1982,"gas",0
"BJ",1982,"refined liquids",0
"BJ",1983,"gas",0
"BJ",1983,"refined liquids",0
"BJ",1984,"gas",0
"BJ",1984,"refined liquids",0
"BJ",1985,"gas",0
"BJ",1985,"refined liquids",0.0777380012176827
"BJ",1986,"gas",0
"BJ",1986,"refined liquids",0.0762041753743556
"BJ",1987,"gas",0
"BJ",1987,"refined liquids",0.0745455134808259
"BJ",1988,"gas",0
"BJ",1988,"refined liquids",0.0729033962795122
"BJ",1989,"gas",0
"BJ",1989,"refined liquids",0.0712775774558024
"BJ",1990,"gas",0
"BJ",1990,"refined liquids",0.0693706640674416
"BJ",1991,"gas",0
"BJ",1991,"refined liquids",0.062555469379377
"BJ",1992,"gas",0
"BJ",1992,"refined liquids",0.0557024498790223
"BJ",1993,"gas",0
"BJ",1993,"refined liquids",0.0488112897945263
"BJ",1994,"gas",0
"BJ",1994,"refined liquids",0.0418816698293634
"BJ",1995,"gas",0
"BJ",1995,"refined liquids",0.0347445362821907
"BJ",1996,"gas",0
"BJ",1996,"refined liquids",0.0291827388977697
"BJ",1997,"gas",0
"BJ",1997,"refined liquids",0.0307697503931102
"BJ",1998,"gas",0
"BJ",1998,"refined liquids",0.0280468869930618
"BJ",1999,"gas",0
"BJ",1999,"refined liquids",0.0239911993473949
"BJ",2000,"gas",0
"BJ",2000,"refined liquids",0.0167358449320121
"BJ",2001,"gas",0.078938887938487
"BJ",2001,"refined liquids",0.0167394185488486
"BJ",2002,"gas",0.0742615046617479
"BJ",2002,"refined liquids",0.0125680973018305
"BJ",2003,"gas",0.0663423609154727
"BJ",2003,"refined liquids",0.0125469923726698
"BJ",2004,"gas",0.0472844629760741
"BJ",2004,"refined liquids",0.00968503926991223
"BJ",2005,"gas",0.0377134454991536
"BJ",2005,"refined liquids",0.0093386675686418
"BJ",2006,"gas",0.0427643020011301
"BJ",2006,"refined liquids",0.00674430966511073
"BJ",2007,"gas",0.0323272696903259
"BJ",2007,"refined liquids",0.00948049212223471
"BJ",2008,"gas",0.0468999948170522
"BJ",2008,"refined liquids",0.0077336095159637
"BJ",2009,"gas",0.0445759109931096
"BJ",2009,"refined liquids",0.00835553461508905
"BJ",2010,"gas",0.0810775750047284
"BJ",2010,"refined liquids",0.0172713120456592
"BJ",2011,"gas",0.0648055090958137
"BJ",2011,"refined liquids",0.0217645035924899
"BJ",2012,"gas",0.085575690211623
"BJ",2012,"refined liquids",0.022679653012192
"BJ",2013,"gas",0.11591327078795
"BJ",2013,"refined liquids",0.0174172525551584
"BJ",2014,"gas",0.133244940351276
"BJ",2014,"refined liquids",0.0253303585450218
"BJ",2015,"gas",0.133244940351276
"BJ",2015,"refined liquids",0.0253303585450218
"CQ",1971,"gas",0
"CQ",1971,"refined liquids",0
"CQ",1972,"gas",0
"CQ",1972,"refined liquids",0
"CQ",1973,"gas",0
"CQ",1973,"refined liquids",0
"CQ",1974,"gas",0
"CQ",1974,"refined liquids",0
"CQ",1975,"gas",0
"CQ",1975,"refined liquids",0
"CQ",1976,"gas",0
"CQ",1976,"refined liquids",0
"CQ",1977,"gas",0
"CQ",1977,"refined liquids",0
"CQ",1978,"gas",0
"CQ",1978,"refined liquids",0
"CQ",1979,"gas",0
"CQ",1979,"refined liquids",0
"CQ",1980,"gas",0
"CQ",1980,"refined liquids",0
"CQ",1981,"gas",0
"CQ",1981,"refined liquids",0
"CQ",1982,"gas",0
"CQ",1982,"refined liquids",0
"CQ",1983,"gas",0
"CQ",1983,"refined liquids",0
"CQ",1984,"gas",0
"CQ",1984,"refined liquids",0
"CQ",1985,"gas",0
"CQ",1985,"refined liquids",0
"CQ",1986,"gas",0
"CQ",1986,"refined liquids",0
"CQ",1987,"gas",0
"CQ",1987,"refined liquids",0
"CQ",1988,"gas",0
"CQ",1988,"refined liquids",0
"CQ",1989,"gas",0
"CQ",1989,"refined liquids",0
"CQ",1990,"gas",0
"CQ",1990,"refined liquids",0
"CQ",1991,"gas",0
"CQ",1991,"refined liquids",0
"CQ",1992,"gas",0
"CQ",1992,"refined liquids",0
"CQ",1993,"gas",0
"CQ",1993,"refined liquids",0
"CQ",1994,"gas",0
"CQ",1994,"refined liquids",0
"CQ",1995,"gas",0
"CQ",1995,"refined liquids",0
"CQ",1996,"gas",0
"CQ",1996,"refined liquids",0
"CQ",1997,"gas",0.0730854300047689
"CQ",1997,"refined liquids",0.00026053984707252
"CQ",1998,"gas",0.018097928210803
"CQ",1998,"refined liquids",0.00097162152233366
"CQ",1999,"gas",0.0152447255464462
"CQ",1999,"refined liquids",0.0014002567990229
"CQ",2000,"gas",0.0122328167350484
"CQ",2000,"refined liquids",0.000469143798193814
"CQ",2001,"gas",0.00669200560971646
"CQ",2001,"refined liquids",0.000400408049404418
"CQ",2002,"gas",0.00362798392566248
"CQ",2002,"refined liquids",0.00046052857424994
"CQ",2003,"gas",0.000724285362634446
"CQ",2003,"refined liquids",0.000938009882657162
"CQ",2004,"gas",0.00695673327889253
"CQ",2004,"refined liquids",0.00106296845712173
"CQ",2005,"gas",0.00696481887346533
"CQ",2005,"refined liquids",0.00169894547226824
"CQ",2006,"gas",0.00600676980588824
"CQ",2006,"refined liquids",0.00158408778596882
"CQ",2007,"gas",0.000852378868355092
"CQ",2007,"refined liquids",0.00369404009142876
"CQ",2008,"gas",0.000457399765737708
"CQ",2008,"refined liquids",0.00284845423774804
"CQ",2009,"gas",0.00503071159493846
"CQ",2009,"refined liquids",0.00329606884596304
"CQ",2010,"gas",0.000270645273612556
"CQ",2010,"refined liquids",0.00259592416403484
"CQ",2011,"gas",0.000360516141352804
"CQ",2011,"refined liquids",0.00258854234577506
"CQ",2012,"gas",0.00106536467436078
"CQ",2012,"refined liquids",0.00357984161112268
"CQ",2013,"gas",0.00198491321706145
"CQ",2013,"refined liquids",0.00350662343282352
"CQ",2014,"gas",0.000520280777216224
"CQ",2014,"refined liquids",0.00462081250004657
"CQ",2015,"gas",0.000520280777216224
"CQ",2015,"refined liquids",0.00462081250004657
"FJ",1971,"gas",0
"FJ",1971,"refined liquids",0
"FJ",1972,"gas",0
"FJ",1972,"refined liquids",0
"FJ",1973,"gas",0
"FJ",1973,"refined liquids",0
"FJ",1974,"gas",0
"FJ",1974,"refined liquids",0
"FJ",1975,"gas",0
"FJ",1975,"refined liquids",0
"FJ",1976,"gas",0
"FJ",1976,"refined liquids",0
"FJ",1977,"gas",0
"FJ",1977,"refined liquids",0
"FJ",1978,"gas",0
"FJ",1978,"refined liquids",0
"FJ",1979,"gas",0
"FJ",1979,"refined liquids",0
"FJ",1980,"gas",0
"FJ",1980,"refined liquids",0
"FJ",1981,"gas",0
"FJ",1981,"refined liquids",0
"FJ",1982,"gas",0
"FJ",1982,"refined liquids",0
"FJ",1983,"gas",0
"FJ",1983,"refined liquids",0
"FJ",1984,"gas",0
"FJ",1984,"refined liquids",0
"FJ",1985,"gas",0
"FJ",1985,"refined liquids",0.00496676226585712
"FJ",1986,"gas",0
"FJ",1986,"refined liquids",0.00520892062597178
"FJ",1987,"gas",0
"FJ",1987,"refined liquids",0.00543969311071088
"FJ",1988,"gas",0
