"","region","supplysector","subsector","stub.technology","year","secondary.output","output.ratio"
"1","AH","base load generation","coal","coal_base_conv pul",1975,"district heat",0
"2","AH","intermediate generation","coal","coal_int_conv pul",1975,"district heat",0
"3","AH","subpeak generation","coal","coal_subpeak_conv pul",1975,"district heat",0
"4","AH","peak generation","coal","coal_peak_conv pul",1975,"district heat",0
"5","BJ","base load generation","coal","coal_base_conv pul",1975,"district heat",0
"6","BJ","intermediate generation","coal","coal_int_conv pul",1975,"district heat",0
"7","BJ","subpeak generation","coal","coal_subpeak_conv pul",1975,"district heat",0
"8","BJ","peak generation","coal","coal_peak_conv pul",1975,"district heat",0
"9","CQ","base load generation","coal","coal_base_conv pul",1975,"district heat",0
"10","CQ","intermediate generation","coal","coal_int_conv pul",1975,"district heat",0
"11","CQ","subpeak generation","coal","coal_subpeak_conv pul",1975,"district heat",0
"12","CQ","peak generation","coal","coal_peak_conv pul",1975,"district heat",0
"13","FJ","base load generation","coal","coal_base_conv pul",1975,"district heat",0
"14","FJ","intermediate generation","coal","coal_int_conv pul",1975,"district heat",0
"15","FJ","subpeak generation","coal","coal_subpeak_conv pul",1975,"district heat",0
"16","FJ","peak generation","coal","coal_peak_conv pul",1975,"district heat",0
"17","GD","base load generation","coal","coal_base_conv pul",1975,"district heat",0
"18","GD","intermediate generation","coal","coal_int_conv pul",1975,"district heat",0
"19","GD","subpeak generation","coal","coal_subpeak_conv pul",1975,"district heat",0
"20","GD","peak generation","coal","coal_peak_conv pul",1975,"district heat",0
"21","GS","base load generation","coal","coal_base_conv pul",1975,"district heat",0
"22","GS","intermediate generation","coal","coal_int_conv pul",1975,"district heat",0
"23","GS","subpeak generation","coal","coal_subpeak_conv pul",1975,"district heat",0
"24","GS","peak generation","coal","coal_peak_conv pul",1975,"district heat",0
"25","GX","base load generation","coal","coal_base_conv pul",1975,"district heat",0
"26","GX","intermediate generation","coal","coal_int_conv pul",1975,"district heat",0
"27","GX","subpeak generation","coal","coal_subpeak_conv pul",1975,"district heat",0
"28","GX","peak generation","coal","coal_peak_conv pul",1975,"district heat",0
