"region","sector","fuel","year","multiplier","GCAM_region_ID","value","supplysector","subsector","stub.technology","minicam.energy.input","calibration","secondary.output"
"AH","chp_elec","biomass",1975,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"AH","chp_elec","biomass",1990,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"AH","chp_elec","biomass",2005,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"AH","chp_elec","biomass",2010,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"AH","chp_elec","biomass",2015,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"AH","chp_elec","coal",1975,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"AH","chp_elec","coal",1990,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"AH","chp_elec","coal",2005,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"AH","chp_elec","coal",2010,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"AH","chp_elec","coal",2015,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"AH","chp_elec","gas",1975,NA,NA,0,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"AH","chp_elec","gas",1990,NA,NA,0,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"AH","chp_elec","gas",2005,NA,NA,0,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"AH","chp_elec","gas",2010,NA,NA,1.93994590415229e-05,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"AH","chp_elec","gas",2015,NA,NA,1.87922765636952e-05,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"AH","chp_elec","refined liquids",1975,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"AH","chp_elec","refined liquids",1990,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"AH","chp_elec","refined liquids",2005,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"AH","chp_elec","refined liquids",2010,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"AH","chp_elec","refined liquids",2015,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"AH","industry_energy","biomass",1975,0.0298960598047825,11,5.89494063297474e-07,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"AH","industry_energy","biomass",1990,0.0366614809926004,11,7.82142437042291e-06,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"AH","industry_energy","biomass",2005,0.0361785327413797,11,7.64358145552087e-06,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"AH","industry_energy","biomass",2010,0.0337376198339313,11,5.81430695625103e-06,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"AH","industry_energy","biomass",2015,0.0341528045027617,11,1.04524624683746e-05,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"AH","industry_energy","coal",1975,0.0298960598047825,11,0.142164777504612,"other industrial energy use","coal","coal","delivered coal","input",NA
"AH","industry_energy","coal",1990,0.0366614809926004,11,0.286555973235492,"other industrial energy use","coal","coal","delivered coal","input",NA
"AH","industry_energy","coal",2005,0.0361785327413797,11,0.677678065702886,"other industrial energy use","coal","coal","delivered coal","input",NA
"AH","industry_energy","coal",2010,0.0337376198339313,11,0.572854717311718,"other industrial energy use","coal","coal","delivered coal","input",NA
