# File: comtrade_ff_trade.csv
# Title: Comtrade trade of fossil fuels
# Source: UN Comtrade
# Units: NA
# Column types: iiccciciicnn
# ----------
Year,Reporter_Code,Reporter_iso,Trade_Flow_Code,Trade,Partner_Code,Partner_iso,Commodity_Code,Quantity_Unit_Code,Qty_unit_abbr,Value,Netweight_(kg)
2008,660,AIA,M,Import,251,FRA,2701,8,kg,657,126
2008,660,AIA,M,Import,530,ANT,2701,8,kg,81,12
2008,660,AIA,M,Import,842,USA,2701,8,kg,10381,3285
2008,740,SUR,M,Import,842,USA,2701,8,kg,136,11
2011,184,COK,M,Import,554,NZL,2701,8,kg,434,36000
2008,72,BWA,M,Import,710,ZAF,2701,8,kg,384678,2491187
2008,72,BWA,M,Import,826,GBR,2701,8,kg,372,31
2008,72,BWA,X,Export,156,CHN,2701,8,kg,1190,20742
2008,72,BWA,X,Export,180,COD,2701,8,kg,81117,1206290
2008,72,BWA,X,Export,516,NAM,2701,8,kg,120,200
2008,72,BWA,X,Export,710,ZAF,2701,8,kg,154281,4825327
2008,72,BWA,X,Export,716,ZWE,2701,8,kg,7189220,75590362
2008,72,BWA,X,Export,842,USA,2701,8,kg,58,220
2008,72,BWA,X,Export,894,ZMB,2701,8,kg,193892,2780320
2008,270,GMB,M,Import,842,USA,2701,8,kg,199.928,676
2008,308,GRD,M,Import,842,USA,2701,8,kg,4797,2101
2008,360,IDN,M,Import,36,AUS,2701,8,kg,34450,18095
2008,360,IDN,M,Import,56,BEL,2701,8,kg,18044,42400
2008,360,IDN,M,Import,92,VGB,2701,8,kg,132450,499800
2008,360,IDN,M,Import,124,CAN,2701,8,kg,861,31
2008,360,IDN,M,Import,156,CHN,2701,8,kg,6798074,24571302
2008,360,IDN,M,Import,276,DEU,2701,8,kg,79880,93260
2008,360,IDN,M,Import,344,HKG,2701,8,kg,16170,42000
2008,360,IDN,M,Import,392,JPN,2701,8,kg,333786,270980
2008,360,IDN,M,Import,410,KOR,2701,8,kg,195372,145058
2008,360,IDN,M,Import,458,MYS,2701,8,kg,1508160,5958263
2008,360,IDN,M,Import,490,S19,2701,8,kg,461753,1585385
2008,360,IDN,M,Import,699,IND,2701,8,kg,5380,6648
2008,360,IDN,M,Import,702,SGP,2701,8,kg,20343,19209
2008,360,IDN,M,Import,704,VNM,2701,8,kg,14530980,75739009
2008,360,IDN,M,Import,764,THA,2701,8,kg,280,361
2008,360,IDN,M,Import,842,USA,2701,8,kg,8447,23999
2008,426,LSO,M,Import,710,ZAF,2701,8,kg,6632975.307,51324490.06
2008,360,IDN,X,Export,16,ASM,2701,8,kg,2196011,71859000
2008,360,IDN,X,Export,36,AUS,2701,8,kg,215,1662
2008,360,IDN,X,Export,56,BEL,2701,8,kg,9234173,218225085
2008,360,IDN,X,Export,116,KHM,2701,8,kg,2117569,39185895
2008,360,IDN,X,Export,144,LKA,2701,8,kg,7290685,124947774
2008,360,IDN,X,Export,152,CHL,2701,8,kg,20485983,430418000
2008,360,IDN,X,Export,156,CHN,2701,8,kg,716425550,15673734380
2008,360,IDN,X,Export,188,CRI,2701,8,kg,7947799,128104000
2008,360,IDN,X,Export,191,HRV,2701,8,kg,35580735,827179000
2008,360,IDN,X,Export,246,FIN,2701,8,kg,9747311,130243997
2008,360,IDN,X,Export,276,DEU,2701,8,kg,1030777,30128017
2008,360,IDN,X,Export,344,HKG,2701,8,kg,447057920,10497117250
2008,360,IDN,X,Export,372,IRL,2701,8,kg,30585282,497122200
2008,360,IDN,X,Export,376,ISR,2701,8,kg,13947478,232390000
2008,360,IDN,X,Export,380,ITA,2701,8,kg,477968448,5592806000
2008,360,IDN,X,Export,392,JPN,2701,8,kg,2077112024,36259746265
2008,360,IDN,X,Export,410,KOR,2701,8,kg,1297544466,26355551782
2008,360,IDN,X,Export,458,MYS,2701,8,kg,537819829,11104273737
2008,360,IDN,X,Export,484,MEX,2701,8,kg,13513968,132010000
2008,360,IDN,X,Export,490,S19,2701,8,kg,1612164702,24669442951
2008,360,IDN,X,Export,504,MAR,2701,8,kg,4550000,65000000
2008,360,IDN,X,Export,528,NLD,2701,8,kg,220949725,3740697584
2008,360,IDN,X,Export,554,NZL,2701,8,kg,17903447,510595000
2008,360,IDN,X,Export,579,NOR,2701,8,kg,4750,475000
2008,360,IDN,X,Export,586,PAK,2701,8,kg,178702075,2933319332
2008,360,IDN,X,Export,608,PHL,2701,8,kg,382252342,6337975489
2008,360,IDN,X,Export,694,SLE,2701,8,kg,1960425,69273000
2008,360,IDN,X,Export,699,IND,2701,8,kg,1232811944,26396640263
2008,360,IDN,X,Export,702,SGP,2701,8,kg,10885414,166960858
2008,360,IDN,X,Export,704,VNM,2701,8,kg,28945478,573306103
2008,360,IDN,X,Export,705,SVN,2701,8,kg,44439228,1324065470
2008,360,IDN,X,Export,724,ESP,2701,8,kg,158742889,4387390000
2008,360,IDN,X,Export,757,CHE,2701,8,kg,99192319,2466121000
2008,360,IDN,X,Export,764,THA,2701,8,kg,552174967,12822745042
2008,360,IDN,X,Export,784,ARE,2701,8,kg,4956768,66983010
2008,360,IDN,X,Export,807,MKD,2701,8,kg,5811036,152922000
2008,360,IDN,X,Export,826,GBR,2701,8,kg,79423977,2012297737
2008,360,IDN,X,Export,842,USA,2701,8,kg,141875139,3993839610
2008,360,IDN,X,Export,887,YEM,2701,8,kg,3557758,68418430
2008,426,LSO,X,Export,710,ZAF,2701,8,kg,190534.055,1724536.871
2008,659,KNA,M,Import,842,USA,2701,8,kg,1997,1353
2008,662,LCA,M,Import,842,USA,2701,8,kg,17,25
2008,670,VCT,M,Import,842,USA,2701,8,kg,4116,4294
2008,670,VCT,X,Export,52,BRB,2701,8,kg,769,1445
2008,882,WSM,M,Import,242,FJI,2701,8,kg,24901,48000
2008,882,WSM,M,Import,842,USA,2701,8,kg,191,180
2009,28,ATG,M,Import,530,ANT,2701,8,kg,4388,1628
2009,28,ATG,M,Import,591,PAN,2701,8,kg,234,20
2009,28,ATG,M,Import,842,USA,2701,8,kg,850,561
2009,270,GMB,M,Import,826,GBR,2701,8,kg,1408.158,34
2009,308,GRD,M,Import,842,USA,2701,8,kg,3859,1862
2009,360,IDN,M,Import,36,AUS,2701,8,kg,5705,3698
2009,360,IDN,M,Import,56,BEL,2701,8,kg,7583,17280
2009,360,IDN,M,Import,124,CAN,2701,8,kg,4061,377
2009,360,IDN,M,Import,156,CHN,2701,8,kg,9692656,29619803
2009,360,IDN,M,Import,276,DEU,2701,8,kg,138717,180935
2009,360,IDN,M,Import,392,JPN,2701,8,kg,4358696,1188335
2009,360,IDN,M,Import,410,KOR,2701,8,kg,37247,32110
2009,360,IDN,M,Import,458,MYS,2701,8,kg,727500,2400000
2009,360,IDN,M,Import,490,S19,2701,8,kg,129838,522773
2009,360,IDN,M,Import,699,IND,2701,8,kg,6200,17954
2009,360,IDN,M,Import,702,SGP,2701,8,kg,361,82
2009,360,IDN,M,Import,704,VNM,2701,8,kg,7497495,35798970
2009,360,IDN,M,Import,710,ZAF,2701,8,kg,15081,16075
2009,360,IDN,M,Import,764,THA,2701,8,kg,374,1228
2009,360,IDN,M,Import,826,GBR,2701,8,kg,15,40
2009,360,IDN,M,Import,842,USA,2701,8,kg,67595,423173
2009,426,LSO,M,Import,710,ZAF,2701,-1,N/A,3290105.139,NA
2009,478,MRT,M,Import,784,ARE,2701,8,kg,146086,118734
2009,360,IDN,X,Export,16,ASM,2701,8,kg,216750,5629858
2009,360,IDN,X,Export,36,AUS,2701,8,kg,2305206,41176273
2009,360,IDN,X,Export,50,BGD,2701,8,kg,621731,21439000
2009,360,IDN,X,Export,56,BEL,2701,8,kg,2919000,64800000
2009,360,IDN,X,Export,116,KHM,2701,8,kg,3168628,62693361
2009,360,IDN,X,Export,136,CYM,2701,8,kg,6067778,99799000
2009,360,IDN,X,Export,144,LKA,2701,8,kg,2193453,40371787
2009,360,IDN,X,Export,152,CHL,2701,8,kg,57469399,577165000
2009,360,IDN,X,Export,156,CHN,2701,8,kg,2053787551,38790622290
2009,360,IDN,X,Export,191,HRV,2701,8,kg,22473603,417767000
2009,360,IDN,X,Export,208,DNK,2701,8,kg,50,24
2009,360,IDN,X,Export,251,FRA,2701,8,kg,120,2000
2009,360,IDN,X,Export,276,DEU,2701,8,kg,60,1000
2009,360,IDN,X,Export,300,GRC,2701,8,kg,1197038,31501000
2009,360,IDN,X,Export,344,HKG,2701,8,kg,710803344,10714157463
