# File: A23.elecS_subsector_shrwt.csv,,,,,
# Title: Multiple Load Segments Subsector Shareweights,,,,,
# Units: unitless,,,,,
# Comments: Subsector shareweights at points of inflection (end-points of interpolation function)8th october 2025 xsl change to year.fillout,,,,,
# Column types: cccci,,,,,
# ----------,,,,,
region,supplysector,subsector,year.fillout,share.weight,year
China,base load generation,coal,2050,1,
China,intermediate generation,coal,2050,1,
China,subpeak generation,coal,2050,1,
China,peak generation,coal,2050,1,
China,base load generation,coal,2100,1,
China,intermediate generation,coal,2100,1,
China,subpeak generation,coal,2100,1,
China,peak generation,coal,2100,1,
China,base load generation,gas,2050,1,
China,intermediate generation,gas,2050,1,
China,subpeak generation,gas,2050,1,
China,peak generation,gas,2050,1,
China,base load generation,gas,2100,1,
China,intermediate generation,gas,2100,1,
China,subpeak generation,gas,2100,1,
China,peak generation,gas,2100,1,
China,base load generation,biomass,2100,1,
China,intermediate generation,biomass,2100,1,
China,subpeak generation,biomass,2100,1,
China,peak generation,biomass,2100,1,
China,base load generation,geothermal,2100,1,
China,intermediate generation,geothermal,2100,1,
China,subpeak generation,geothermal,2100,1,
China,peak generation,geothermal,2100,1,
China,base load generation,nuclear,1975,1,
China,intermediate generation,nuclear,1975,1,
China,subpeak generation,nuclear,1975,1,
China,peak generation,nuclear,1975,1,
China,base load generation,nuclear,2025,1,
China,intermediate generation,nuclear,2025,1,
China,subpeak generation,nuclear,2025,1,
China,peak generation,nuclear,2025,1,
China,base load generation,nuclear,2030,1,
China,intermediate generation,nuclear,2030,1,
China,subpeak generation,nuclear,2030,1,
China,peak generation,nuclear,2030,1,
China,base load generation,nuclear,2100,1,
China,intermediate generation,nuclear,2100,1,
China,subpeak generation,nuclear,2100,1,
China,peak generation,nuclear,2100,1,
China,base load generation,wind,2100,1,
China,intermediate generation,wind,2100,1,
China,subpeak generation,wind,2100,1,
China,peak generation,wind,2100,1,
China,base load generation,wind,2050,1,
China,intermediate generation,wind,2050,1,
China,subpeak generation,wind,2050,1,
China,peak generation,wind,2050,1,
China,base load generation,solar,2100,1,
China,intermediate generation,solar,2100,1,
China,subpeak generation,solar,2100,1,
China,peak generation,solar,2100,1,
China,base load generation,solar,2050,1,
China,intermediate generation,solar,2050,1,
China,subpeak generation,solar,2050,1,
China,peak generation,solar,2050,1,
China,elect_td_bld,rooftop_pv,2100,1,
China,elect_td_bld,rooftop_pv,2050,1,
China,peak generation,grid_storage,2100,1,
China,base load generation,refined liquids,1975,0,
China,intermediate generation,refined liquids,1975,0,
China,subpeak generation,refined liquids,1975,0,
China,peak generation,refined liquids,1975,0,
China,base load generation,refined liquids,2100,0,
China,intermediate generation,refined liquids,2100,0,
China,subpeak generation,refined liquids,2100,0,
China,peak generation,refined liquids,2100,0,
