# File: A23.elecS_tech_availability.csv
# Title: Unavailable Load Segment / Technology Combinations
# Units: NA
# Comments: Specify which load segment / technology combinations will not be created
# Column types: cccc
# ----------
region,supplysector,subsector,stub.technology
China,subpeak generation,biomass,biomass_subpeak_conv
China,subpeak generation,biomass,biomass_subpeak_conv_CCS
China,peak generation,biomass,biomass_peak_conv
China,peak generation,biomass,biomass_peak_conv_CCS
China,subpeak generation,biomass,biomass_subpeak_IGCC
China,peak generation,biomass,biomass_peak_IGCC
China,subpeak generation,biomass,biomass_subpeak_IGCC_CCS
China,peak generation,biomass,biomass_peak_IGCC_CCS
China,subpeak generation,coal,coal_subpeak_conv pul_CCS
China,peak generation,coal,coal_peak_conv pul_CCS
China,subpeak generation,coal,coal_subpeak_IGCC
China,peak generation,coal,coal_peak_IGCC
China,subpeak generation,coal,coal_subpeak_IGCC_CCS
China,peak generation,coal,coal_peak_IGCC_CCS
China,intermediate generation,geothermal,geo_int
China,subpeak generation,geothermal,geo_subpeak
China,peak generation,geothermal,geo_peak
China,intermediate generation,nuclear,nuc_int_Gen II
China,subpeak generation,nuclear,nuc_subpeak_Gen II
China,peak generation,nuclear,nuc_peak_Gen II
China,intermediate generation,nuclear,nuc_int_Gen III
China,subpeak generation,nuclear,nuc_subpeak_Gen III
China,peak generation,nuclear,nuc_peak_Gen III
China,intermediate generation,solar,PV_int_storage
China,subpeak generation,solar,PV_subpeak_storage
China,peak generation,solar,PV_peak_storage
China,intermediate generation,solar,CSP_int_storage
China,subpeak generation,solar,CSP_subpeak_storage
China,peak generation,solar,CSP_peak_storage
China,base load generation,solar,PV_base
China,base load generation,solar,CSP_base
China,intermediate generation,wind,wind_int_storage
China,subpeak generation,wind,wind_subpeak_storage
China,peak generation,wind,wind_peak_storage
China,peak generation,wind,wind_peak
China,base load generation,gas,gas_base_steam/CT
China,intermediate generation,gas,gas_int_steam/CT
