# File: A323.UnlimitRsrcPrice_CHINA.csv
# Title: Information about resources price in China
# Units: 1975$/kg
# Source: Prices estimated
# Column types: ccin
# ----------
region,unlimited.resource,year,price
AH,scrap,1975,0.114889706
AH,scrap,1990,0.114889706
AH,scrap,2005,0.114889706
AH,scrap,2010,0.114889706
BJ,scrap,1975,0.114889706
BJ,scrap,1990,0.114889706
BJ,scrap,2005,0.114889706
BJ,scrap,2010,0.114889706
CQ,scrap,1975,0.114889706
CQ,scrap,1990,0.114889706
CQ,scrap,2005,0.114889706
CQ,scrap,2010,0.114889706
FJ,scrap,1975,0.114889706
FJ,scrap,1990,0.114889706
FJ,scrap,2005,0.114889706
FJ,scrap,2010,0.114889706
GD,scrap,1975,0.114889706
GD,scrap,1990,0.114889706
GD,scrap,2005,0.114889706
GD,scrap,2010,0.114889706
GS,scrap,1975,0.114889706
GS,scrap,1990,0.114889706
GS,scrap,2005,0.114889706
GS,scrap,2010,0.114889706
GX,scrap,1975,0.114889706
GX,scrap,1990,0.114889706
GX,scrap,2005,0.114889706
GX,scrap,2010,0.114889706
GZ,scrap,1975,0.114889706
GZ,scrap,1990,0.114889706
GZ,scrap,2005,0.114889706
GZ,scrap,2010,0.114889706
HA,scrap,1975,0.114889706
HA,scrap,1990,0.114889706
HA,scrap,2005,0.114889706
HA,scrap,2010,0.114889706
HB,scrap,1975,0.114889706
HB,scrap,1990,0.114889706
HB,scrap,2005,0.114889706
HB,scrap,2010,0.114889706
HE,scrap,1975,0.114889706
HE,scrap,1990,0.114889706
HE,scrap,2005,0.114889706
HE,scrap,2010,0.114889706
HI,scrap,1975,0.114889706
HI,scrap,1990,0.114889706
HI,scrap,2005,0.114889706
HI,scrap,2010,0.114889706
HL,scrap,1975,0.114889706
HL,scrap,1990,0.114889706
HL,scrap,2005,0.114889706
HL,scrap,2010,0.114889706
HN,scrap,1975,0.114889706
HN,scrap,1990,0.114889706
HN,scrap,2005,0.114889706
HN,scrap,2010,0.114889706
JL,scrap,1975,0.114889706
JL,scrap,1990,0.114889706
JL,scrap,2005,0.114889706
JL,scrap,2010,0.114889706
JS,scrap,1975,0.114889706
JS,scrap,1990,0.114889706
JS,scrap,2005,0.114889706
JS,scrap,2010,0.114889706
JX,scrap,1975,0.114889706
JX,scrap,1990,0.114889706
JX,scrap,2005,0.114889706
JX,scrap,2010,0.114889706
LN,scrap,1975,0.114889706
LN,scrap,1990,0.114889706
LN,scrap,2005,0.114889706
LN,scrap,2010,0.114889706
NM,scrap,1975,0.114889706
NM,scrap,1990,0.114889706
NM,scrap,2005,0.114889706
NM,scrap,2010,0.114889706
NX,scrap,1975,0.114889706
NX,scrap,1990,0.114889706
NX,scrap,2005,0.114889706
NX,scrap,2010,0.114889706
QH,scrap,1975,0.114889706
QH,scrap,1990,0.114889706
QH,scrap,2005,0.114889706
QH,scrap,2010,0.114889706
SC,scrap,1975,0.114889706
SC,scrap,1990,0.114889706
SC,scrap,2005,0.114889706
SC,scrap,2010,0.114889706
SD,scrap,1975,0.114889706
SD,scrap,1990,0.114889706
SD,scrap,2005,0.114889706
SD,scrap,2010,0.114889706
SH,scrap,1975,0.114889706
SH,scrap,1990,0.114889706
SH,scrap,2005,0.114889706
SH,scrap,2010,0.114889706
SN,scrap,1975,0.114889706
SN,scrap,1990,0.114889706
SN,scrap,2005,0.114889706
SN,scrap,2010,0.114889706
SX,scrap,1975,0.114889706
SX,scrap,1990,0.114889706
SX,scrap,2005,0.114889706
SX,scrap,2010,0.114889706
TJ,scrap,1975,0.114889706
TJ,scrap,1990,0.114889706
TJ,scrap,2005,0.114889706
TJ,scrap,2010,0.114889706
XJ,scrap,1975,0.114889706
XJ,scrap,1990,0.114889706
XJ,scrap,2005,0.114889706
XJ,scrap,2010,0.114889706
XZ,scrap,1975,0.114889706
XZ,scrap,1990,0.114889706
XZ,scrap,2005,0.114889706
XZ,scrap,2010,0.114889706
YN,scrap,1975,0.114889706
YN,scrap,1990,0.114889706
YN,scrap,2005,0.114889706
YN,scrap,2010,0.114889706
ZJ,scrap,1975,0.114889706
ZJ,scrap,1990,0.114889706
ZJ,scrap,2005,0.114889706
ZJ,scrap,2010,0.114889706
AH,scrap,2015,0.114889706
BJ,scrap,2015,0.114889706
CQ,scrap,2015,0.114889706
FJ,scrap,2015,0.114889706
GD,scrap,2015,0.114889706
GS,scrap,2015,0.114889706
GX,scrap,2015,0.114889706
GZ,scrap,2015,0.114889706
HA,scrap,2015,0.114889706
HB,scrap,2015,0.114889706
HE,scrap,2015,0.114889706
HI,scrap,2015,0.114889706
HL,scrap,2015,0.114889706
HN,scrap,2015,0.114889706
JL,scrap,2015,0.114889706
JS,scrap,2015,0.114889706
JX,scrap,2015,0.114889706
LN,scrap,2015,0.114889706
NM,scrap,2015,0.114889706
NX,scrap,2015,0.114889706
QH,scrap,2015,0.114889706
SC,scrap,2015,0.114889706
SD,scrap,2015,0.114889706
SH,scrap,2015,0.114889706
SN,scrap,2015,0.114889706
SX,scrap,2015,0.114889706
TJ,scrap,2015,0.114889706
XJ,scrap,2015,0.114889706
XZ,scrap,2015,0.114889706
YN,scrap,2015,0.114889706
ZJ,scrap,2015,0.114889706
