# File: A323.efficiency_improve.csv
# Title: energy efficiency improvement
# Units: energy efficiency improve rate
# Description: energy efficiency improvement compared to 2015. Provides a more convenient way to reflect future technological energy efficiency improvements.
# Column types: ccccin
# ----------
supplysector,subsector,stub.technology,minicam.energy.input,year,improvement
agricultural energy use,biomass,biomass,delivered biomass,1975,1
agricultural energy use,biomass,biomass,delivered biomass,1990,1
agricultural energy use,biomass,biomass,delivered biomass,2005,1
agricultural energy use,biomass,biomass,delivered biomass,2010,1
agricultural energy use,biomass,biomass,delivered biomass,2015,1
agricultural energy use,biomass,biomass,delivered biomass,2020,1
agricultural energy use,biomass,biomass,delivered biomass,2025,1
agricultural energy use,biomass,biomass,delivered biomass,2030,1
agricultural energy use,biomass,biomass,delivered biomass,2035,1
agricultural energy use,biomass,biomass,delivered biomass,2040,1
agricultural energy use,biomass,biomass,delivered biomass,2045,1
agricultural energy use,biomass,biomass,delivered biomass,2050,1
agricultural energy use,biomass,biomass,delivered biomass,2055,1
agricultural energy use,biomass,biomass,delivered biomass,2060,1
agricultural energy use,biomass,biomass,delivered biomass,2065,1
agricultural energy use,biomass,biomass,delivered biomass,2070,1
agricultural energy use,biomass,biomass,delivered biomass,2075,1
agricultural energy use,biomass,biomass,delivered biomass,2080,1
agricultural energy use,biomass,biomass,delivered biomass,2085,1
agricultural energy use,biomass,biomass,delivered biomass,2090,1
agricultural energy use,biomass,biomass,delivered biomass,2095,1
agricultural energy use,biomass,biomass,delivered biomass,2100,1
agricultural energy use,coal,coal,delivered coal,1975,1
agricultural energy use,coal,coal,delivered coal,1990,1
agricultural energy use,coal,coal,delivered coal,2005,1
agricultural energy use,coal,coal,delivered coal,2010,1
agricultural energy use,coal,coal,delivered coal,2015,1
agricultural energy use,coal,coal,delivered coal,2020,1
agricultural energy use,coal,coal,delivered coal,2025,1
agricultural energy use,coal,coal,delivered coal,2030,1
agricultural energy use,coal,coal,delivered coal,2035,1
agricultural energy use,coal,coal,delivered coal,2040,1
agricultural energy use,coal,coal,delivered coal,2045,1
agricultural energy use,coal,coal,delivered coal,2050,1
agricultural energy use,coal,coal,delivered coal,2055,1
agricultural energy use,coal,coal,delivered coal,2060,1
agricultural energy use,coal,coal,delivered coal,2065,1
agricultural energy use,coal,coal,delivered coal,2070,1
agricultural energy use,coal,coal,delivered coal,2075,1
agricultural energy use,coal,coal,delivered coal,2080,1
agricultural energy use,coal,coal,delivered coal,2085,1
agricultural energy use,coal,coal,delivered coal,2090,1
agricultural energy use,coal,coal,delivered coal,2095,1
agricultural energy use,coal,coal,delivered coal,2100,1
agricultural energy use,district heat,district heat,district heat,1975,1
agricultural energy use,district heat,district heat,district heat,1990,1
agricultural energy use,district heat,district heat,district heat,2005,1
agricultural energy use,district heat,district heat,district heat,2010,1
agricultural energy use,district heat,district heat,district heat,2015,1
agricultural energy use,district heat,district heat,district heat,2020,1
agricultural energy use,district heat,district heat,district heat,2025,1
agricultural energy use,district heat,district heat,district heat,2030,1
agricultural energy use,district heat,district heat,district heat,2035,1
agricultural energy use,district heat,district heat,district heat,2040,1
agricultural energy use,district heat,district heat,district heat,2045,1
agricultural energy use,district heat,district heat,district heat,2050,1
agricultural energy use,district heat,district heat,district heat,2055,1
agricultural energy use,district heat,district heat,district heat,2060,1
agricultural energy use,district heat,district heat,district heat,2065,1
agricultural energy use,district heat,district heat,district heat,2070,1
agricultural energy use,district heat,district heat,district heat,2075,1
agricultural energy use,district heat,district heat,district heat,2080,1
agricultural energy use,district heat,district heat,district heat,2085,1
agricultural energy use,district heat,district heat,district heat,2090,1
agricultural energy use,district heat,district heat,district heat,2095,1
agricultural energy use,district heat,district heat,district heat,2100,1
agricultural energy use,electricity,electricity,elect_td_ind,1975,1
agricultural energy use,electricity,electricity,elect_td_ind,1990,1
agricultural energy use,electricity,electricity,elect_td_ind,2005,1
agricultural energy use,electricity,electricity,elect_td_ind,2010,1
agricultural energy use,electricity,electricity,elect_td_ind,2015,1
agricultural energy use,electricity,electricity,elect_td_ind,2020,1
agricultural energy use,electricity,electricity,elect_td_ind,2025,1
agricultural energy use,electricity,electricity,elect_td_ind,2030,1
agricultural energy use,electricity,electricity,elect_td_ind,2035,1
agricultural energy use,electricity,electricity,elect_td_ind,2040,1
agricultural energy use,electricity,electricity,elect_td_ind,2045,1
agricultural energy use,electricity,electricity,elect_td_ind,2050,1
agricultural energy use,electricity,electricity,elect_td_ind,2055,1
agricultural energy use,electricity,electricity,elect_td_ind,2060,1
agricultural energy use,electricity,electricity,elect_td_ind,2065,1
agricultural energy use,electricity,electricity,elect_td_ind,2070,1
agricultural energy use,electricity,electricity,elect_td_ind,2075,1
agricultural energy use,electricity,electricity,elect_td_ind,2080,1
agricultural energy use,electricity,electricity,elect_td_ind,2085,1
agricultural energy use,electricity,electricity,elect_td_ind,2090,1
agricultural energy use,electricity,electricity,elect_td_ind,2095,1
agricultural energy use,electricity,electricity,elect_td_ind,2100,1
