# File:A323.globaltech_retirement.csv
# Title: Technology retirement parameters
# Units: #
# Column types: ccccnnnnnn
# ----------
supplysector,subsector,technology,year,lifetime,shutdown.rate,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
IRONSTL,BLASTFUR,BLASTFUR,final-calibration-year,30,,15,0.15,-0.2,6
IRONSTL,BLASTFUR,BLASTFUR CCS,final-calibration-year,30,,15,0.15,-0.2,6
IRONSTL,BLASTFUR,Biomass based,final-calibration-year,30,,15,0.15,-0.2,6
IRONSTL,EAF with DRI,EAF with DRI,final-calibration-year,20,,10,0.15,-0.2,6
IRONSTL,EAF with DRI,EAF with DRI CCS,final-calibration-year,20,,10,0.15,-0.2,6
IRONSTL,EAF with DRI,Hydrogen based  DRI,final-calibration-year,20,,10,0.15,-0.2,6
IRONSTL,EAF with scrap,EAF with scrap,final-calibration-year,20,,10,0.15,-0.2,6
IRONSTL,EAF with scrap,EAF with scrap CCS,final-calibration-year,20,,10,0.15,-0.2,6
coke,coke,coke,final-calibration-year,20,,10,0.15,-0.2,6
coke,coke,coke CCS,final-calibration-year,20,,10,0.15,-0.2,6
chemicals,chemicals,chemicals,final-calibration-year,20,,10,0.15,-0.2,6
chemical energy use,coal,coal,final-calibration-year,20,,10,0.15,-0.2,6
chemical energy use,coal,coal CCS,final-calibration-year,20,,10,0.15,-0.2,6
chemical energy use,gas,gas,final-calibration-year,20,,10,0.15,-0.2,6
chemical energy use,gas,gas CCS,final-calibration-year,20,,10,0.15,-0.2,6
chemical energy use,liquid,liquid,final-calibration-year,20,,10,0.15,-0.2,6
chemical energy use,liquid,liquid CCS,final-calibration-year,20,,10,0.15,-0.2,6
chemical energy use,biomass,biomass,final-calibration-year,20,,10,0.15,-0.2,6
chemical energy use,hydrogen,hydrogen,final-calibration-year,20,,10,0.15,-0.2,6
chemical energy use,electricity,electricity,final-calibration-year,20,,10,0.15,-0.2,6
chemical feedstock,coal,coal,final-calibration-year,20,,10,0.15,-0.2,6
chemical feedstock,gas,gas,final-calibration-year,20,,10,0.15,-0.2,6
chemical feedstock,liquid,liquid,final-calibration-year,20,,10,0.15,-0.2,6
agriculture energy use,coal,coal,final-calibration-year,20,,10,0.15,-0.2,6
