# File: A323.globaltech_shrwt.csv
# Title: Default global technology shareweights
# Units: Unitless
# Column types: cccnnnn
# ----------
supplysector,subsector,technology,1971,2019,2020,2100
iron and steel,BLASTFUR,BLASTFUR,1,1,1,0.1
iron and steel,BLASTFUR,BLASTFUR CCS,0,0,1,0.1
iron and steel,BLASTFUR,Biomass-based,0,0,0,0.1
iron and steel,EAF with DRI,EAF with DRI,0,0,1,1
iron and steel,EAF with DRI,EAF with DRI CCS,0,0,1,1
iron and steel,EAF with DRI,Hydrogen-based DRI,0,0,0,0
iron and steel,EAF with scrap,EAF with scrap,1,1,1,1
coke,coke,coke,1,1,1,1
coke,coke,coke CCS,0,0,1,1
chemical,chemical,chemical,1,1,1,1
chemical energy use,coal,coal,1,1,1,1
chemical energy use,coal,coal CCS,0,0,1,1
chemical energy use,gas,gas,1,1,1,1
chemical energy use,gas,gas CCS,0,0,1,1
chemical energy use,liquid,liquid,1,1,1,1
chemical energy use,liquid,liquid CCS,0,0,1,1
chemical energy use,biomass,biomass,1,1,1,1
chemical energy use,hydrogen,hydrogen,0,0,0,0.1
chemical energy use,electricity,electricity,1,1,1,1
chemical feedstocks,coal,coal,1,1,1,1
chemical feedstocks,gas,gas,1,1,1,1
chemical feedstocks,liquid,liquid,1,1,1,1
agricultural energy use,coal,coal,1,1,1,1
agricultural energy use,gas,gas,1,1,1,1
agricultural energy use,liquid,liquid,1,1,1,1
agricultural energy use,biomass,biomass,1,1,1,1
agricultural energy use,hydrogen,hydrogen,0,0,0,0.1
agricultural energy use,electricity,electricity,1,1,1,1
mining energy use,coal,coal,1,1,1,1
mining energy use,gas,gas,1,1,1,1
mining energy use,liquid,liquid,1,1,1,1
mining energy use,biomass,biomass,1,1,1,1
mining energy use,hydrogen,hydrogen,0,0,0,0.1
mining energy use,electricity,electricity,1,1,1,1
construction,construction,construction,1,1,1,1
construction energy use,coal,coal,1,1,1,1
construction energy use,gas,gas,1,1,1,1
construction energy use,liquid,liquid,1,1,1,1
construction energy use,biomass,biomass,1,1,1,1
construction energy use,hydrogen,hydrogen,0,0,0,0.1
construction energy use,electricity,electricity,1,1,1,1
construction feedstocks,coal,coal,1,1,1,1
construction feedstocks,gas,gas,1,1,1,1
construction feedstocks,liquid,liquid,1,1,1,1
agricultural energy use,district heat,district heat,1,1,1,1
chemical energy use,district heat,district heat,1,1,1,1
construction energy use,district heat,district heat,1,1,1,1
mining energy use,district heat,district heat,1,1,1,1
