# File: A44.CalPrice_service_gcamchina.csv
# Title: Prices by service in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM-China v6.0 output
# Column types: ccnnnn
# ----------
region,sector,1990,2005,2010,2015
AH,comm appliances,35.639,28.1889,27.7558,26.6791
AH,comm cooling,9.27865,9.2017,9.01596,8.58696
AH,comm heating,3.61878,3.89328,7.57169,8.22151
AH,comm hot water_cooking,6.18005,7.18894,11.3238,11.8111
AH,resid_rural appliances modern,35.639,28.1889,27.7558,26.6791
AH,resid_rural cooling modern,17.4437,15.4177,15.4021,15.1202
AH,resid_rural heating modern,2.69822,2.53514,3.3968,6.83889
AH,resid_rural hot water_cooking modern,5.4587,5.61581,6.2947,7.02391
AH,resid_urban appliances modern,35.639,28.1889,27.7558,26.6791
AH,resid_urban cooling modern,17.4437,15.4177,15.4021,15.1202
AH,resid_urban heating modern,3.56185,4.49119,7.25341,7.83904
AH,resid_urban hot water_cooking modern,5.73827,6.06465,7.66916,10.5207
BJ,comm appliances,35.5714,28.0311,27.1497,25.9309
BJ,comm cooling,9.25869,9.13597,8.7675,8.28479
BJ,comm heating,3.348,7.0396,8.05721,8.45394
BJ,comm hot water_cooking,8.7916,9.78428,10.7634,10.8351
BJ,resid_rural appliances modern,35.5714,28.0311,27.1497,25.9309
BJ,resid_rural cooling modern,17.4203,15.3579,15.167,14.8236
BJ,resid_rural heating modern,2.15218,2.18803,2.70309,3.0032
BJ,resid_rural hot water_cooking modern,5.27168,5.32992,5.64437,5.86797
BJ,resid_urban appliances modern,35.5714,28.0311,27.1497,25.9309
BJ,resid_urban cooling modern,17.4203,15.3579,15.167,14.8236
BJ,resid_urban heating modern,3.31471,5.66233,7.50294,7.45318
BJ,resid_urban hot water_cooking modern,7.57696,9.04711,10.3535,10.8239
CQ,comm appliances,35.9398,28.2413,27.6451,27.105
CQ,comm cooling,9.36754,9.22355,8.97059,8.75893
CQ,comm heating,6.5844,8.21661,8.52099,8.77829
CQ,comm hot water_cooking,10.7073,14.3421,12.352,13.7482
CQ,resid_rural appliances modern,35.9398,28.2413,27.6451,27.105
CQ,resid_rural cooling modern,17.5482,15.4376,15.3592,15.2891
CQ,resid_rural heating modern,2.07324,2.21451,2.95444,7.48831
CQ,resid_rural hot water_cooking modern,5.39731,5.4928,5.69964,7.66473
