# File: A44.globaltech_eff_avg.csv
# Title: Overall stock average efficiencies of efficiency-partitioned technologies
# Units: Unitless
# Source: Unpublished inputs to the NEMS model; provided by EIA. Assumptions are simliar to the 2016 Annual Energy Outlook (Table 22; https://www.eia.gov/outlooks/aeo/data/browser/#/?id=30-AEO2016&cases=ref2016~ref_no_cpp&sourcekey=0).
# Column types: cccccnn
# ----------
supplysector,subsector,technology1,technology2,minicam-energy-input,stockavg,AEO.GCAM.unit.conv
resid_urban heating modern,gas,gas furnace,gas furnace hi-eff,delivered gas,0.785,
resid_urban heating modern,refined liquids,fuel furnace,fuel furnace hi-eff,refined liquids enduse,0.807,
resid_urban cooling modern,electricity,air conditioning,air conditioning hi-eff,elect_td_bld,3.043,0.263782643
resid_urban hot water_cooking modern,gas,gas water heater,gas water heater hi-eff,delivered gas,0.611,
resid_urban hot water_cooking modern,electricity,electric resistance water heater,electric resistance water heater hi-eff,elect_td_bld,0.894,
resid_urban hot water_cooking modern,refined liquids,fuel water heater,fuel water heater hi-eff,refined liquids enduse,0.609,
resid_rural heating modern,gas,gas furnace,gas furnace hi-eff,delivered gas,0.785,
resid_rural heating modern,refined liquids,fuel furnace,fuel furnace hi-eff,refined liquids enduse,0.807,
resid_rural cooling modern,electricity,air conditioning,air conditioning hi-eff,elect_td_bld,3.043,0.263782643
resid_rural hot water_cooking modern,gas,gas water heater,gas water heater hi-eff,delivered gas,0.611,
resid_rural hot water_cooking modern,electricity,electric resistance water heater,electric resistance water heater hi-eff,elect_td_bld,0.894,
resid_rural hot water_cooking modern,refined liquids,fuel water heater,fuel water heater hi-eff,refined liquids enduse,0.609,
comm heating,gas,gas furnace,gas furnace hi-eff,delivered gas,0.7,
comm heating,electricity,electric furnace,electric heat pump,elect_td_bld,1.1,
comm cooling,electricity,air conditioning,air conditioning hi-eff,elect_td_bld,2.4,
comm hot water_cooking,gas,gas water heater,gas water heater hi-eff,delivered gas,0.7,
comm lighting,electricity,elec light,fluorescent,elect_td_bld,0.022,0.277777778
