# File: A44.globaltech_shrwt.csv
# Title: Building default technology shareweights
# Units: Unitless
# Column types: cccnnn
# ----------
supplysector,subsector,technology,1971,2015,2100
resid_rural heating modern,traditional biomass,trad wood furnace,1,1,1
resid_rural heating modern,coal,coal furnace,1,1,1
resid_rural heating modern,biomass,wood furnace,1,1,1
resid_rural heating modern,gas,gas furnace,1,1,1
resid_rural heating modern,gas,gas furnace hi-eff,1,1,1
resid_rural heating modern,electricity,electric furnace,1,1,1
resid_rural heating modern,refined liquids,fuel furnace,1,1,1
resid_rural heating modern,refined liquids,fuel furnace hi-eff,1,1,1
resid_rural cooling modern,electricity,air conditioning,1,1,1
resid_rural cooling modern,electricity,air conditioning hi-eff,1,1,1
resid_rural hot water_cooking modern,gas,gas water heater,1,1,1
resid_rural hot water_cooking modern,gas,gas water heater hi-eff,1,1,1
resid_rural hot water_cooking modern,electricity,electric resistance water heater,1,1,1
resid_rural hot water_cooking modern,electricity,electric resistance water heater hi-eff,1,1,1
resid_rural hot water_cooking modern,refined liquids,fuel water heater,1,1,1
resid_rural hot water_cooking modern,refined liquids,fuel water heater hi-eff,1,1,1
resid_rural hot water_cooking modern,coal,coal water heater,1,1,1
resid_rural hot water_cooking modern,traditional biomass,wood water heater,1,1,1
resid_rural lighting modern,electricity,elec light,1,1,1
resid_rural appliances modern,electricity,electric appliances,1,1,1
resid_urban heating modern,coal,coal furnace,1,1,1
resid_urban heating modern,biomass,wood furnace,1,1,1
resid_urban heating modern,gas,gas furnace,1,1,1
resid_urban heating modern,gas,gas furnace hi-eff,1,1,1
resid_urban heating modern,electricity,electric furnace,1,1,1
resid_urban heating modern,refined liquids,fuel furnace,1,1,1
resid_urban heating modern,refined liquids,fuel furnace hi-eff,1,1,1
resid_urban heating modern,heat,district heat,1,1,1
resid_urban cooling modern,electricity,air conditioning,1,1,1
resid_urban cooling modern,electricity,air conditioning hi-eff,1,1,1
resid_urban hot water_cooking modern,gas,gas water heater,1,1,1
resid_urban hot water_cooking modern,gas,gas water heater hi-eff,1,1,1
resid_urban hot water_cooking modern,electricity,electric resistance water heater,1,1,1
resid_urban hot water_cooking modern,electricity,electric resistance water heater hi-eff,1,1,1
resid_urban hot water_cooking modern,refined liquids,fuel water heater,1,1,1
resid_urban hot water_cooking modern,refined liquids,fuel water heater hi-eff,1,1,1
resid_urban hot water_cooking modern,coal,coal water heater,1,1,1
resid_urban lighting modern,electricity,elec light,1,1,1
resid_urban appliances modern,electricity,electric appliances,1,1,1
comm heating,biomass,wood furnace,1,1,1
comm heating,coal,coal furnace,1,1,1
comm heating,gas,gas furnace,1,1,1
comm heating,gas,gas furnace hi-eff,1,1,1
comm heating,electricity,electric furnace,1,1,1
comm heating,electricity,electric heat pump,1,1,1
comm heating,refined liquids,fuel furnace,1,1,1
comm heating,heat,district heat,1,1,1
comm cooling,electricity,air conditioning,1,1,1
comm cooling,electricity,air conditioning hi-eff,1,1,1
comm hot water_cooking,gas,gas water heater,1,1,1
comm hot water_cooking,gas,gas water heater hi-eff,1,1,1
comm hot water_cooking,electricity,electric resistance water heater,1,1,1
comm hot water_cooking,refined liquids,fuel water heater,1,1,1
comm hot water_cooking,coal,coal water heater,1,1,1
comm lighting,electricity,elec light,1,1,1
comm lighting,electricity,fluorescent,1,1,1
comm appliances,electricity,electric appliances,1,1,1
