# File: A44.hab_land_flsp_china.csv
# Title: Habitable land per province
# Units: pop/km2
# Source: The Second Land Survey and Previous Land Change Surveys https://gtdc.mnr.gov.cn/Share#/secondSurvey
# Comments: Miscellaneous areas such as Glaciers and permanent snow, Saline soil, Swamp and Sand."
# Column types: cncnnn
# ----------
province,area_gcam,unit,area_gtdc,misc_land_gtdc,habit_area
Anhui,139417.23,km2,139417.23,23.32,139393.91
Beijing,16128.29,km2,16128.29,0.9,16127.39
Chongqing,81983.35,km2,81983.35,0.01,81983.34
Fujian,122888.99,km2,122888.99,64.9,122824.09
Guangdong,178082.93,km2,178082.93,49.94,178032.99
Gansu,308194.58,km2,308194.58,28429.34,279765.24
Guangxi,222685.09,km2,222685.09,16.24,222668.85
Guizhou,171219.28,km2,171219.28,19.46,171199.82
Henan,163576.94,km2,163576.94,176.84,163400.1
Hubei,184886.03,km2,184886.03,60.75,184825.28
Hainan,34818.01,km2,34818.01,32.8,34785.21
Hebei,181917.44,km2,181917.44,1221.16,180696.28
Heilongjiang,451366.99,km2,451366.99,14035.06,437331.93
Hunan,210135.26,km2,210135.26,10.31,210124.95
Jilin,190810.87,km2,190810.87,5911.63,184899.24
Jiangsu,106142.54,km2,106142.54,602.9,105539.64
Jiangxi,166419.08,km2,166419.08,31.08,166388
Liaoning,147893.96,km2,147893.96,115.01,147778.95
Inner Mongolia,1069165.14,km2,1069165.14,111390.59,957774.55
Ningxia,49330.25,km2,49330.25,1568.97,47761.28
Qinghai,582671.57,km2,582671.57,92793.83,489877.74
Sichuan,465887.87,km2,465887.87,7668.26,458219.61
Shandong,156117.88,km2,156117.88,1737.11,154380.77
Shanghai,8327.62,km2,8327.62,0,8327.62
Shaanxi,205214.55,km2,205214.55,840.06,204374.49
Shanxi,153102.73,km2,153102.73,260.85,152841.88
Tianjin,11850.1,km2,11850.1,39.55,11810.55
Xinjiang,1133884.23,km2,1133884.23,444851.33,689032.9
Tibet,1086203.22,km2,1086203.22,27229.66,1058973.56
Yunnan,373408.31,km2,373408.31,1221.67,372186.64
Zhejiang,104971.26,km2,104971.26,9.33,104961.93
