# File: A44.sector.csv
# Title: Building sector default supplysector information (units and logit exponents)
# Units: Unitless
# Column types: ccccncc
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type,final.energy
resid_rural heating TradBio,EJ,EJ,1975$/GJ,-3,,building
resid_rural heating coal,EJ,EJ,1975$/GJ,-3,,building
resid_rural heating modern,EJ,EJ,1975$/GJ,-3,,building
resid_rural cooling modern,EJ,EJ,1975$/GJ,-3,,building
resid_rural hot water_cooking modern,EJ,EJ,1975$/GJ,-2,,building
resid_rural lighting modern,EJ,EJ,1975$/GJ,-3,,building
resid_rural appliances modern,EJ,EJ,1975$/GJ,-3,,building
resid_urban heating coal,EJ,EJ,1975$/GJ,-3,,building
resid_urban heating modern,EJ,EJ,1975$/GJ,-3,,building
resid_urban cooling modern,EJ,EJ,1975$/GJ,-3,,building
resid_urban hot water_cooking modern,EJ,EJ,1975$/GJ,-2,,building
resid_urban lighting modern,EJ,EJ,1975$/GJ,-3,,building
resid_urban appliances modern,EJ,EJ,1975$/GJ,-3,,building
comm heating,EJ,EJ,1975$/GJ,-3,,building
comm cooling,EJ,EJ,1975$/GJ,-3,,building
comm hot water_cooking,EJ,EJ,1975$/GJ,-3,,building
comm lighting,EJ,EJ,1976$/GJ,-3,,building
comm appliances,EJ,EJ,1977$/GJ,-3,,building
