# File: A44.subsector_interp.csv
# Title: Building default subsector shareweight interpolation
# Units: Unitless
# Column types: cccccnc
# ----------
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
resid_rural heating TradBio,traditional biomass,share-weight,final-calibration-year,end-year,,fixed
resid_rural heating coal,coal,share-weight,final-calibration-year,end-year,,fixed
resid_rural heating modern,biomass,share-weight,final-calibration-year,end-year,,fixed
resid_rural heating modern,gas,share-weight,final-calibration-year,end-year,,fixed
resid_rural heating modern,electricity,share-weight,final-calibration-year,end-year,,fixed
resid_rural heating modern,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid_rural cooling modern,electricity,share-weight,final-calibration-year,end-year,,fixed
resid_rural hot water_cooking modern,gas,share-weight,final-calibration-year,end-year,,fixed
resid_rural hot water_cooking modern,electricity,share-weight,final-calibration-year,end-year,,fixed
resid_rural hot water_cooking modern,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid_rural hot water_cooking modern,coal,share-weight,final-calibration-year,end-year,,fixed
resid_rural hot water_cooking modern,traditional biomass,share-weight,final-calibration-year,end-year,,fixed
resid_rural lighting modern,electricity,share-weight,final-calibration-year,end-year,,fixed
resid_rural appliances modern,electricity,share-weight,final-calibration-year,end-year,,fixed
resid_urban heating coal,coal,share-weight,final-calibration-year,end-year,,fixed
resid_urban heating modern,biomass,share-weight,final-calibration-year,end-year,,fixed
resid_urban heating modern,gas,share-weight,final-calibration-year,end-year,,fixed
resid_urban heating modern,electricity,share-weight,final-calibration-year,end-year,,fixed
resid_urban heating modern,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid_urban heating modern,heat,share-weight,final-calibration-year,end-year,,fixed
resid_urban cooling modern,electricity,share-weight,final-calibration-year,end-year,,fixed
resid_urban hot water_cooking modern,gas,share-weight,final-calibration-year,end-year,,fixed
resid_urban hot water_cooking modern,electricity,share-weight,final-calibration-year,end-year,,fixed
resid_urban hot water_cooking modern,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid_urban hot water_cooking modern,coal,share-weight,final-calibration-year,end-year,,fixed
resid_urban lighting modern,electricity,share-weight,final-calibration-year,end-year,,fixed
resid_urban appliances modern,electricity,share-weight,final-calibration-year,end-year,,fixed
comm heating,biomass,share-weight,final-calibration-year,end-year,,fixed
comm heating,coal,share-weight,final-calibration-year,end-year,,fixed
comm heating,gas,share-weight,final-calibration-year,end-year,,fixed
comm heating,electricity,share-weight,final-calibration-year,end-year,,fixed
comm heating,refined liquids,share-weight,final-calibration-year,end-year,,fixed
comm heating,heat,share-weight,final-calibration-year,end-year,,fixed
comm cooling,electricity,share-weight,final-calibration-year,end-year,,fixed
comm hot water_cooking,gas,share-weight,final-calibration-year,end-year,,fixed
comm hot water_cooking,electricity,share-weight,final-calibration-year,end-year,,fixed
comm hot water_cooking,refined liquids,share-weight,final-calibration-year,end-year,,fixed
comm hot water_cooking,coal,share-weight,final-calibration-year,end-year,,fixed
comm lighting,electricity,share-weight,final-calibration-year,end-year,,fixed
comm appliances,electricity,share-weight,final-calibration-year,end-year,,fixed
