# File: A44.subsector_logit.csv
# Title:  Building default subsector logit exponents
# Units: Unitless
# Column types: ccnc
# ----------
supplysector,subsector,logit.exponent,logit.type
resid_rural heating TradBio,traditional biomass,-6,
resid_rural heating coal,coal,-6,
resid_rural heating modern,biomass,-6,
resid_rural heating modern,gas,-6,
resid_rural heating modern,electricity,-6,
resid_rural heating modern,refined liquids,-6,
resid_rural cooling modern,electricity,-6,
resid_rural hot water_cooking modern,gas,-6,
resid_rural hot water_cooking modern,electricity,-6,
resid_rural hot water_cooking modern,refined liquids,-6,
resid_rural hot water_cooking modern,coal,-6,
resid_rural hot water_cooking modern,traditional biomass,-6,
resid_rural lighting modern,electricity,-2,
resid_rural appliances modern,electricity,-6,
resid_urban heating coal,coal,-6,
resid_urban heating modern,biomass,-6,
resid_urban heating modern,gas,-6,
resid_urban heating modern,electricity,-6,
resid_urban heating modern,refined liquids,-6,
resid_urban heating modern,heat,-6,
resid_urban cooling modern,electricity,-6,
resid_urban hot water_cooking modern,gas,-6,
resid_urban hot water_cooking modern,electricity,-6,
resid_urban hot water_cooking modern,refined liquids,-6,
resid_urban hot water_cooking modern,coal,-6,
resid_urban lighting modern,electricity,-2,
resid_urban appliances modern,electricity,-6,
comm heating,biomass,-6,
comm heating,coal,-6,
comm heating,gas,-6,
comm heating,electricity,-6,
comm heating,refined liquids,-6,
comm heating,heat,-6,
comm cooling,electricity,-6,
comm hot water_cooking,gas,-6,
comm hot water_cooking,electricity,-6,
comm hot water_cooking,refined liquids,-6,
comm hot water_cooking,coal,-6,
comm lighting,electricity,-2,
comm appliances,electricity,-6,
