# File: A44.subsector_shrwt.csv
# Title: Building default subsector shareweights
# Units: Unitless
# Column types: cccnn
# ----------
supplysector,subsector,year.fillout,year,share.weight
resid_rural heating modern,traditional biomass,start-year,,1
resid_rural heating modern,coal,start-year,,1
resid_rural heating modern,biomass,start-year,,1
resid_rural heating modern,gas,start-year,,1
resid_rural heating modern,electricity,start-year,,1
resid_rural heating modern,refined liquids,start-year,,1
resid_rural cooling modern,electricity,start-year,,1
resid_rural hot water_cooking modern,gas,start-year,,1
resid_rural hot water_cooking modern,electricity,start-year,,1
resid_rural hot water_cooking modern,refined liquids,start-year,,1
resid_rural hot water_cooking modern,coal,start-year,,1
resid_rural hot water_cooking modern,traditional biomass,start-year,,1
resid_rural lighting modern,electricity,start-year,,1
resid_rural appliances modern,electricity,start-year,,1
resid_urban heating modern,coal,start-year,,1
resid_urban heating modern,biomass,start-year,,1
resid_urban heating modern,gas,start-year,,1
resid_urban heating modern,electricity,start-year,,1
resid_urban heating modern,refined liquids,start-year,,1
resid_urban heating modern,heat,start-year,,1
resid_urban cooling modern,electricity,start-year,,1
resid_urban hot water_cooking modern,gas,start-year,,1
resid_urban hot water_cooking modern,electricity,start-year,,1
resid_urban hot water_cooking modern,refined liquids,start-year,,1
resid_urban hot water_cooking modern,coal,start-year,,1
resid_urban lighting modern,electricity,start-year,,1
resid_urban appliances modern,electricity,start-year,,1
comm heating,biomass,start-year,,1
comm heating,coal,start-year,,1
comm heating,gas,start-year,,1
comm heating,electricity,start-year,,1
comm heating,refined liquids,start-year,,1
comm heating,heat,start-year,,1
comm cooling,electricity,start-year,,1
comm hot water_cooking,gas,start-year,,1
comm hot water_cooking,electricity,start-year,,1
comm hot water_cooking,refined liquids,start-year,,1
comm hot water_cooking,coal,start-year,,1
comm lighting,electricity,start-year,,1
comm appliances,electricity,start-year,,1
