# File: ABSPI_intra_province_electricity_trade.csv
# Title: Intraprovince electricity trade
# Units: GWh
# Comments: obtained from Annual Book of Statistics for Power Industry from 2005 to 2019 preprocessed from original data format in Chinese
# Column types: ccnic
# ----------
from.region,to.region,value,year,units
BJ,BJ,0,2005,GWh
TJ,BJ,2869.08,2005,GWh
HE,BJ,0,2005,GWh
SX,BJ,13913.38,2005,GWh
NM,BJ,4565.1825,2005,GWh
LN,BJ,982.295,2005,GWh
JL,BJ,0,2005,GWh
HL,BJ,0,2005,GWh
SH,BJ,0,2005,GWh
JS,BJ,0,2005,GWh
ZJ,BJ,0,2005,GWh
AH,BJ,0,2005,GWh
FJ,BJ,0,2005,GWh
JX,BJ,0,2005,GWh
SD,BJ,0,2005,GWh
HA,BJ,0,2005,GWh
HB,BJ,0,2005,GWh
HN,BJ,0,2005,GWh
GD,BJ,0,2005,GWh
GX,BJ,0,2005,GWh
HI,BJ,0,2005,GWh
CQ,BJ,0,2005,GWh
SC,BJ,0,2005,GWh
GZ,BJ,0,2005,GWh
YN,BJ,0,2005,GWh
SN,BJ,0,2005,GWh
GS,BJ,0,2005,GWh
QH,BJ,0,2005,GWh
NX,BJ,0,2005,GWh
XJ,BJ,0,2005,GWh
BJ,TJ,0,2005,GWh
TJ,TJ,0,2005,GWh
HE,TJ,0,2005,GWh
SX,TJ,0,2005,GWh
NM,TJ,4565.1825,2005,GWh
LN,TJ,982.295,2005,GWh
JL,TJ,0,2005,GWh
HL,TJ,0,2005,GWh
SH,TJ,0,2005,GWh
JS,TJ,0,2005,GWh
ZJ,TJ,0,2005,GWh
AH,TJ,0,2005,GWh
FJ,TJ,0,2005,GWh
JX,TJ,0,2005,GWh
SD,TJ,0,2005,GWh
HA,TJ,0,2005,GWh
HB,TJ,0,2005,GWh
HN,TJ,0,2005,GWh
GD,TJ,0,2005,GWh
GX,TJ,0,2005,GWh
HI,TJ,0,2005,GWh
CQ,TJ,0,2005,GWh
SC,TJ,0,2005,GWh
GZ,TJ,0,2005,GWh
YN,TJ,0,2005,GWh
SN,TJ,0,2005,GWh
GS,TJ,0,2005,GWh
QH,TJ,0,2005,GWh
NX,TJ,0,2005,GWh
XJ,TJ,0,2005,GWh
BJ,HE,80.28,2005,GWh
TJ,HE,2869.08,2005,GWh
HE,HE,0,2005,GWh
SX,HE,10675.2,2005,GWh
NM,HE,4565.1825,2005,GWh
LN,HE,982.295,2005,GWh
JL,HE,0,2005,GWh
HL,HE,0,2005,GWh
SH,HE,0,2005,GWh
JS,HE,0,2005,GWh
ZJ,HE,0,2005,GWh
AH,HE,0,2005,GWh
FJ,HE,0,2005,GWh
JX,HE,0,2005,GWh
SD,HE,5.86,2005,GWh
HA,HE,790.94,2005,GWh
HB,HE,0,2005,GWh
HN,HE,0,2005,GWh
GD,HE,0,2005,GWh
GX,HE,0,2005,GWh
HI,HE,0,2005,GWh
CQ,HE,0,2005,GWh
SC,HE,0,2005,GWh
GZ,HE,0,2005,GWh
YN,HE,0,2005,GWh
SN,HE,0,2005,GWh
GS,HE,0,2005,GWh
QH,HE,0,2005,GWh
NX,HE,0,2005,GWh
XJ,HE,0,2005,GWh
BJ,SX,0,2005,GWh
TJ,SX,0,2005,GWh
HE,SX,0,2005,GWh
SX,SX,0,2005,GWh
NM,SX,4565.1825,2005,GWh
LN,SX,982.295,2005,GWh
JL,SX,0,2005,GWh
HL,SX,0,2005,GWh
SH,SX,0,2005,GWh
JS,SX,0,2005,GWh
ZJ,SX,0,2005,GWh
AH,SX,0,2005,GWh
FJ,SX,0,2005,GWh
JX,SX,0,2005,GWh
SD,SX,0,2005,GWh
HA,SX,0,2005,GWh
HB,SX,0,2005,GWh
HN,SX,0,2005,GWh
GD,SX,0,2005,GWh
GX,SX,0,2005,GWh
HI,SX,0,2005,GWh
CQ,SX,0,2005,GWh
SC,SX,0,2005,GWh
GZ,SX,0,2005,GWh
YN,SX,0,2005,GWh
SN,SX,0,2005,GWh
GS,SX,0,2005,GWh
QH,SX,0,2005,GWh
NX,SX,0,2005,GWh
XJ,SX,0,2005,GWh
BJ,NM,0,2005,GWh
TJ,NM,0,2005,GWh
HE,NM,0,2005,GWh
SX,NM,0,2005,GWh
NM,NM,0,2005,GWh
LN,NM,9.15,2005,GWh
JL,NM,18.42,2005,GWh
HL,NM,0,2005,GWh
SH,NM,0,2005,GWh
JS,NM,0,2005,GWh
ZJ,NM,0,2005,GWh
AH,NM,0,2005,GWh
FJ,NM,0,2005,GWh
JX,NM,0,2005,GWh
SD,NM,0,2005,GWh
HA,NM,0,2005,GWh
HB,NM,0,2005,GWh
HN,NM,0,2005,GWh
GD,NM,0,2005,GWh
GX,NM,0,2005,GWh
HI,NM,0,2005,GWh
CQ,NM,0,2005,GWh
SC,NM,0,2005,GWh
GZ,NM,0,2005,GWh
YN,NM,0,2005,GWh
SN,NM,0,2005,GWh
GS,NM,0,2005,GWh
QH,NM,0,2005,GWh
NX,NM,1628.49,2005,GWh
XJ,NM,0,2005,GWh
BJ,LN,0,2005,GWh
TJ,LN,0,2005,GWh
HE,LN,0,2005,GWh
SX,LN,0,2005,GWh
NM,LN,4550.19,2005,GWh
LN,LN,0,2005,GWh
JL,LN,18579.17,2005,GWh
HL,LN,0,2005,GWh
SH,LN,0,2005,GWh
JS,LN,0,2005,GWh
ZJ,LN,0,2005,GWh
AH,LN,0,2005,GWh
FJ,LN,0,2005,GWh
JX,LN,0,2005,GWh
SD,LN,0,2005,GWh
HA,LN,0,2005,GWh
HB,LN,0,2005,GWh
HN,LN,0,2005,GWh
GD,LN,0,2005,GWh
GX,LN,0,2005,GWh
HI,LN,0,2005,GWh
CQ,LN,0,2005,GWh
SC,LN,0,2005,GWh
GZ,LN,0,2005,GWh
YN,LN,0,2005,GWh
SN,LN,0,2005,GWh
GS,LN,0,2005,GWh
QH,LN,0,2005,GWh
NX,LN,0,2005,GWh
XJ,LN,0,2005,GWh
BJ,JL,0,2005,GWh
TJ,JL,0,2005,GWh
HE,JL,0,2005,GWh
SX,JL,0,2005,GWh
NM,JL,4550.19,2005,GWh
LN,JL,9.98,2005,GWh
JL,JL,0,2005,GWh
HL,JL,10977.69,2005,GWh
SH,JL,0,2005,GWh
JS,JL,0,2005,GWh
ZJ,JL,0,2005,GWh
AH,JL,0,2005,GWh
FJ,JL,0,2005,GWh
JX,JL,0,2005,GWh
SD,JL,0,2005,GWh
HA,JL,0,2005,GWh
HB,JL,0,2005,GWh
HN,JL,0,2005,GWh
GD,JL,0,2005,GWh
GX,JL,0,2005,GWh
HI,JL,0,2005,GWh
CQ,JL,0,2005,GWh
SC,JL,0,2005,GWh
GZ,JL,0,2005,GWh
YN,JL,0,2005,GWh
SN,JL,0,2005,GWh
GS,JL,0,2005,GWh
QH,JL,0,2005,GWh
NX,JL,0,2005,GWh
XJ,JL,0,2005,GWh
BJ,HL,0,2005,GWh
TJ,HL,0,2005,GWh
HE,HL,0,2005,GWh
