# File: CCS_provincial_data.csv
# Title: CO2 and Cost(2005USD) by province
# Units: CO2-Mt,Cost-2005USD per t CO2
# Description: Provincial CO2 and Cost(2005USD)
# Source: PNNL's research based on Dahowski et al. (2010, 2017)
# Column types: ccnn
# ----------
province.name,ID,CO2_Mt,Cost_2005USDtCO2
Anhui,Anhui_EOR_001,22.7,-101.299905
Anhui,Anhui_EOR_002,6.3,-45.22455
Anhui,Anhui_EOR_003,11.1,-20.821815
Anhui,Anhui_EOR_004,8.2,-16.901325
Anhui,Anhui_EOR_005,3.1,1.1438
Anhui,Anhui_DSF_001,1194.2,0.9576
Anhui,Anhui_DSF_002,1050.4,1.0108
Anhui,Anhui_DSF_003,804.2,1.0564
Anhui,Anhui_DSF_004,739.8,1.0564
Anhui,Anhui_DSF_005,537.8,1.1476
Anhui,Anhui_DSF_006,469.1,1.2768
Anhui,Anhui_DSF_007,952,1.4896
Anhui,Anhui_ECBM_001,18.9,-1.1190375
Anhui,Anhui_DSF_008,217.8,1.5504
Anhui,Anhui_ECBM_002,46.8,-1.135575
Anhui,Anhui_DSF_009,167.5,1.634
Anhui,Anhui_DSF_010,167.5,1.634
Anhui,Anhui_DSF_011,569.6,1.748
Anhui,Anhui_DSF_012,823,1.786
Anhui,Anhui_DSF_013,90.6,1.9
Anhui,Anhui_DSF_014,569.6,1.9152
Anhui,Anhui_DSF_015,187.2,2.0824
Anhui,Anhui_DSF_016,402.1,2.1736
Anhui,Anhui_DSF_017,75.5,2.1888
Anhui,Anhui_DSF_018,402.1,2.1888
Anhui,Anhui_DSF_019,396.7,2.2496
Anhui,Anhui_ECBM_003,11.3,-1.7584875
Anhui,Anhui_DSF_020,82.3,2.432
Anhui,Anhui_DSF_021,67,2.5916
Anhui,Anhui_DSF_022,45.3,2.9488
Anhui,Anhui_DSF_023,107.1,3.2376
Anhui,Anhui_DSF_024,53.6,3.4732
Anhui,Anhui_DSF_025,78,3.4884
Anhui,Anhui_DSF_026,39,3.5112
Anhui,Anhui_DSF_027,83.8,3.5492
Anhui,Anhui_DSF_028,123,3.5644
Anhui,Anhui_DSF_029,44.3,3.7164
Anhui,Anhui_DSF_030,70.2,3.762
Anhui,Anhui_DSF_031,35.1,3.8152
Anhui,Anhui_DSF_032,32.7,3.8228
Anhui,Anhui_DSF_033,123,4.0052
Anhui,Anhui_DSF_034,59.3,4.1268
Anhui,Anhui_DSF_035,31.2,4.1876
Anhui,Anhui_DSF_036,94.4,4.3776
Anhui,Anhui_DSF_037,95.4,4.3928
Anhui,Anhui_DSF_038,54.6,4.4004
Anhui,Anhui_DSF_039,78,4.7044
Anhui,Anhui_DSF_040,50.7,4.75
Anhui,Anhui_DSF_041,49.2,4.8564
Anhui,Anhui_DSF_042,25.3,4.9628
Anhui,Anhui_DSF_043,25,5.016
Anhui,Anhui_DSF_044,45.8,5.054
Anhui,Anhui_DSF_045,25.2,5.1528
Anhui,Anhui_DSF_046,24.1,5.1528
Anhui,Anhui_DSF_047,67,5.3352
Anhui,Anhui_DSF_048,39,5.7684
Anhui,Anhui_DSF_049,18.9,6.3004
Anhui,Anhui_DSF_050,46.8,6.65
Anhui,Anhui_DSF_051,46.8,6.764
Anhui,Anhui_DSF_052,23.4,7.3112
Anhui,Anhui_DSF_053,12.6,7.334
Anhui,Anhui_DSF_054,15.6,7.3872
Anhui,Anhui_DSF_055,15.6,7.9496
Anhui,Anhui_DSF_056,18.3,8.3904
Anhui,Anhui_DSF_057,15.6,8.816
Anhui,Anhui_DSF_058,15.6,8.8388
Anhui,Anhui_DSF_059,12.5,8.9224
Anhui,Anhui_DSF_060,16.8,9.31
Anhui,Anhui_DSF_061,15.6,9.4544
Anhui,Anhui_DSF_062,13.7,10.032
Anhui,Anhui_DSF_063,15.6,10.2296
