# File: China_Compendium_of_Statistics.csv
# Title: Historical population by region
# Units: 10000 persons
# Description: Region population by historical years
# Source: China Compendium of Statistics (60-year statistics), 1949-2008
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Region,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
National Total,92420,93717,94974,96259,97542,98705,100072,101654,103008,104357,105851,107507,109300,111026,112704,114333,115823,117171,118517,119850,121121,122389,123626,124761,125786,126743,127627,128453,129227,129988,130756,131448,132129,132802
Beijing,844.4,845.1,860.5,871.5,897.1,904.3,919.2,935,950,965,981,1028,1047,1061,1075,1086,1094,1102,1112,1125,1251.1,1259.4,1240,1245.6,1257.2,1363.6,1385.1,1423.2,1456.4,1492.7,1538,1581,1633,1695
Tianjin,702.86,706.5,712.87,724.27,739.42,748.91,760.32,774.92,785.28,795.52,804.8,814.97,828.73,839.21,852.35,866.25,872.63,878.97,885.89,890.55,894.67,898.45,899.8,905.09,910.17,912,913.98,919.05,926,932.55,939.31,948.89,959.1,968.87
Hebei,4913,4943,4998,5057,5105,5168,5256,5356,5420,5487,5548,5627,5710,5795,5881,6159,6220,6275,6334,6388,6437,6484,6525,6569,6614,6674,6699,6735,6769,6809,6851,6898,6943,6989
Shanxi,2340,2373.1,2398.4,2423.6,2447.2,2476.5,2508.8,2546,2588.4,2631.5,2673.5,2713.5,2758.1,2807.2,2853,2899,2941.9,2979.3,3012.6,3045.2,3077.3,3109.3,3140.9,3172.2,3203.6,3247.8,3271.6,3293.7,3314.3,3335.1,3355.2,3374.6,3392.6,3410.6
Inner Mongolia,1737.9,1769.2,1798.1,1823.4,1851.8,1876.5,1902.9,1941.6,1969.8,1993.1,2015.9,2040.7,2066.4,2093.9,2122.2,2162.6,2183.9,2206.6,2232.4,2260.5,2284.4,2306.6,2325.7,2344.9,2361.9,2372.4,2377.5,2378.6,2379.6,2384.4,2386.4,2392.4,2405.1,2413.7
Liaoning,3282,3311,3345,3394,3443,3487,3535,3592,3629,3655,3686,3726,3777,3826,3876,3917,3939,3958,3983,4007,4034,4057,4077,4090,4103,4135,4147,4155,4162,4173,4221,4271,4298,4315
Jilin,2063.9,2092.6,2117.9,2149.3,2184.6,2210.7,2230.9,2257.6,2269.5,2284.5,2298,2315.3,2336.4,2357.4,2395.4,2440.2,2459.7,2474,2496.1,2515.6,2550.9,2579.1,2600.1,2603.2,2616.1,2627.3,2637.1,2649.4,2658.6,2661.9,2669.4,2679.5,2696.1,2710.5
Heilongjiang,2958.1,3019.4,3072.5,3129.6,3168.7,3203.8,3239.3,3281.1,3306,3331,3357,3385,3424,3466,3510,3543,3575,3608,3640,3672,3701,3728,3751,3773,3792,3807,3811,3813,3815,3816.8,3820,3823,3824,3825
Shanghai,1076.72,1081.3,1086.47,1098.28,1132.14,1146.52,1162.84,1180.51,1194.01,1204.78,1216.69,1232.33,1249.51,1262.42,1276.45,1283.35,1287.2,1289.37,1294.74,1298.81,1301.37,1304.43,1305.46,1306.58,1313.12,1321.63,1327.14,1334.23,1341.77,1352.39,1360.26,1368.08,1378.86,1391.04
Jiangsu,5636.12,5700.76,5765.28,5834.33,5892.55,5938.19,6010.24,6088.94,6134.99,6171.43,6213.48,6269.9,6348,6438.27,6535.85,6766.9,6843.7,6911.2,6967.27,7020.54,7066.02,7110.16,7147.86,7182.46,7213.13,7327.24,7354.92,7380.97,7405.82,7432.5,7474.5,7549.5,7624.5,7676.5
Zhejiang,3614.47,3662.82,3707.4,3750.96,3792.33,3826.58,3871.51,3924.32,3963.1,3993.09,4029.56,4070.07,4121.19,4169.85,4208.88,4238,4269.5,4304.4,4334.8,4363.7,4389,4413,4434.8,4456.2,4475.4,4679.91,4697.27,4730.76,4763.46,4803.48,4898,4980,5060,5120
Anhui,4492,4558,4628,4713,4803,4893,4957,5016,5056,5103,5156,5217,5287,5377,5469,5661,5744,5817,5870,5938,6000,6054,6109,6152,6205,6278,6325,6369,6410,6461,6516,6593,6676,6741
Fujian,2297,2351,2402,2446,2487,2519,2563,2620,2668,2720,2769,2820,2875,2929,2984,3037,3079,3116,3150,3183,3227,3261,3282,3299,3316,3410,3440,3466,3488,3511,3535,3558,3581,3604
Jiangxi,2968.5,3048.2,3118,3182.8,3229,3270.2,3303.9,3348.3,3394.5,3457.9,3509.8,3575.8,3632.3,3683.9,3746.2,3810.6,3864.6,3913.1,3966,4015.4,4062.5,4105.5,4150.3,4191.2,4231.2,4148.5,4185.8,4222.4,4254.2,4283.6,4311.2,4339.1,4368.4,4400.1
Shandong,6971,7038,7099,7160,7232,7296,7395,7494,7564,7637,7711,7818,7958,8061,8160,8493,8570,8610,8642,8671,8705,8738,8785,8838,8883,8997,9041,9082,9125,9180,9248,9309,9367,9417
Henan,6758,6852,6957,7067,7189,7285,7397,7519,7632,7737,7847,7985,8148,8317,8491,8649,8763,8861,8946,9027,9100,9172,9243,9315,9387,9488,9555,9613,9667,9717,9768,9820,9869,9918
