# File: China_Statistics_Yearbook.csv
# Title: Population at year-end by region
# Units: 10000 persons
# Description: Region population by historical years
# Source: Data of 2010 are the census year estimates; the rest are the estimates from the annual national sample survey of population. Since 2005, data by region are of usual residents. Data of 2006-2009 of Beijing and data of 2001-2009 of Tibet were revised according to the 2010 National Population Census results in 2012."
# Column types: cnnnnnnnnnnnnnnnnnnnn
# ----------
Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
National Total,126743,127627,128453,129227,129988,130756,131448,132129,132802,133450,134091,134735,135404,136072,136782,137462,138271,139008,139538,140005
Beijing,1364,1385,1423,1456,1493,1538,1601,1676,1771,1860,1962,2019,2069,2115,2152,2171,2173,2171,2154,2154
Tianjin,1001,1004,1007,1011,1024,1043,1075,1115,1176,1228,1299,1355,1413,1472,1517,1547,1562,1557,1560,1562
Hebei,6674,6699,6735,6769,6809,6851,6898,6943,6989,7034,7194,7241,7288,7333,7384,7425,7470,7520,7556,7592
Shanxi,3247,3272,3294,3314,3335,3355,3375,3393,3411,3427,3574,3593,3611,3630,3648,3664,3682,3702,3718,3729
Inner Mongolia,2372,2381,2384,2386,2393,2403,2415,2429,2444,2458,2472,2482,2490,2498,2505,2511,2520,2529,2534,2540
Liaoning,4184,4194,4203,4210,4217,4221,4271,4298,4315,4341,4375,4383,4389,4390,4391,4382,4378,4369,4359,4352
Jilin,2682,2691,2699,2704,2709,2716,2723,2730,2734,2740,2747,2749,2750,2751,2752,2753,2733,2717,2704,2691
Heilongjiang,3807,3811,3813,3815,3817,3820,3823,3824,3825,3826,3833,3834,3834,3535,3833,3812,3799,3789,3773,3751
Shanghai,1609,1668,1713,1766,1835,1890,1964,2064,2141,2210,2303,2347,2380,2415,2426,2415,2420,2418,2424,2428
Jiangsu,7327,7359,7406,7458,7523,7588,7656,7723,7762,7810,7869,7899,7920,7939,7960,7976,7999,8029,8051,8070
Zhejiang,4680,4729,4776,4857,4925,4991,5072,5155,5212,5276,5447,5463,5477,5498,5508,5539,5590,5657,5737,5850
Anhui,6093,6128,6144,6163,6228,6120,6110,6118,6135,6131,5957,5968,5988,6030,6083,6144,6196,6255,6324,6366
Fujian,3410,3445,3476,3502,3529,3557,3585,3612,3639,3666,3693,3720,3748,3774,3806,3839,3874,3911,3941,3973
Jiangxi,4149,4186,4222,4254,4284,4311,4339,4368,4400,4432,4462,4488,4504,4522,4542,4566,4592,4622,4648,4666
Shandong,8998,9041,9082,9125,9180,9248,9309,9367,9417,9470,9588,9637,9685,9733,9789,9847,9947,10006,10047,10070
Henan,9488,9555,9613,9667,9717,9380,9392,9360,9429,9487,9405,9388,9406,9413,9436,9480,9532,9559,9605,9640
Hubei,5646,5658,5672,5685,5698,5710,5693,5699,5711,5720,5728,5758,5779,5799,5816,5852,5885,5902,5917,5927
Hunan,6562,6596,6629,6663,6698,6326,6342,6355,6380,6406,6570,6596,6639,6691,6737,6783,6822,6860,6899,6918
Guangdong,8650,8733,8842,8963,9111,9194,9442,9660,9893,10130,10441,10505,10594,10644,10724,10849,10999,11169,11346,11521
Guangxi,4751,4788,4822,4857,4889,4660,4719,4768,4816,4856,4610,4645,4682,4719,4754,4796,4838,4885,4926,4960
Hainan,789,796,803,811,818,828,836,845,854,864,869,877,887,895,903,911,917,926,934,945
Chongqing,2849,2829,2814,2803,2793,2798,2808,2816,2839,2859,2885,2919,2945,2970,2991,3017,3048,3075,3102,3124
Sichuan,8329,8143,8110,8176,8090,8212,8169,8127,8138,8185,8045,8050,8076,8107,8140,8204,8262,8302,8341,8375
Guizhou,3756,3799,3837,3870,3904,3730,3690,3632,3596,3537,3479,3469,3484,3502,3508,3530,3555,3580,3600,3623
Yunnan,4241,4287,4333,4376,4415,4450,4483,4514,4543,4571,4602,4631,4659,4687,4714,4742,4771,4801,4830,4858
Tibet,258,264,268,272,276,280,285,289,292,296,300,303,308,312,318,324,331,337,344,351
Shaanxi,3644,3653,3662,3672,3681,3690,3699,3708,3718,3727,3735,3743,3753,3764,3775,3793,3813,3835,3864,3876
Gansu,2515,2523,2531,2537,2541,2545,2547,2548,2551,2555,2560,2564,2578,2582,2591,2600,2610,2626,2637,2647
Qinghai,517,523,529,534,539,543,548,552,554,557,563,568,573,578,583,588,593,598,603,608
Ningxia,554,563,572,580,588,596,604,610,618,625,633,639,647,654,662,668,675,682,688,695
Xinjiang,1849,1876,1905,1934,1963,2010,2050,2095,2131,2159,2185,2209,2233,2264,2298,2360,2398,2445,2487,2523
sum,125995,126579,127319,128190,129022,128604,129523,130393,131434,132443,133385,134042,134789,135216,136246,137088,137984,138834,139653,140385
difference,748,1048,1134,1037,966,2152,1925,1736,1368,1007,706,693,615,856,536,374,287,174,-115,-380
