# File: GDP_deflator.csv
# Title: GDP deflator
# Units: 2015 USD as base year
# Description: GDP deflator
# Source: https://data.worldbank.org/indicator/NY.GDP.DEFL.ZS?locations=CN
# Column types: nn
# ----------
Year,GDP deflator
1975,15.78822563
1976,15.77144492
1977,15.94394853
1978,16.21098416
1979,16.79323439
1980,17.42771604
1981,17.82852129
1982,17.81701196
1983,18.0125466
1984,18.91171384
1985,20.84014941
1986,21.81523326
1987,22.91753004
1988,25.68955374
1989,27.90496927
1990,29.50241428
1991,31.47435141
1992,34.05469669
1993,39.23176142
1994,47.31374337
1995,53.78178716
1996,57.27819275
1997,58.20733692
1998,57.68778442
1999,56.956067
2000,58.13019432
2001,59.31786105
2002,59.67664552
2003,61.23148543
2004,65.48971997
2005,68.04554784
2006,70.71831629
2007,76.1984058
2008,82.13563466
2009,81.96271131
2010,87.60268422
2011,94.67712341
2012,96.8879485
2013,98.98171561
2014,100.0034387
2015,100
2016,101.4073863
2017,105.7006155
2018,109.397987
2019,111.128412
