# File: GDP_raw.csv
# Title: Raw provincial GDP data for historical years
# Units: 100000000 RMB
# Description: Raw provincial GDP data for historical years
# Source: CNKI data extractor (China Statistics Yearbook and China Compendium of Statistics (60-year statistics))
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
province.name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
National Total,3013.1108,2961.5,3221.1,3645.2,4062.6,4545.6,4891.6,5323.4,5962.7,7208.1,9016,10275.2,12058.6,15042.8,16992.3,18667.8,21781.5,26923.5,35333.9,48197.9,60793.7,71176.6,78973,84402.3,89677.1,100280.1,110863.1,121717.4,137422,161840.2,187318.9,219438.5,270092.3,319244.6,348517.7,412119.3,487940.2,538580,592963.2,"643,563.10","688,858.20","746,395.10","832,035.90","919,281.10",990865.1
Beijing,91.25,93.84,99.09,109,120.11,139.1,139.2,154.94,183.13,216.61,257.12,284.9,326.8246,410.22,456,501,598.9,709.1,886.2,1145.3,1507.7,1789.2,2077.1,2377.2,2678.8,3161.66,3707.96,4315,5007.21,6033.21,6969.52,8117.78,9846.81,11115,12153.03,"19,034.98","21,918.98","21,774.00","24,113.95","25,977.24","25,129.31","28,027.77","30,589.13","33,105.97","35,371.28"
Tianjin,69.73,65.25,67.73,83,93.01,103.53,107.96,114.11,123.42,147.53,176,194.74,220.12,259.71,283.49,311,342.8,411.24,538.94,732.89,932,1121.93,1264.63,1374.6,1450.06,1701.88,1919.09,2150.76,2578.03,3110.97,3905.64,4462.74,5252.76,6719.01,7521.85,"7,938.09","9,730.46","9,906.38","11,095.81","12,083.01","11,749.22","12,706.31","13,177.89","13,362.92","14,104.28"
Hebei,132.79,133.95,158.18,183.1,203.22,219.24,222.54,251.45,283.21,332.22,397,436.65,521.92,701.33,822.83,896.33,1072.07,1278.5,1690.84,2187.49,2850,3453,3953.8,4256.01,4569.2,5043.96,5516.76,6018.28,6921.29,8477.63,10012.11,11467.6,13607.32,16011.97,17235.48,"21,193.07","25,476.00","25,802.28","27,615.91","28,565.67","26,896.16","28,939.43","30,695.33","32,494.61","35,104.52"
Shanxi,69.8101,64.61,75.3,88,106.4308,108.8,121.7109,139.2216,155.1,197.4231,219,235.1114,257.23,316.7,376.3,429.3,468.5131,551.1228,680.41,826.66,1093,1308.02,1480.13,1611.08,1667.1,1845.72,2029.53,2324.8,2855.23,3571.37,4230.53,4878.61,6024.45,7315.4,7358.31,"9,331.56","11,397.18","11,749.06","12,284.89","12,378.24","12,113.69","12,383.09","14,734.39","15,958.13","17,026.68"
Inner Mongolia,48.6,48.1,51.7,58.04,64.14,68.4,77.91,93.22,105.9,128.2,164,181.6,212.3,270.81,292.7,319.31,359.7,421.7,537.81,695.1,857.0643,1023.09,1153.51,1262.54,1379.3125,1539.12,1713.81,1940.94,2388.38,3041.07,3905.03,4944.25,6423.18,8496.2,9740.25,"10,074.89","12,394.98","12,868.18","13,707.59","14,399.35","14,212.64","14,449.04","15,027.00","16,140.76","17,212.53"
Liaoning,198.51,204,203.8,229.2,245,281,288.61,315.1,364.02,438.2,519,605.33,719.12,881.24,1003.81,1063,1200.1,1473,2010.82,2461.8,2793.4,3157.7,3582.5,3881.73,4171.7,4669.06,5033.08,5458.22,6002.54,6672,8047.26,9304.52,11164.3,13668.58,15212.49,"14,568.63","17,543.90","17,906.03","19,611.70","20,630.26","21,190.61","20,660.85","21,740.32","23,510.54","24,909.45"
Jilin,72.31,67.32,72.91,82,91.12,98.6,111.2,121.7,150.14,174.4,200.44,227.2,297.5,368.7,391.7,425.3,463.5,558.1,718.6,937.73,1137.23,1346.8,1464.34,1577.1,1682.1,1951.51,2120.35,2348.54,2662.08,3122.01,3620.27,4275.12,5284.69,6426.1,7278.75,"7,429.57","9,059.26","9,365.44","10,233.93","10,827.53","10,498.69","11,031.48","11,156.69","11,253.81","11,726.82"
Heilongjiang,141.5,144.2,155.7,175,187.2,221,228.3,248.4,276.9,318.3,355.04,400.8,454.6,552,630.6,715.23,824.2,964,1203.22,1618.63,2020,2404.7,2720,2843,2898,3151.4,3390.1,3637.2,4057.4,4750.6,5513.7,6211.8,7104,8314.37,8587,"8,767.20","10,638.75","10,965.61","11,576.96","12,045.06","11,843.09","12,080.53","12,486.14","12,846.48","13,612.68"
Shanghai,204.12,208.12,230.36,273,286.43,312,324.76,337.07,351.81,390.85,467,490.83,545.46,648.3,696.54,781.66,893.77,1114.32,1519.23,1990.86,2499.43,2957.55,3438.79,3801.09,4188.73,4771.17,5210.12,5741.03,6694.23,8072.83,9247.66,10572.24,12494.01,14069.86,15046.45,"22,936.86","25,648.92","24,943.87","26,966.44","29,128.82","27,684.97","31,051.67","33,756.25","36,011.82","38,155.32"
Jiangsu,184.16,187.97,202.4,249.24,298.55,319.8,350.02,390.17,437.65,518.85,652,744.94,922.33,1208.85,1321.85,1417,1601.38,2136.02,2998.16,4057.39,5155.3,6057,6695,7201,7701,8553.69,9456.84,10606.85,12442.87,15003.6,18598.69,21742.05,26018.48,30981.98,34457.3,"50,872.80","60,310.15","60,059.14","66,386.50","72,313.68","70,579.92","77,899.90","86,437.45","93,207.55","99,631.52"
Zhejiang,84.23,87.27,100,124,157.75,179.92,204.86,234.01,257.09,323.25,429.2,502.47,606.99,770.25,849.44,904.7,1089.33,1375.7,1925.91,2689.28,3557.6,4188.53,4686.11,5052.62,5443.92,6141.03,6898.34,8003.67,9705.02,11648.7,13417.68,15718.47,18753.73,21462.69,22990.35,"34,336.47","40,029.68","39,420.68","42,936.00","45,683.92","44,264.49","48,769.61","53,431.64","58,002.84","62,351.74"
Anhui,97.1,105.8,108.1,114.1,127.5,141,170.6,187.1,215.7,265.8,331.4,382.8,442.6,546.94,616.25,658.02,663.6,801.2,1037.14,1320.43,1810.7,2093.3,2347.32,2542.96,2712.34,2902.09,3246.71,3519.72,3923.11,4759.3,5350.17,6112.5,7360.92,8851.66,10062.82,"17,358.68","21,489.76","21,638.27","24,174.32","26,210.18","24,942.05","27,664.56","30,623.26","34,010.91","37,113.98"
Fujian,46.48,46.92,52.41,66.4,74.11,87.1,105.62,117.81,127.76,157.06,200.5,222.54,279.24,383.21,458.4,523.3,619.87,787.71,1133.49,1685.34,2094.9,2484.25,2870.9,3159.91,3414.19,3764.54,4072.85,4467.55,4983.67,5763.35,6554.69,7583.85,9248.53,10823.01,12236.53,"19,601.24","23,356.07","23,608.21","26,204.53","28,825.48","28,072.29","31,131.04","34,774.10","38,687.77","42,395.00"
Jiangxi,68.12,64.34,74.78,87,104.2,111.2,121.3,134,144.13,169.11,208,230.82,262.9,325.83,376.5,428.62,479.4,572.6,723.06,948.2,1169.73,1409.74,1605.77,1719.87,1853.65,2003.07,2175.68,2450.48,2807.41,3456.7,4056.76,4820.53,5800.25,6971.05,7655.18,"12,021.55","14,885.43","14,800.13","16,470.36","17,961.29","17,280.41","19,114.71","20,672.19","22,716.51","24,757.50"
Shandong,166.19,179.58,207.07,225.5,251.6,292.13,346.57,395.38,459.83,581.56,680.5,742.05,892.29,1117.66,1293.94,1511.2,1810.54,2196.53,2779.5,3872.2,5002.34,5960.42,6650.02,7021.35,7493.84,8337.47,9195.04,10275.5,12078.15,15021.84,18366.87,21900.19,25776.91,30933.28,33896.65,"40,705.91","47,140.65","47,064.91","51,974.44","55,923.34","54,911.11","59,288.28","63,305.94","66,648.87","71,067.53"
Henan,127.77,125.52,144.11,163,190.09,229.2,249.69,263.3,327.95,370.04,452,502.91,609.6,749.09,850.71,935,1045.73,1279.75,1662.76,2224.43,3003,3683.41,4080.5,4356.6,4581,5052.99,5533.01,6035.48,6867.7,8553.79,10587.42,12362.79,15012.46,18018.53,19480.46,"28,544.15","33,289.08","33,641.35","36,587.30","39,709.36","38,449.76","42,055.13","46,295.82","49,935.90","54,259.20"
Hubei,120.1,114.64,131.11,151,188.46,199.4,219.75,241.55,262.58,328.22,396.3,442.04,517.77,626.52,717.08,824.4,913.38,1088.39,1325.8332,1700.9175,2109.3842,2499.7666,2856.4704,3114.0156,3229.2916,3545.39,3880.53,4212.82,4757.45,5633.24,6590.19,7617.47,9333.4,11328.92,12961.1,"20,993.55","25,811.69","26,255.18","29,253.97","32,307.05","31,543.45","34,868.76","37,871.20","42,021.95","45,828.31"
Hunan,118.4,118.53,129.17,147,178.01,191.72,209.68,232.52,257.43,287.29,350,397.68,469.44,584.07,640.8,744.44,833.3,997.7,1278.28,1694.42,2132.13,2540.13,2849.27,3025.53,3214.54,3551.49,3831.9,4151.54,4659.99,5641.94,6596.1,7688.67,9439.6,11555,13059.69,"19,406.62","23,801.01","24,121.07","26,807.57","29,437.68","28,825.96","31,468.13","33,813.52","36,329.68","39,752.12"
Guangdong,157.66,156.38,168.9,186,209.34,249.7,290.36,339.9242,368.7537,458.74,577.4,667.5302,846.69,1155.37,1381.39,1559.03,1893.3,2447.54,3469.2834,4619.02,5933.05,6834.97,7774.53,8530.88,9250.68,10741.25,12039.25,13502.42,15844.64,18864.62,22557.37,26587.76,31777.01,36796.71,39482.56,"57,470.17","66,459.47","65,108.94","71,277.65","77,364.44","74,809.14","83,072.03","92,165.03","99,945.22","107,671.07"
Guangxi,67.02,67.32,68.75,76,84.59,97.33,113.46,129.15,134.6,150.27,181,205.46,241.56,313.28,383.44,449.1,518.59,646.6,871.7,1198.29,1498,1698,1817.3,1911.3,2002,2080.04,2279.34,2523.73,2821.11,3433.5,3984.1,4746.16,5823.41,7021,7759.16,"11,153.13","13,660.02","13,704.26","15,191.69","16,477.46","16,205.09","17,665.71","17,864.01","19,627.81","21,237.14"
Hainan,,,,16.4,17.45,19.33,22.23,28.86,31.12,37.18,43.3,48.03,57.6,77.13,91.4,102.49,120.52,184.92,260.41,331.98,364.17,389.68,418,442.13,476.67,526.82,579.17,642.73,713.96,819.66,918.75,1065.67,1254.17,1503.06,1654.21,"2,555.67","3,122.83","3,176.67","3,534.90","3,894.40","3,763.02","4,119.16","4,535.17","4,910.69","5,308.93"
