# File: L2072.AgCoef_IrrBphysWater_ag_mgmt_China_C.csv
# Title: AgCoef_IrrBphysWater_ag_mgmt_China_C
# Units: km3/Mt
# Description:  Calibrate China's coefficient only based on Water Resources Bulletin
# Column types: ccccicn
# ----------
region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,minicam.energy.input,coefficient
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,1975,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,1990,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2005,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2010,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2015,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2021,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2025,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2030,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2035,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2040,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2045,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2050,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2055,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2060,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2065,biophysical water consumption,0.5743614
USA,Corn,CornC4_NelsonR,CornC4_NelsonR_IRR_hi,2070,biophysical water consumption,0.5743614
