# File: L232.TechCoef_CHINA.csv
# Title: industrial water coefficients by china provinces
# Units: km3/EJ or km3/Mt
# Comments: Historical coefficients are calculated as industrial water demand divided by industrial sector output Future coefficients are set the same as in the final base year
# Column types: ccccccnn
# ----------
region,supplysector,subsector,technology,minicam.energy.input,market.name,year,coefficient
AH,other industry,other industry,other industry,water_td_ind_W,AH,1975,2.172587511
AH,iron and steel,BLASTFUR,BLASTFUR,water_td_ind_W,AH,1975,0.025732279
AH,iron and steel,BLASTFUR,BLASTFUR CCS,water_td_ind_W,AH,1975,0.025732279
AH,iron and steel,BLASTFUR,Biomass-based,water_td_ind_W,AH,1975,0.016375087
AH,iron and steel,EAF with DRI,EAF with DRI,water_td_ind_W,AH,1975,0.012678996
AH,iron and steel,EAF with DRI,EAF with DRI CCS,water_td_ind_W,AH,1975,0.012678996
AH,iron and steel,EAF with DRI,Hydrogen-based DRI,water_td_ind_W,AH,1975,0.012678996
AH,iron and steel,EAF with scrap,EAF with scrap,water_td_ind_W,AH,1975,0.005614315
AH,cement,cement,cement,water_td_ind_W,AH,1975,0.006506577
AH,cement,cement,cement CCS,water_td_ind_W,AH,1975,0.006506577
AH,coke,coke,coke,water_td_ind_W,AH,1975,0.005074588
AH,coke,coke,coke CCS,water_td_ind_W,AH,1975,0.005074588
AH,chemical,chemical,chemical,water_td_ind_W,AH,1975,7.89529513
AH,ammonia,coal,coal,water_td_ind_W,AH,1975,0.227320415
AH,ammonia,coal,coal CCS,water_td_ind_W,AH,1975,0.263691682
AH,ammonia,gas,gas,water_td_ind_W,AH,1975,0.159124291
AH,ammonia,gas,gas CCS,water_td_ind_W,AH,1975,0.190949149
AH,ammonia,refined liquids,refined liquids,water_td_ind_W,AH,1975,0.204588374
AH,ammonia,hydrogen,hydrogen,water_td_ind_W,AH,1975,0.090928166
AH,construction,construction,construction,water_td_ind_W,AH,1975,2.146034266
AH,other industry,other industry,other industry,water_td_ind_W,AH,1990,2.172587511
AH,iron and steel,BLASTFUR,BLASTFUR,water_td_ind_W,AH,1990,0.025732279
AH,iron and steel,BLASTFUR,BLASTFUR CCS,water_td_ind_W,AH,1990,0.025732279
AH,iron and steel,BLASTFUR,Biomass-based,water_td_ind_W,AH,1990,0.016375087
AH,iron and steel,EAF with DRI,EAF with DRI,water_td_ind_W,AH,1990,0.012678996
AH,iron and steel,EAF with DRI,EAF with DRI CCS,water_td_ind_W,AH,1990,0.012678996
AH,iron and steel,EAF with DRI,Hydrogen-based DRI,water_td_ind_W,AH,1990,0.012678996
AH,iron and steel,EAF with scrap,EAF with scrap,water_td_ind_W,AH,1990,0.005614315
AH,cement,cement,cement,water_td_ind_W,AH,1990,0.006506577
AH,cement,cement,cement CCS,water_td_ind_W,AH,1990,0.006506577
AH,coke,coke,coke,water_td_ind_W,AH,1990,0.005074588
AH,coke,coke,coke CCS,water_td_ind_W,AH,1990,0.005074588
AH,chemical,chemical,chemical,water_td_ind_W,AH,1990,7.89529513
AH,ammonia,coal,coal,water_td_ind_W,AH,1990,0.227320415
AH,ammonia,coal,coal CCS,water_td_ind_W,AH,1990,0.263691682
AH,ammonia,gas,gas,water_td_ind_W,AH,1990,0.159124291
AH,ammonia,gas,gas CCS,water_td_ind_W,AH,1990,0.190949149
AH,ammonia,refined liquids,refined liquids,water_td_ind_W,AH,1990,0.204588374
AH,ammonia,hydrogen,hydrogen,water_td_ind_W,AH,1990,0.090928166
AH,construction,construction,construction,water_td_ind_W,AH,1990,2.146034266
AH,other industry,other industry,other industry,water_td_ind_W,AH,2005,2.172587511
AH,iron and steel,BLASTFUR,BLASTFUR,water_td_ind_W,AH,2005,0.025732279
AH,iron and steel,BLASTFUR,BLASTFUR CCS,water_td_ind_W,AH,2005,0.025732279
AH,iron and steel,BLASTFUR,Biomass-based,water_td_ind_W,AH,2005,0.016375087
AH,iron and steel,EAF with DRI,EAF with DRI,water_td_ind_W,AH,2005,0.012678996
AH,iron and steel,EAF with DRI,EAF with DRI CCS,water_td_ind_W,AH,2005,0.012678996
AH,iron and steel,EAF with DRI,Hydrogen-based DRI,water_td_ind_W,AH,2005,0.012678996
AH,iron and steel,EAF with scrap,EAF with scrap,water_td_ind_W,AH,2005,0.005614315
AH,cement,cement,cement,water_td_ind_W,AH,2005,0.006506577
AH,cement,cement,cement CCS,water_td_ind_W,AH,2005,0.006506577
AH,coke,coke,coke,water_td_ind_W,AH,2005,0.005074588
AH,coke,coke,coke CCS,water_td_ind_W,AH,2005,0.005074588
AH,chemical,chemical,chemical,water_td_ind_W,AH,2005,7.89529513
AH,ammonia,coal,coal,water_td_ind_W,AH,2005,0.227320415
AH,ammonia,coal,coal CCS,water_td_ind_W,AH,2005,0.263691682
AH,ammonia,gas,gas,water_td_ind_W,AH,2005,0.159124291
AH,ammonia,gas,gas CCS,water_td_ind_W,AH,2005,0.190949149
AH,ammonia,refined liquids,refined liquids,water_td_ind_W,AH,2005,0.204588374
AH,ammonia,hydrogen,hydrogen,water_td_ind_W,AH,2005,0.090928166
AH,construction,construction,construction,water_td_ind_W,AH,2005,2.146034266
AH,other industry,other industry,other industry,water_td_ind_W,AH,2010,2.172587511
AH,iron and steel,BLASTFUR,BLASTFUR,water_td_ind_W,AH,2010,0.025732279
AH,iron and steel,BLASTFUR,BLASTFUR CCS,water_td_ind_W,AH,2010,0.025732279
AH,iron and steel,BLASTFUR,Biomass-based,water_td_ind_W,AH,2010,0.016375087
AH,iron and steel,EAF with DRI,EAF with DRI,water_td_ind_W,AH,2010,0.012678996
AH,iron and steel,EAF with DRI,EAF with DRI CCS,water_td_ind_W,AH,2010,0.012678996
AH,iron and steel,EAF with DRI,Hydrogen-based DRI,water_td_ind_W,AH,2010,0.012678996
AH,iron and steel,EAF with scrap,EAF with scrap,water_td_ind_W,AH,2010,0.005614315
AH,cement,cement,cement,water_td_ind_W,AH,2010,0.006506577
AH,cement,cement,cement CCS,water_td_ind_W,AH,2010,0.006506577
AH,coke,coke,coke,water_td_ind_W,AH,2010,0.005074588
AH,coke,coke,coke CCS,water_td_ind_W,AH,2010,0.005074588
AH,chemical,chemical,chemical,water_td_ind_W,AH,2010,7.89529513
AH,ammonia,coal,coal,water_td_ind_W,AH,2010,0.227320415
AH,ammonia,coal,coal CCS,water_td_ind_W,AH,2010,0.263691682
AH,ammonia,gas,gas,water_td_ind_W,AH,2010,0.159124291
AH,ammonia,gas,gas CCS,water_td_ind_W,AH,2010,0.190949149
AH,ammonia,refined liquids,refined liquids,water_td_ind_W,AH,2010,0.204588374
AH,ammonia,hydrogen,hydrogen,water_td_ind_W,AH,2010,0.090928166
AH,construction,construction,construction,water_td_ind_W,AH,2010,2.146034266
AH,other industry,other industry,other industry,water_td_ind_W,AH,2015,2.172587511
AH,iron and steel,BLASTFUR,BLASTFUR,water_td_ind_W,AH,2015,0.025732279
AH,iron and steel,BLASTFUR,BLASTFUR CCS,water_td_ind_W,AH,2015,0.025732279
AH,iron and steel,BLASTFUR,Biomass-based,water_td_ind_W,AH,2015,0.016375087
AH,iron and steel,EAF with DRI,EAF with DRI,water_td_ind_W,AH,2015,0.012678996
AH,iron and steel,EAF with DRI,EAF with DRI CCS,water_td_ind_W,AH,2015,0.012678996
AH,iron and steel,EAF with DRI,Hydrogen-based DRI,water_td_ind_W,AH,2015,0.012678996
AH,iron and steel,EAF with scrap,EAF with scrap,water_td_ind_W,AH,2015,0.005614315
AH,cement,cement,cement,water_td_ind_W,AH,2015,0.006506577
AH,cement,cement,cement CCS,water_td_ind_W,AH,2015,0.006506577
AH,coke,coke,coke,water_td_ind_W,AH,2015,0.005074588
AH,coke,coke,coke CCS,water_td_ind_W,AH,2015,0.005074588
AH,chemical,chemical,chemical,water_td_ind_W,AH,2015,7.89529513
AH,ammonia,coal,coal,water_td_ind_W,AH,2015,0.227320415
AH,ammonia,coal,coal CCS,water_td_ind_W,AH,2015,0.263691682
AH,ammonia,gas,gas,water_td_ind_W,AH,2015,0.159124291
AH,ammonia,gas,gas CCS,water_td_ind_W,AH,2015,0.190949149
AH,ammonia,refined liquids,refined liquids,water_td_ind_W,AH,2015,0.204588374
AH,ammonia,hydrogen,hydrogen,water_td_ind_W,AH,2015,0.090928166
AH,construction,construction,construction,water_td_ind_W,AH,2015,2.146034266
AH,other industry,other industry,other industry,water_td_ind_W,AH,2021,2.172587511
AH,iron and steel,BLASTFUR,BLASTFUR,water_td_ind_W,AH,2021,0.025732279
AH,iron and steel,BLASTFUR,BLASTFUR CCS,water_td_ind_W,AH,2021,0.025732279
AH,iron and steel,BLASTFUR,Biomass-based,water_td_ind_W,AH,2021,0.016375087
