# File: L245.BaseService_CHINA.csv
# Title: Municipal water withdraw
# Units: km3
# Description: Withdrawals filtered for base years and combined with demand category
# Column types: ccnn
# ----------
region,energy.final.demand,year,base.service
AH,municipal water,1975,1.86359281
AH,municipal water,1990,2.35438317
AH,municipal water,2005,2.539
AH,municipal water,2010,3.02
AH,municipal water,2015,3.28
BJ,municipal water,1975,0.764791417
BJ,municipal water,1990,0.983613784
BJ,municipal water,2005,1.393
BJ,municipal water,2010,1.53
BJ,municipal water,2015,1.75
CQ,municipal water,1975,1.416324764
CQ,municipal water,1990,1.595679611
CQ,municipal water,2005,1.639
CQ,municipal water,2010,1.86
CQ,municipal water,2015,1.96
FJ,municipal water,1975,1.323180489
FJ,municipal water,1990,1.74945544
FJ,municipal water,2005,2.049
FJ,municipal water,2010,2.27
FJ,municipal water,2015,3.22
GD,municipal water,1975,4.730597451
GD,municipal water,1990,6.178963672
GD,municipal water,2005,8.952
GD,municipal water,2010,9.42
GD,municipal water,2015,9.83
GS,municipal water,1975,0.646470035
GS,municipal water,1990,0.808078585
GS,municipal water,2005,0.912
GS,municipal water,2010,1.08
GS,municipal water,2015,0.83
GX,municipal water,1975,2.66864485
GX,municipal water,1990,3.552357296
GX,municipal water,2005,3.885
GX,municipal water,2010,4.65
GX,municipal water,2015,3.97
GZ,municipal water,1975,1.398920018
GZ,municipal water,1990,1.666006053
GZ,municipal water,2005,1.793
GZ,municipal water,2010,1.65
GZ,municipal water,2015,1.7
HA,municipal water,1975,2.682117416
HA,municipal water,1990,3.308573186
HA,municipal water,2005,3.361
HA,municipal water,2010,3.61
HA,municipal water,2015,3.54
HB,municipal water,1975,2.210251042
HB,municipal water,1990,2.727120315
HB,municipal water,2005,2.863
HB,municipal water,2010,3.24
HB,municipal water,2015,4.92
HE,municipal water,1975,1.965888031
HE,municipal water,1990,2.29829988
HE,municipal water,2005,2.368
HE,municipal water,2010,2.4
HE,municipal water,2015,2.44
HI,municipal water,1975,0.339013647
HI,municipal water,1990,0.45240942
HI,municipal water,2005,0.565
HI,municipal water,2010,0.65
HI,municipal water,2015,0.79
HL,municipal water,1975,1.76889913
HL,municipal water,1990,2.118660498
HL,municipal water,2005,2.027
HL,municipal water,2010,1.76
HL,municipal water,2015,1.62
HN,municipal water,1975,3.431461372
HN,municipal water,1990,4.212878912
HN,municipal water,2005,4.349
HN,municipal water,2010,4.64
HN,municipal water,2015,4.22
JL,municipal water,1975,0.755163392
JL,municipal water,1990,0.908508504
JL,municipal water,2005,1.148
JL,municipal water,2010,1.64
JL,municipal water,2015,1.28
JS,municipal water,1975,3.01241645
JS,municipal water,1990,3.616853813
JS,municipal water,2005,4.305
JS,municipal water,2010,5.29
JS,municipal water,2015,5.44
JX,municipal water,1975,1.442605045
JX,municipal water,1990,1.851530967
JX,municipal water,2005,2.095
JX,municipal water,2010,2.75
JX,municipal water,2015,2.79
LN,municipal water,1975,1.969166404
LN,municipal water,1990,2.320294732
LN,municipal water,2005,2.392
LN,municipal water,2010,2.55
LN,municipal water,2015,2.5
NM,municipal water,1975,0.880159925
NM,municipal water,1990,1.095451935
NM,municipal water,2005,1.217
NM,municipal water,2010,1.5
NM,municipal water,2015,1.04
NX,municipal water,1975,0.096285235
NX,municipal water,1990,0.138003356
NX,municipal water,2005,0.175
NX,municipal water,2010,0.18
NX,municipal water,2015,0.18
QH,municipal water,1975,0.19640302
QH,municipal water,1990,0.260516685
QH,municipal water,2005,0.316
QH,municipal water,2010,0.35
QH,municipal water,2015,0.26
SC,municipal water,1975,2.654611995
SC,municipal water,1990,3.047627557
SC,municipal water,2005,3.171
SC,municipal water,2010,3.8
SC,municipal water,2015,4.83
SD,municipal water,1975,2.440687616
SD,municipal water,1990,2.979418698
SD,municipal water,2005,3.058
SD,municipal water,2010,3.62
SD,municipal water,2015,3.3
SH,municipal water,1975,1.289061998
SH,municipal water,1990,1.506186193
SH,municipal water,2005,1.978
SH,municipal water,2010,2.35
SH,municipal water,2015,2.41
SN,municipal water,1975,0.946247615
SN,municipal water,1990,1.165542547
SN,municipal water,2005,1.297
SN,municipal water,2010,1.48
SN,municipal water,2015,1.61
SX,municipal water,1975,0.608198557
SX,municipal water,1990,0.753480775
SX,municipal water,2005,0.872
SX,municipal water,2010,1.06
SX,municipal water,2015,1.23
TJ,municipal water,1975,0.305942895
TJ,municipal water,1990,0.384790029
TJ,municipal water,2005,0.454
TJ,municipal water,2010,0.55
TJ,municipal water,2015,0.49
