# File: L245.PriceElasticity_CHINA.csv
# Title: PriceElasticity for municipal water
# Units: NA
# Description: Province price elasticity repeated out for all years
# Column types: ccnn
# ----------
region,energy.final.demand,year,price.elasticity
AH,municipal water,2021,-0.326188149
AH,municipal water,2025,-0.326188149
AH,municipal water,2030,-0.326188149
AH,municipal water,2035,-0.326188149
AH,municipal water,2040,-0.326188149
AH,municipal water,2045,-0.326188149
AH,municipal water,2050,-0.326188149
AH,municipal water,2055,-0.326188149
AH,municipal water,2060,-0.326188149
AH,municipal water,2065,-0.326188149
AH,municipal water,2070,-0.326188149
AH,municipal water,2075,-0.326188149
AH,municipal water,2080,-0.326188149
AH,municipal water,2085,-0.326188149
AH,municipal water,2090,-0.326188149
AH,municipal water,2095,-0.326188149
AH,municipal water,2100,-0.326188149
BJ,municipal water,2021,-0.326188149
BJ,municipal water,2025,-0.326188149
BJ,municipal water,2030,-0.326188149
BJ,municipal water,2035,-0.326188149
BJ,municipal water,2040,-0.326188149
BJ,municipal water,2045,-0.326188149
BJ,municipal water,2050,-0.326188149
BJ,municipal water,2055,-0.326188149
BJ,municipal water,2060,-0.326188149
BJ,municipal water,2065,-0.326188149
BJ,municipal water,2070,-0.326188149
BJ,municipal water,2075,-0.326188149
BJ,municipal water,2080,-0.326188149
BJ,municipal water,2085,-0.326188149
BJ,municipal water,2090,-0.326188149
BJ,municipal water,2095,-0.326188149
BJ,municipal water,2100,-0.326188149
CQ,municipal water,2021,-0.326188149
CQ,municipal water,2025,-0.326188149
CQ,municipal water,2030,-0.326188149
CQ,municipal water,2035,-0.326188149
CQ,municipal water,2040,-0.326188149
CQ,municipal water,2045,-0.326188149
CQ,municipal water,2050,-0.326188149
CQ,municipal water,2055,-0.326188149
CQ,municipal water,2060,-0.326188149
CQ,municipal water,2065,-0.326188149
CQ,municipal water,2070,-0.326188149
CQ,municipal water,2075,-0.326188149
CQ,municipal water,2080,-0.326188149
CQ,municipal water,2085,-0.326188149
CQ,municipal water,2090,-0.326188149
CQ,municipal water,2095,-0.326188149
CQ,municipal water,2100,-0.326188149
FJ,municipal water,2021,-0.326188149
FJ,municipal water,2025,-0.326188149
FJ,municipal water,2030,-0.326188149
FJ,municipal water,2035,-0.326188149
FJ,municipal water,2040,-0.326188149
FJ,municipal water,2045,-0.326188149
FJ,municipal water,2050,-0.326188149
FJ,municipal water,2055,-0.326188149
FJ,municipal water,2060,-0.326188149
FJ,municipal water,2065,-0.326188149
FJ,municipal water,2070,-0.326188149
FJ,municipal water,2075,-0.326188149
FJ,municipal water,2080,-0.326188149
FJ,municipal water,2085,-0.326188149
FJ,municipal water,2090,-0.326188149
FJ,municipal water,2095,-0.326188149
FJ,municipal water,2100,-0.326188149
GD,municipal water,2021,-0.326188149
GD,municipal water,2025,-0.326188149
GD,municipal water,2030,-0.326188149
GD,municipal water,2035,-0.326188149
GD,municipal water,2040,-0.326188149
GD,municipal water,2045,-0.326188149
GD,municipal water,2050,-0.326188149
GD,municipal water,2055,-0.326188149
GD,municipal water,2060,-0.326188149
GD,municipal water,2065,-0.326188149
GD,municipal water,2070,-0.326188149
GD,municipal water,2075,-0.326188149
GD,municipal water,2080,-0.326188149
GD,municipal water,2085,-0.326188149
GD,municipal water,2090,-0.326188149
GD,municipal water,2095,-0.326188149
GD,municipal water,2100,-0.326188149
GS,municipal water,2021,-0.326188149
GS,municipal water,2025,-0.326188149
GS,municipal water,2030,-0.326188149
GS,municipal water,2035,-0.326188149
GS,municipal water,2040,-0.326188149
GS,municipal water,2045,-0.326188149
GS,municipal water,2050,-0.326188149
GS,municipal water,2055,-0.326188149
GS,municipal water,2060,-0.326188149
GS,municipal water,2065,-0.326188149
GS,municipal water,2070,-0.326188149
GS,municipal water,2075,-0.326188149
GS,municipal water,2080,-0.326188149
GS,municipal water,2085,-0.326188149
GS,municipal water,2090,-0.326188149
GS,municipal water,2095,-0.326188149
GS,municipal water,2100,-0.326188149
GX,municipal water,2021,-0.326188149
GX,municipal water,2025,-0.326188149
GX,municipal water,2030,-0.326188149
GX,municipal water,2035,-0.326188149
GX,municipal water,2040,-0.326188149
GX,municipal water,2045,-0.326188149
GX,municipal water,2050,-0.326188149
GX,municipal water,2055,-0.326188149
GX,municipal water,2060,-0.326188149
GX,municipal water,2065,-0.326188149
GX,municipal water,2070,-0.326188149
GX,municipal water,2075,-0.326188149
GX,municipal water,2080,-0.326188149
GX,municipal water,2085,-0.326188149
GX,municipal water,2090,-0.326188149
GX,municipal water,2095,-0.326188149
GX,municipal water,2100,-0.326188149
GZ,municipal water,2021,-0.326188149
GZ,municipal water,2025,-0.326188149
GZ,municipal water,2030,-0.326188149
GZ,municipal water,2035,-0.326188149
GZ,municipal water,2040,-0.326188149
GZ,municipal water,2045,-0.326188149
GZ,municipal water,2050,-0.326188149
GZ,municipal water,2055,-0.326188149
GZ,municipal water,2060,-0.326188149
GZ,municipal water,2065,-0.326188149
GZ,municipal water,2070,-0.326188149
GZ,municipal water,2075,-0.326188149
GZ,municipal water,2080,-0.326188149
GZ,municipal water,2085,-0.326188149
GZ,municipal water,2090,-0.326188149
GZ,municipal water,2095,-0.326188149
GZ,municipal water,2100,-0.326188149
HA,municipal water,2021,-0.326188149
HA,municipal water,2025,-0.326188149
HA,municipal water,2030,-0.326188149
HA,municipal water,2035,-0.326188149
HA,municipal water,2040,-0.326188149
HA,municipal water,2045,-0.326188149
HA,municipal water,2050,-0.326188149
HA,municipal water,2055,-0.326188149
HA,municipal water,2060,-0.326188149
HA,municipal water,2065,-0.326188149
HA,municipal water,2070,-0.326188149
HA,municipal water,2075,-0.326188149
HA,municipal water,2080,-0.326188149
HA,municipal water,2085,-0.326188149
HA,municipal water,2090,-0.326188149
HA,municipal water,2095,-0.326188149
HA,municipal water,2100,-0.326188149
HB,municipal water,2021,-0.326188149
HB,municipal water,2025,-0.326188149
