# File: L245.TechCost_CHINA.csv
# Title: Municipal water price
# Units: 1975$
# Description: Costs joined to sector infromation and expanded for all model years
# Column types: ccccncn
# ----------
region,supplysector,subsector,technology,year,minicam.non.energy.input,input.cost
AH,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
AH,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
BJ,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
CQ,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
FJ,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
