# File: L245.TechShrwt_CHINA.csv
# Title: Share weights for technology municipal water
# Units: NA
# Description: Shareweights of 1 for all provinces/years due to no competition
# Column types: ccccnn
# ----------
region,supplysector,subsector,technology,year,share.weight
AH,municipal water,municipal water,municipal water,1975,1
AH,municipal water,municipal water,municipal water,1990,1
AH,municipal water,municipal water,municipal water,2005,1
AH,municipal water,municipal water,municipal water,2010,1
AH,municipal water,municipal water,municipal water,2015,1
AH,municipal water,municipal water,municipal water,2021,1
AH,municipal water,municipal water,municipal water,2025,1
AH,municipal water,municipal water,municipal water,2030,1
AH,municipal water,municipal water,municipal water,2035,1
AH,municipal water,municipal water,municipal water,2040,1
AH,municipal water,municipal water,municipal water,2045,1
AH,municipal water,municipal water,municipal water,2050,1
AH,municipal water,municipal water,municipal water,2055,1
AH,municipal water,municipal water,municipal water,2060,1
AH,municipal water,municipal water,municipal water,2065,1
AH,municipal water,municipal water,municipal water,2070,1
AH,municipal water,municipal water,municipal water,2075,1
AH,municipal water,municipal water,municipal water,2080,1
AH,municipal water,municipal water,municipal water,2085,1
AH,municipal water,municipal water,municipal water,2090,1
AH,municipal water,municipal water,municipal water,2095,1
AH,municipal water,municipal water,municipal water,2100,1
BJ,municipal water,municipal water,municipal water,1975,1
BJ,municipal water,municipal water,municipal water,1990,1
BJ,municipal water,municipal water,municipal water,2005,1
BJ,municipal water,municipal water,municipal water,2010,1
BJ,municipal water,municipal water,municipal water,2015,1
BJ,municipal water,municipal water,municipal water,2021,1
BJ,municipal water,municipal water,municipal water,2025,1
BJ,municipal water,municipal water,municipal water,2030,1
BJ,municipal water,municipal water,municipal water,2035,1
BJ,municipal water,municipal water,municipal water,2040,1
BJ,municipal water,municipal water,municipal water,2045,1
BJ,municipal water,municipal water,municipal water,2050,1
BJ,municipal water,municipal water,municipal water,2055,1
BJ,municipal water,municipal water,municipal water,2060,1
BJ,municipal water,municipal water,municipal water,2065,1
BJ,municipal water,municipal water,municipal water,2070,1
BJ,municipal water,municipal water,municipal water,2075,1
BJ,municipal water,municipal water,municipal water,2080,1
BJ,municipal water,municipal water,municipal water,2085,1
BJ,municipal water,municipal water,municipal water,2090,1
BJ,municipal water,municipal water,municipal water,2095,1
BJ,municipal water,municipal water,municipal water,2100,1
CQ,municipal water,municipal water,municipal water,1975,1
