# File: L245.aeei_CHINA.csv
# Title: aeei_CHINA
# Units: NA
# Description: Province efficiency repeated out for all years
# Column types: ccnn
# ----------
region,energy.final.demand,year,aeei
AH,municipal water,2021,0.005
AH,municipal water,2025,0.005
AH,municipal water,2030,0.005
AH,municipal water,2035,0.005
AH,municipal water,2040,0.005
AH,municipal water,2045,0.005
AH,municipal water,2050,0.005
AH,municipal water,2055,0.005
AH,municipal water,2060,0.005
AH,municipal water,2065,0.005
AH,municipal water,2070,0.005
AH,municipal water,2075,0.005
AH,municipal water,2080,0.005
AH,municipal water,2085,0.005
AH,municipal water,2090,0.005
AH,municipal water,2095,0.005
AH,municipal water,2100,0.005
BJ,municipal water,2021,0.005
BJ,municipal water,2025,0.005
BJ,municipal water,2030,0.005
BJ,municipal water,2035,0.005
BJ,municipal water,2040,0.005
BJ,municipal water,2045,0.005
BJ,municipal water,2050,0.005
BJ,municipal water,2055,0.005
BJ,municipal water,2060,0.005
BJ,municipal water,2065,0.005
BJ,municipal water,2070,0.005
BJ,municipal water,2075,0.005
BJ,municipal water,2080,0.005
BJ,municipal water,2085,0.005
BJ,municipal water,2090,0.005
BJ,municipal water,2095,0.005
BJ,municipal water,2100,0.005
CQ,municipal water,2021,0.005
CQ,municipal water,2025,0.005
CQ,municipal water,2030,0.005
CQ,municipal water,2035,0.005
CQ,municipal water,2040,0.005
CQ,municipal water,2045,0.005
CQ,municipal water,2050,0.005
CQ,municipal water,2055,0.005
CQ,municipal water,2060,0.005
CQ,municipal water,2065,0.005
CQ,municipal water,2070,0.005
CQ,municipal water,2075,0.005
CQ,municipal water,2080,0.005
CQ,municipal water,2085,0.005
CQ,municipal water,2090,0.005
CQ,municipal water,2095,0.005
CQ,municipal water,2100,0.005
FJ,municipal water,2021,0.005
FJ,municipal water,2025,0.005
FJ,municipal water,2030,0.005
FJ,municipal water,2035,0.005
FJ,municipal water,2040,0.005
FJ,municipal water,2045,0.005
FJ,municipal water,2050,0.005
FJ,municipal water,2055,0.005
FJ,municipal water,2060,0.005
FJ,municipal water,2065,0.005
FJ,municipal water,2070,0.005
FJ,municipal water,2075,0.005
FJ,municipal water,2080,0.005
FJ,municipal water,2085,0.005
FJ,municipal water,2090,0.005
FJ,municipal water,2095,0.005
FJ,municipal water,2100,0.005
GD,municipal water,2021,0.005
GD,municipal water,2025,0.005
GD,municipal water,2030,0.005
GD,municipal water,2035,0.005
GD,municipal water,2040,0.005
GD,municipal water,2045,0.005
GD,municipal water,2050,0.005
GD,municipal water,2055,0.005
GD,municipal water,2060,0.005
GD,municipal water,2065,0.005
GD,municipal water,2070,0.005
GD,municipal water,2075,0.005
GD,municipal water,2080,0.005
GD,municipal water,2085,0.005
GD,municipal water,2090,0.005
GD,municipal water,2095,0.005
GD,municipal water,2100,0.005
GS,municipal water,2021,0.005
GS,municipal water,2025,0.005
GS,municipal water,2030,0.005
GS,municipal water,2035,0.005
GS,municipal water,2040,0.005
GS,municipal water,2045,0.005
GS,municipal water,2050,0.005
GS,municipal water,2055,0.005
GS,municipal water,2060,0.005
GS,municipal water,2065,0.005
GS,municipal water,2070,0.005
GS,municipal water,2075,0.005
GS,municipal water,2080,0.005
GS,municipal water,2085,0.005
GS,municipal water,2090,0.005
GS,municipal water,2095,0.005
GS,municipal water,2100,0.005
GX,municipal water,2021,0.005
GX,municipal water,2025,0.005
GX,municipal water,2030,0.005
GX,municipal water,2035,0.005
GX,municipal water,2040,0.005
GX,municipal water,2045,0.005
GX,municipal water,2050,0.005
GX,municipal water,2055,0.005
GX,municipal water,2060,0.005
GX,municipal water,2065,0.005
GX,municipal water,2070,0.005
GX,municipal water,2075,0.005
GX,municipal water,2080,0.005
GX,municipal water,2085,0.005
GX,municipal water,2090,0.005
GX,municipal water,2095,0.005
GX,municipal water,2100,0.005
GZ,municipal water,2021,0.005
GZ,municipal water,2025,0.005
GZ,municipal water,2030,0.005
GZ,municipal water,2035,0.005
GZ,municipal water,2040,0.005
GZ,municipal water,2045,0.005
GZ,municipal water,2050,0.005
GZ,municipal water,2055,0.005
GZ,municipal water,2060,0.005
GZ,municipal water,2065,0.005
GZ,municipal water,2070,0.005
GZ,municipal water,2075,0.005
GZ,municipal water,2080,0.005
GZ,municipal water,2085,0.005
GZ,municipal water,2090,0.005
GZ,municipal water,2095,0.005
GZ,municipal water,2100,0.005
HA,municipal water,2021,0.005
HA,municipal water,2025,0.005
HA,municipal water,2030,0.005
HA,municipal water,2035,0.005
HA,municipal water,2040,0.005
HA,municipal water,2045,0.005
HA,municipal water,2050,0.005
HA,municipal water,2055,0.005
HA,municipal water,2060,0.005
HA,municipal water,2065,0.005
HA,municipal water,2070,0.005
HA,municipal water,2075,0.005
HA,municipal water,2080,0.005
HA,municipal water,2085,0.005
HA,municipal water,2090,0.005
HA,municipal water,2095,0.005
HA,municipal water,2100,0.005
HB,municipal water,2021,0.005
HB,municipal water,2025,0.005
HB,municipal water,2030,0.005
HB,municipal water,2035,0.005
HB,municipal water,2040,0.005
HB,municipal water,2045,0.005
HB,municipal water,2050,0.005
HB,municipal water,2055,0.005
HB,municipal water,2060,0.005
HB,municipal water,2065,0.005
HB,municipal water,2070,0.005
HB,municipal water,2075,0.005
HB,municipal water,2080,0.005
HB,municipal water,2085,0.005
HB,municipal water,2090,0.005
HB,municipal water,2095,0.005
HB,municipal water,2100,0.005
HE,municipal water,2021,0.005
HE,municipal water,2025,0.005
HE,municipal water,2030,0.005
HE,municipal water,2035,0.005
HE,municipal water,2040,0.005
HE,municipal water,2045,0.005
HE,municipal water,2050,0.005
HE,municipal water,2055,0.005
HE,municipal water,2060,0.005
HE,municipal water,2065,0.005
HE,municipal water,2070,0.005
HE,municipal water,2075,0.005
HE,municipal water,2080,0.005
HE,municipal water,2085,0.005
HE,municipal water,2090,0.005
HE,municipal water,2095,0.005
HE,municipal water,2100,0.005
HI,municipal water,2021,0.005
HI,municipal water,2025,0.005
HI,municipal water,2030,0.005
HI,municipal water,2035,0.005
HI,municipal water,2040,0.005
HI,municipal water,2045,0.005
HI,municipal water,2050,0.005
HI,municipal water,2055,0.005
HI,municipal water,2060,0.005
HI,municipal water,2065,0.005
HI,municipal water,2070,0.005
HI,municipal water,2075,0.005
HI,municipal water,2080,0.005
HI,municipal water,2085,0.005
HI,municipal water,2090,0.005
HI,municipal water,2095,0.005
HI,municipal water,2100,0.005
HK,municipal water,2021,0.005
HK,municipal water,2025,0.005
HK,municipal water,2030,0.005
HK,municipal water,2035,0.005
HK,municipal water,2040,0.005
HK,municipal water,2045,0.005
HK,municipal water,2050,0.005
HK,municipal water,2055,0.005
HK,municipal water,2060,0.005
HK,municipal water,2065,0.005
HK,municipal water,2070,0.005
HK,municipal water,2075,0.005
HK,municipal water,2080,0.005
HK,municipal water,2085,0.005
HK,municipal water,2090,0.005
HK,municipal water,2095,0.005
HK,municipal water,2100,0.005
HL,municipal water,2021,0.005
HL,municipal water,2025,0.005
HL,municipal water,2030,0.005
HL,municipal water,2035,0.005
HL,municipal water,2040,0.005
HL,municipal water,2045,0.005
HL,municipal water,2050,0.005
HL,municipal water,2055,0.005
HL,municipal water,2060,0.005
HL,municipal water,2065,0.005
HL,municipal water,2070,0.005
HL,municipal water,2075,0.005
HL,municipal water,2080,0.005
HL,municipal water,2085,0.005
HL,municipal water,2090,0.005
HL,municipal water,2095,0.005
HL,municipal water,2100,0.005
HN,municipal water,2021,0.005
HN,municipal water,2025,0.005
HN,municipal water,2030,0.005
HN,municipal water,2035,0.005
HN,municipal water,2040,0.005
HN,municipal water,2045,0.005
HN,municipal water,2050,0.005
HN,municipal water,2055,0.005
HN,municipal water,2060,0.005
HN,municipal water,2065,0.005
HN,municipal water,2070,0.005
HN,municipal water,2075,0.005
HN,municipal water,2080,0.005
HN,municipal water,2085,0.005
HN,municipal water,2090,0.005
HN,municipal water,2095,0.005
HN,municipal water,2100,0.005
JL,municipal water,2021,0.005
JL,municipal water,2025,0.005
JL,municipal water,2030,0.005
JL,municipal water,2035,0.005
JL,municipal water,2040,0.005
JL,municipal water,2045,0.005
JL,municipal water,2050,0.005
JL,municipal water,2055,0.005
JL,municipal water,2060,0.005
JL,municipal water,2065,0.005
JL,municipal water,2070,0.005
JL,municipal water,2075,0.005
JL,municipal water,2080,0.005
JL,municipal water,2085,0.005
JL,municipal water,2090,0.005
JL,municipal water,2095,0.005
JL,municipal water,2100,0.005
JS,municipal water,2021,0.005
JS,municipal water,2025,0.005
JS,municipal water,2030,0.005
JS,municipal water,2035,0.005
JS,municipal water,2040,0.005
JS,municipal water,2045,0.005
JS,municipal water,2050,0.005
JS,municipal water,2055,0.005
JS,municipal water,2060,0.005
JS,municipal water,2065,0.005
JS,municipal water,2070,0.005
JS,municipal water,2075,0.005
JS,municipal water,2080,0.005
JS,municipal water,2085,0.005
JS,municipal water,2090,0.005
JS,municipal water,2095,0.005
JS,municipal water,2100,0.005
JX,municipal water,2021,0.005
JX,municipal water,2025,0.005
JX,municipal water,2030,0.005
JX,municipal water,2035,0.005
JX,municipal water,2040,0.005
JX,municipal water,2045,0.005
JX,municipal water,2050,0.005
JX,municipal water,2055,0.005
JX,municipal water,2060,0.005
JX,municipal water,2065,0.005
JX,municipal water,2070,0.005
JX,municipal water,2075,0.005
JX,municipal water,2080,0.005
JX,municipal water,2085,0.005
JX,municipal water,2090,0.005
JX,municipal water,2095,0.005
JX,municipal water,2100,0.005
LN,municipal water,2021,0.005
LN,municipal water,2025,0.005
LN,municipal water,2030,0.005
LN,municipal water,2035,0.005
LN,municipal water,2040,0.005
LN,municipal water,2045,0.005
LN,municipal water,2050,0.005
LN,municipal water,2055,0.005
LN,municipal water,2060,0.005
LN,municipal water,2065,0.005
LN,municipal water,2070,0.005
LN,municipal water,2075,0.005
LN,municipal water,2080,0.005
LN,municipal water,2085,0.005
LN,municipal water,2090,0.005
LN,municipal water,2095,0.005
LN,municipal water,2100,0.005
MC,municipal water,2021,0.005
MC,municipal water,2025,0.005
MC,municipal water,2030,0.005
MC,municipal water,2035,0.005
MC,municipal water,2040,0.005
MC,municipal water,2045,0.005
MC,municipal water,2050,0.005
MC,municipal water,2055,0.005
MC,municipal water,2060,0.005
MC,municipal water,2065,0.005
MC,municipal water,2070,0.005
MC,municipal water,2075,0.005
MC,municipal water,2080,0.005
MC,municipal water,2085,0.005
MC,municipal water,2090,0.005
MC,municipal water,2095,0.005
MC,municipal water,2100,0.005
NM,municipal water,2021,0.005
NM,municipal water,2025,0.005
NM,municipal water,2030,0.005
NM,municipal water,2035,0.005
NM,municipal water,2040,0.005
NM,municipal water,2045,0.005
NM,municipal water,2050,0.005
NM,municipal water,2055,0.005
NM,municipal water,2060,0.005
NM,municipal water,2065,0.005
NM,municipal water,2070,0.005
NM,municipal water,2075,0.005
NM,municipal water,2080,0.005
NM,municipal water,2085,0.005
NM,municipal water,2090,0.005
NM,municipal water,2095,0.005
NM,municipal water,2100,0.005
NX,municipal water,2021,0.005
NX,municipal water,2025,0.005
NX,municipal water,2030,0.005
NX,municipal water,2035,0.005
NX,municipal water,2040,0.005
NX,municipal water,2045,0.005
NX,municipal water,2050,0.005
NX,municipal water,2055,0.005
NX,municipal water,2060,0.005
NX,municipal water,2065,0.005
NX,municipal water,2070,0.005
NX,municipal water,2075,0.005
NX,municipal water,2080,0.005
NX,municipal water,2085,0.005
NX,municipal water,2090,0.005
NX,municipal water,2095,0.005
NX,municipal water,2100,0.005
