# File: L281.GlobalTechAccountOutputUseBasePrice_fd_China.csv
# Title: Sets up accounting secondary outputs to track final energy service
# Units: fraction
# Column types: cccncnn
# ----------
sector.name,subsector.name,technology,year,output.accounting,output.ratio,use.base.price
other industrial energy use,biomass,biomass,1975,energy service,1,1
other industrial energy use,biomass,biomass,1990,energy service,1,1
other industrial energy use,biomass,biomass,2005,energy service,1,1
other industrial energy use,biomass,biomass,2010,energy service,1,1
other industrial energy use,biomass,biomass,2015,energy service,1,1
other industrial energy use,biomass,biomass,2020,energy service,1,1
other industrial energy use,biomass,biomass,2025,energy service,1,1
other industrial energy use,biomass,biomass,2030,energy service,1,1
other industrial energy use,biomass,biomass,2035,energy service,1,1
other industrial energy use,biomass,biomass,2040,energy service,1,1
other industrial energy use,biomass,biomass,2045,energy service,1,1
other industrial energy use,biomass,biomass,2050,energy service,1,1
other industrial energy use,biomass,biomass,2055,energy service,1,1
other industrial energy use,biomass,biomass,2060,energy service,1,1
other industrial energy use,biomass,biomass,2065,energy service,1,1
other industrial energy use,biomass,biomass,2070,energy service,1,1
other industrial energy use,biomass,biomass,2075,energy service,1,1
other industrial energy use,biomass,biomass,2080,energy service,1,1
other industrial energy use,biomass,biomass,2085,energy service,1,1
other industrial energy use,biomass,biomass,2090,energy service,1,1
other industrial energy use,biomass,biomass,2095,energy service,1,1
other industrial energy use,biomass,biomass,2100,energy service,1,1
other industrial energy use,biomass,biomass cogen,1975,energy service,1,1
other industrial energy use,biomass,biomass cogen,1990,energy service,1,1
other industrial energy use,biomass,biomass cogen,2005,energy service,1,1
other industrial energy use,biomass,biomass cogen,2010,energy service,1,1
other industrial energy use,biomass,biomass cogen,2015,energy service,1,1
other industrial energy use,biomass,biomass cogen,2020,energy service,1,1
other industrial energy use,biomass,biomass cogen,2025,energy service,1,1
other industrial energy use,biomass,biomass cogen,2030,energy service,1,1
other industrial energy use,biomass,biomass cogen,2035,energy service,1,1
other industrial energy use,biomass,biomass cogen,2040,energy service,1,1
other industrial energy use,biomass,biomass cogen,2045,energy service,1,1
other industrial energy use,biomass,biomass cogen,2050,energy service,1,1
