# File: Population_Growth_Rates.csv
# Title: Population growth rates
# Units: N/A
# Description: Region population growth rates for future years
# Source: Growth rates are calculated based on historical population data
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Beijing,0.014456295,0.013974407,0.013492519,0.013010631,0.012528743,0.012046855,0.011564967,0.011083078,0.01060119,0.010119302,0.009637414,0.009155526,0.008673638,0.00819175,0.007709861,0.007227973,0.006746085,0.006264197,0.005782309,0.005300421,0.004818533,0.004336644,0.003854756,0.003372868,0.00289098,0.002409092,0.001927204,0.001445316,0.000963427,0.000481539,-3.49E-07,-0.000482237,-0.000964125,-0.001446013,-0.001927902,-0.00240979,-0.002891678,-0.003373566,-0.003855454,-0.004337342,-0.00481923,-0.005301119,-0.005783007,-0.006264895,-0.006746783,-0.007228671,-0.007710559,-0.008192447,-0.008674336,-0.009156224,-0.009638112
Tianjin,0.023886972,0.023220169,0.022553365,0.021886562,0.021219759,0.020552955,0.019886152,0.019219348,0.018552545,0.017885742,0.017218938,0.016552135,0.015885332,0.015218528,0.014551725,0.013884921,0.013218118,0.012551315,0.011884511,0.011217708,0.010550905,0.009884101,0.009217298,0.008550494,0.007883691,0.007216888,0.006550084,0.005883281,0.005216478,0.004549674,0.003882871,0.003216067,0.002549264,0.001882461,0.001215657,0.000548854,-0.000117949,-0.000784753,-0.001451556,-0.00211836,-0.002785163,-0.003451966,-0.00411877,-0.004785573,-0.005452376,-0.00611918,-0.006785983,-0.007452787,-0.00811959,-0.008786393,-0.009453197
Hebei,0.007333607,0.006991379,0.006649152,0.006306924,0.005964697,0.005622469,0.005280241,0.004938014,0.004595786,0.004253559,0.003911331,0.003569103,0.003226876,0.002884648,0.002542421,0.002200193,0.001857966,0.001515738,0.00117351,0.000831283,0.000489055,0.000146828,-0.0001954,-0.000537628,-0.000879855,-0.001222083,-0.00156431,-0.001906538,-0.002248766,-0.002590993,-0.002933221,-0.003275448,-0.003617676,-0.003959903,-0.004302131,-0.004644359,-0.004986586,-0.005328814,-0.005671041,-0.006013269,-0.006355497,-0.006697724,-0.007039952,-0.007382179,-0.007724407,-0.008066634,-0.008408862,-0.00875109,-0.009093317,-0.009435545,-0.009777772
Shanxi,0.008186252,0.007827306,0.00746836,0.007109413,0.006750467,0.006391521,0.006032575,0.005673629,0.005314683,0.004955737,0.004596791,0.004237845,0.003878898,0.003519952,0.003161006,0.00280206,0.002443114,0.002084168,0.001725222,0.001366276,0.00100733,0.000648383,0.000289437,-6.95E-05,-0.000428455,-0.000787401,-0.001146347,-0.001505293,-0.001864239,-0.002223186,-0.002582132,-0.002941078,-0.003300024,-0.00365897,-0.004017916,-0.004376862,-0.004735808,-0.005094754,-0.005453701,-0.005812647,-0.006171593,-0.006530539,-0.006889485,-0.007248431,-0.007607377,-0.007966323,-0.008325269,-0.008684216,-0.009043162,-0.009402108,-0.009761054
Inner Mongolia,0.003029666,0.00277183,0.002513993,0.002256156,0.00199832,0.001740483,0.001482647,0.00122481,0.000966973,0.000709137,0.0004513,0.000193464,-6.44E-05,-0.00032221,-0.000580046,-0.000837883,-0.001095719,-0.001353556,-0.001611393,-0.001869229,-0.002127066,-0.002384902,-0.002642739,-0.002900575,-0.003158412,-0.003416249,-0.003674085,-0.003931922,-0.004189758,-0.004447595,-0.004705432,-0.004963268,-0.005221105,-0.005478941,-0.005736778,-0.005994615,-0.006252451,-0.006510288,-0.006768124,-0.007025961,-0.007283798,-0.007541634,-0.007799471,-0.008057307,-0.008315144,-0.00857298,-0.008830817,-0.009088654,-0.00934649,-0.009604327,-0.009862163
Liaoning,5.77E-05,-0.000141876,-0.000341438,-0.000541,-0.000740563,-0.000940125,-0.001139688,-0.00133925,-0.001538813,-0.001738375,-0.001937938,-0.0021375,-0.002337063,-0.002536625,-0.002736188,-0.00293575,-0.003135313,-0.003334875,-0.003534438,-0.003734,-0.003933563,-0.004133125,-0.004332688,-0.00453225,-0.004731813,-0.004931375,-0.005130938,-0.0053305,-0.005530063,-0.005729625,-0.005929188,-0.00612875,-0.006328313,-0.006527875,-0.006727438,-0.006927,-0.007126563,-0.007326125,-0.007525688,-0.00772525,-0.007924813,-0.008124375,-0.008323938,-0.0085235,-0.008723063,-0.008922625,-0.009122188,-0.00932175,-0.009521313,-0.009720875,-0.009920438
Jilin,-0.001957495,-0.002117545,-0.002277594,-0.002437643,-0.002597692,-0.002757741,-0.00291779,-0.003077839,-0.003237888,-0.003397937,-0.003557987,-0.003718036,-0.003878085,-0.004038134,-0.004198183,-0.004358232,-0.004518281,-0.00467833,-0.004838379,-0.004998428,-0.005158478,-0.005318527,-0.005478576,-0.005638625,-0.005798674,-0.005958723,-0.006118772,-0.006278821,-0.00643887,-0.00659892,-0.006758969,-0.006919018,-0.007079067,-0.007239116,-0.007399165,-0.007559214,-0.007719263,-0.007879312,-0.008039362,-0.008199411,-0.00835946,-0.008519509,-0.008679558,-0.008839607,-0.008999656,-0.009159705,-0.009319754,-0.009479804,-0.009639853,-0.009799902,-0.009959951
Heilongjiang,-0.001486391,-0.001655677,-0.001824964,-0.00199425,-0.002163537,-0.002332823,-0.00250211,-0.002671396,-0.002840683,-0.003009969,-0.003179256,-0.003348542,-0.003517828,-0.003687115,-0.003856401,-0.004025688,-0.004194974,-0.004364261,-0.004533547,-0.004702834,-0.00487212,-0.005041406,-0.005210693,-0.005379979,-0.005549266,-0.005718552,-0.005887839,-0.006057125,-0.006226412,-0.006395698,-0.006564985,-0.006734271,-0.006903557,-0.007072844,-0.00724213,-0.007411417,-0.007580703,-0.00774999,-0.007919276,-0.008088563,-0.008257849,-0.008427135,-0.008596422,-0.008765708,-0.008934995,-0.009104281,-0.009273568,-0.009442854,-0.009612141,-0.009781427,-0.009950714
Shanghai,0.00915697,0.008778991,0.008401011,0.008023031,0.007645051,0.007267071,0.006889092,0.006511112,0.006133132,0.005755152,0.005377172,0.004999192,0.004621213,0.004243233,0.003865253,0.003487273,0.003109293,0.002731314,0.002353334,0.001975354,0.001597374,0.001219394,0.000841415,0.000463435,8.55E-05,-0.000292525,-0.000670505,-0.001048485,-0.001426464,-0.001804444,-0.002182424,-0.002560404,-0.002938384,-0.003316363,-0.003694343,-0.004072323,-0.004450303,-0.004828283,-0.005206262,-0.005584242,-0.005962222,-0.006340202,-0.006718182,-0.007096162,-0.007474141,-0.007852121,-0.008230101,-0.008608081,-0.008986061,-0.00936404,-0.00974202
Jiangsu,0.003023657,0.002765939,0.00250822,0.002250501,0.001992782,0.001735064,0.001477345,0.001219626,0.000961907,0.000704188,0.00044647,0.000188751,-6.90E-05,-0.000326687,-0.000584405,-0.000842124,-0.001099843,-0.001357562,-0.00161528,-0.001872999,-0.002130718,-0.002388437,-0.002646156,-0.002903874,-0.003161593,-0.003419312,-0.003677031,-0.003934749,-0.004192468,-0.004450187,-0.004707906,-0.004965625,-0.005223343,-0.005481062,-0.005738781,-0.0059965,-0.006254218,-0.006511937,-0.006769656,-0.007027375,-0.007285093,-0.007542812,-0.007800531,-0.00805825,-0.008315969,-0.008573687,-0.008831406,-0.009089125,-0.009346844,-0.009604562,-0.009862281
Zhejiang,0.010027339,0.009632293,0.009237247,0.008842201,0.008447156,0.00805211,0.007657064,0.007262018,0.006866972,0.006471926,0.00607688,0.005681835,0.005286789,0.004891743,0.004496697,0.004101651,0.003706605,0.003311559,0.002916513,0.002521468,0.002126422,0.001731376,0.00133633,0.000941284,0.000546238,0.000151192,-0.000243853,-0.000638899,-0.001033945,-0.001428991,-0.001824037,-0.002219083,-0.002614129,-0.003009174,-0.00340422,-0.003799266,-0.004194312,-0.004589358,-0.004984404,-0.00537945,-0.005774496,-0.006169541,-0.006564587,-0.006959633,-0.007354679,-0.007749725,-0.008144771,-0.008539817,-0.008934862,-0.009329908,-0.009724954
Anhui,0.00356243,0.003294147,0.003025864,0.002757581,0.002489298,0.002221015,0.001952732,0.001684449,0.001416166,0.001147883,0.0008796,0.000611318,0.000343035,7.48E-05,-0.000193531,-0.000461814,-0.000730097,-0.00099838,-0.001266663,-0.001534946,-0.001803229,-0.002071512,-0.002339795,-0.002608078,-0.002876361,-0.003144644,-0.003412927,-0.003681209,-0.003949492,-0.004217775,-0.004486058,-0.004754341,-0.005022624,-0.005290907,-0.00555919,-0.005827473,-0.006095756,-0.006364039,-0.006632322,-0.006900605,-0.007168888,-0.007437171,-0.007705454,-0.007973736,-0.008242019,-0.008510302,-0.008778585,-0.009046868,-0.009315151,-0.009583434,-0.009851717
Fujian,0.007724886,0.007374986,0.007025086,0.006675187,0.006325287,0.005975387,0.005625487,0.005275588,0.004925688,0.004575788,0.004225889,0.003875989,0.003526089,0.003176189,0.00282629,0.00247639,0.00212649,0.001776591,0.001426691,0.001076791,0.000726891,0.000376992,2.71E-05,-0.000322808,-0.000672708,-0.001022607,-0.001372507,-0.001722407,-0.002072306,-0.002422206,-0.002772106,-0.003122006,-0.003471905,-0.003821805,-0.004171705,-0.004521604,-0.004871504,-0.005221404,-0.005571304,-0.005921203,-0.006271103,-0.006621003,-0.006970903,-0.007320802,-0.007670702,-0.008020602,-0.008370501,-0.008720401,-0.009070301,-0.009420201,-0.0097701
Jiangxi,0.004865129,0.004571303,0.004277477,0.003983651,0.003689825,0.003395999,0.003102173,0.002808347,0.002514521,0.002220694,0.001926868,0.001633042,0.001339216,0.00104539,0.000751564,0.000457738,0.000163912,-0.000129914,-0.00042374,-0.000717566,-0.001011392,-0.001305218,-0.001599044,-0.00189287,-0.002186696,-0.002480522,-0.002774349,-0.003068175,-0.003362001,-0.003655827,-0.003949653,-0.004243479,-0.004537305,-0.004831131,-0.005124957,-0.005418783,-0.005712609,-0.006006435,-0.006300261,-0.006594087,-0.006887913,-0.007181739,-0.007475565,-0.007769392,-0.008063218,-0.008357044,-0.00865087,-0.008944696,-0.009238522,-0.009532348,-0.009826174
