# File: SSPS_GDP.csv
# Title: Annual average GDP growth by SSP
# Units: Annual average growth %
# Description: annual average GDP growth
# Source: OECD Env-Growth Region R32CHN
# Column types: nnnnnn
# ----------
Year,SSP1,SSP2,SSP3,SSP4,SSP5
2010,8.241,8.241,8.237,8.241,8.245
2011,8.241,8.241,8.237,8.241,8.245
2012,8.241,8.241,8.237,8.241,8.245
2013,8.241,8.241,8.237,8.241,8.245
2014,8.241,8.241,8.237,8.241,8.245
2015,8.241,8.241,8.237,8.241,8.245
2016,7.916,7.614,7.45,7.653,8.154
2017,7.916,7.614,7.45,7.653,8.154
2018,7.916,7.614,7.45,7.653,8.154
2019,7.916,7.614,7.45,7.653,8.154
2020,7.916,7.614,7.45,7.653,8.154
2021,6.949,5.815,5.136,5.946,7.882
2022,6.949,5.815,5.136,5.946,7.882
2023,6.949,5.815,5.136,5.946,7.882
2024,6.949,5.815,5.136,5.946,7.882
2025,6.949,5.815,5.136,5.946,7.882
2026,5.922,4.296,3.273,4.59,7.051
2027,5.922,4.296,3.273,4.59,7.051
2028,5.922,4.296,3.273,4.59,7.051
2029,5.922,4.296,3.273,4.59,7.051
2030,5.922,4.296,3.273,4.59,7.051
2031,4.805,3.196,1.978,3.48,5.723
2032,4.805,3.196,1.978,3.48,5.723
2033,4.805,3.196,1.978,3.48,5.723
2034,4.805,3.196,1.978,3.48,5.723
2035,4.805,3.196,1.978,3.48,5.723
2036,3.76,2.684,1.517,2.89,4.348
2037,3.76,2.684,1.517,2.89,4.348
2038,3.76,2.684,1.517,2.89,4.348
2039,3.76,2.684,1.517,2.89,4.348
2040,3.76,2.684,1.517,2.89,4.348
2041,2.999,1.347,1.223,2.481,3.429
2042,2.999,1.347,1.223,2.481,3.429
2043,2.999,1.347,1.223,2.481,3.429
2044,2.999,1.347,1.223,2.481,3.429
2045,2.999,1.347,1.223,2.481,3.429
2046,2.292,1.97,0.871,2.05,2.66
2047,2.292,1.97,0.871,2.05,2.66
2048,2.292,1.97,0.871,2.05,2.66
2049,2.292,1.97,0.871,2.05,2.66
2050,2.292,1.97,0.871,2.05,2.66
2051,1.722,1.657,0.619,1.701,2.095
2052,1.722,1.657,0.619,1.701,2.095
2053,1.722,1.657,0.619,1.701,2.095
2054,1.722,1.657,0.619,1.701,2.095
2055,1.722,1.657,0.619,1.701,2.095
2056,1.448,1.567,0.601,1.608,1.856
2057,1.448,1.567,0.601,1.608,1.856
2058,1.448,1.567,0.601,1.608,1.856
2059,1.448,1.567,0.601,1.608,1.856
2060,1.448,1.567,0.601,1.608,1.856
2061,1.236,1.474,0.568,1.485,1.68
2062,1.236,1.474,0.568,1.485,1.68
2063,1.236,1.474,0.568,1.485,1.68
2064,1.236,1.474,0.568,1.485,1.68
2065,1.236,1.474,0.568,1.485,1.68
2066,1.057,1.385,0.531,1.362,1.531
2067,1.057,1.385,0.531,1.362,1.531
2068,1.057,1.385,0.531,1.362,1.531
2069,1.057,1.385,0.531,1.362,1.531
2070,1.057,1.385,0.531,1.362,1.531
2071,0.869,1.275,0.464,1.226,1.374
2072,0.869,1.275,0.464,1.226,1.374
2073,0.869,1.275,0.464,1.226,1.374
2074,0.869,1.275,0.464,1.226,1.374
2075,0.869,1.275,0.464,1.226,1.374
2076,0.846,1.249,0.417,1.234,1.379
2077,0.846,1.249,0.417,1.234,1.379
2078,0.846,1.249,0.417,1.234,1.379
2079,0.846,1.249,0.417,1.234,1.379
2080,0.846,1.249,0.417,1.234,1.379
2081,0.799,1.179,0.311,1.193,1.358
2082,0.799,1.179,0.311,1.193,1.358
2083,0.799,1.179,0.311,1.193,1.358
2084,0.799,1.179,0.311,1.193,1.358
2085,0.799,1.179,0.311,1.193,1.358
2086,0.797,1.126,0.232,1.179,1.378
2087,0.797,1.126,0.232,1.179,1.378
2088,0.797,1.126,0.232,1.179,1.378
2089,0.797,1.126,0.232,1.179,1.378
2090,0.797,1.126,0.232,1.179,1.378
2091,0.825,1.069,0.175,1.159,1.426
2092,0.825,1.069,0.175,1.159,1.426
2093,0.825,1.069,0.175,1.159,1.426
2094,0.825,1.069,0.175,1.159,1.426
2095,0.825,1.069,0.175,1.159,1.426
2096,0.861,1.019,0.152,1.118,1.477
2097,0.861,1.019,0.152,1.118,1.477
2098,0.861,1.019,0.152,1.118,1.477
2099,0.861,1.019,0.152,1.118,1.477
2100,0.861,1.019,0.152,1.118,1.477
2110,0.861,1.019,0.152,1.118,1.477
2120,0.861,1.019,0.152,1.118,1.477
2150,0.861,1.019,0.152,1.118,1.477
2200,0.861,1.019,0.152,1.118,1.477
