# File: detailed_industry_output.csv
# Title: Detailed industry output
# Units:  Mt/EJ
# Column types: cncccn
# ----------
province,year,supplysector,subsector,technology,production
AH,1975,agricultural energy use,biomass,biomass,0
AH,1975,agricultural energy use,coal,coal,0
AH,1975,agricultural energy use,district heat,district heat,0
AH,1975,agricultural energy use,electricity,electricity,0
AH,1975,agricultural energy use,gas,gas,0
AH,1975,agricultural energy use,hydrogen,hydrogen,0
AH,1975,agricultural energy use,liquid,liquid,0
AH,1975,chemical energy use,biomass,biomass,0
AH,1975,chemical energy use,coal,coal,0
AH,1975,chemical energy use,coal,coal CCS,0
AH,1975,chemical energy use,district heat,district heat,0
AH,1975,chemical energy use,electricity,electricity,0
AH,1975,chemical energy use,gas,gas,0
AH,1975,chemical energy use,gas,gas CCS,0
AH,1975,chemical energy use,hydrogen,hydrogen,0
AH,1975,chemical energy use,liquid,liquid,0
AH,1975,chemical energy use,liquid,liquid CCS,0
AH,1975,chemical feedstocks,coal,coal,0
AH,1975,chemical feedstocks,gas,gas,0
AH,1975,chemical feedstocks,liquid,liquid,0
AH,1975,chemical,chemical,chemical,0
AH,1975,coke,coke,coke,0
AH,1975,coke,coke,coke CCS,0
AH,1975,construction,construction,construction,0
AH,1975,construction energy use,biomass,biomass,0
AH,1975,construction energy use,coal,coal,0
AH,1975,construction energy use,district heat,district heat,0
AH,1975,construction energy use,electricity,electricity,0
AH,1975,construction energy use,gas,gas,0
AH,1975,construction energy use,hydrogen,hydrogen,0
AH,1975,construction energy use,liquid,liquid,0
AH,1975,construction feedstocks,coal,coal,0
AH,1975,construction feedstocks,gas,gas,0
AH,1975,construction feedstocks,liquid,liquid,0
AH,1975,iron and steel,BLASTFUR,Biomass-based,0
AH,1975,iron and steel,BLASTFUR,BLASTFUR,0
AH,1975,iron and steel,BLASTFUR,BLASTFUR CCS,0
AH,1975,iron and steel,EAF with DRI,EAF with DRI,0
AH,1975,iron and steel,EAF with DRI,EAF with DRI CCS,0
AH,1975,iron and steel,EAF with DRI,Hydrogen-based DRI,0
AH,1975,iron and steel,EAF with scrap,EAF with scrap,0
AH,1975,mining energy use,biomass,biomass,0
