# File: en_balance_Mtce_Yh_province.csv
# Title: energy balance by province
# Units: Mtce
# Comments: China prvincial energy balance
# Source: China statistical yearbook via LBL China Energy Databook v9 
# Column types: ciccn
# ----------
province.name,year,EBMaterial,EBProcess,value
Anhui,1952,Electricity,Thermal Power,0.0202
Anhui,1952,Coal Raw,Indigenous Production,1.84926
Anhui,1952,Electricity,Total Transformation,0.0202
Anhui,1952,Total Coal,Indigenous Production,1.84926
Anhui,1952,Total Energy,Indigenous Production,1.84926
Anhui,1952,Total Energy,Thermal Power,0.0202
Anhui,1952,Total Energy,Total Transformation,0.0202
Anhui,1965,Electricity,Thermal Power,0.56964
Anhui,1965,Electricity,Indigenous Production - Hydro Power,0.057772
Anhui,1965,Coal Raw,Indigenous Production,8.19672
Anhui,1965,Electricity,Indigenous Production,0.057772
Anhui,1965,Electricity,Total Transformation,0.56964
Anhui,1965,Total Coal,Indigenous Production,8.19672
Anhui,1965,Total Energy,Indigenous Production,8.254492
Anhui,1965,Total Energy,Indigenous Production - Hydro Power,0.057772
Anhui,1965,Total Energy,Thermal Power,0.56964
Anhui,1965,Total Energy,Total Transformation,0.56964
Anhui,1978,Electricity,Thermal Power,3.24008
Anhui,1978,Electricity,Indigenous Production - Hydro Power,0.12322
Anhui,1978,Coal Raw,Indigenous Production,17.51442
Anhui,1978,Electricity,Indigenous Production,0.12322
Anhui,1978,Electricity,Total Transformation,3.24008
Anhui,1978,Total Coal,Indigenous Production,17.51442
Anhui,1978,Total Energy,Indigenous Production,17.63764
Anhui,1978,Total Energy,Indigenous Production - Hydro Power,0.12322
Anhui,1978,Total Energy,Thermal Power,3.24008
Anhui,1978,Total Energy,Total Transformation,3.24008
Anhui,1980,Electricity,Thermal Power,1.077833
Anhui,1980,Electricity,Indigenous Production - Hydro Power,0.105694
Anhui,1980,Coal Raw,Indigenous Production,17.21454
Anhui,1980,Electricity,Indigenous Production,0.105694
Anhui,1980,Total Coal,Indigenous Production,17.21454
Anhui,1980,Coke,Coking,2.525571
Anhui,1980,Fuel Oil,Petroleum Refineries,1.074608
Anhui,1980,Gasoline,Petroleum Refineries,0.428061
Anhui,1980,Kerosene,Petroleum Refineries,0.022065
Anhui,1980,Diesel Oil,Petroleum Refineries,0.571144
Anhui,1980,Electricity,Total Transformation,1.077833
Anhui,1980,Total Energy,Coking,2.525571
Anhui,1980,Total Energy,Indigenous Production,1.73E+01
Anhui,1980,Total Energy,Indigenous Production - Hydro Power,0.105694
Anhui,1980,Total Energy,Thermal Power,1.077833
Anhui,1980,Total Energy,Total Transformation,1.077833
Anhui,1984,Total Coal,Indigenous Production,19.674984
Anhui,1984,Coal Raw,Indigenous Production,19.674984
Anhui,1984,Total Petroleum,Indigenous Production,0.00429
Anhui,1984,Crude Oil,Indigenous Production,0.004287
Anhui,1984,Electricity,Indigenous Production,0.1091352
Anhui,1984,Electricity,Indigenous Production - Hydro Power,0.1091352
Anhui,1984,Total Energy,Indigenous Production,19.7884092
Anhui,1984,Total Energy,Indigenous Production - Hydro Power,0.1091352
Anhui,1985,Coal Raw,Agriculture,0.30702
Anhui,1985,Coke,Agriculture,0.0001942
Anhui,1985,Coke Other Products,Agriculture,0.0042066
Anhui,1985,Diesel Oil,Agriculture,0.2580347
Anhui,1985,Electricity,Agriculture,0.1354358
Anhui,1985,Gasoline,Agriculture,1.81E-02
Anhui,1985,Kerosene,Agriculture,0.0016181
Anhui,1985,Coal Cleaned,Coal Washing,4.55319
Anhui,1985,Coal Raw,Coal Washing,-6.48312
Anhui,1985,Coal Washed,Coal Washing,8.22E-01
Anhui,1985,Coke Other Products,Coal Washing,0.2478573
Anhui,1985,Coal Cleaned,Coking,-3.54861
Anhui,1985,Coke,Coking,2.65E+00
Anhui,1985,Coke Oven Gas,Coking,5.38E-01
Anhui,1985,Petroleum Other Products,Coking,2.13E-01
Anhui,1985,Coal Raw,Construction,0.14994
Anhui,1985,Coke,Construction,0.0027188
Anhui,1985,Diesel Oil,Construction,0.0472068
Anhui,1985,Electricity,Construction,0.03651359
Anhui,1985,Gasoline,Construction,0.0266251
Anhui,1985,Kerosene,Construction,0.0005884
Anhui,1985,Coal Cleaned,Export,-4.89E-01
Anhui,1985,Coal Raw,Export,-0.01428
Anhui,1985,Diesel Oil,Export,-0.0734328
Anhui,1985,Fuel Oil,Export,-0.0441561
Anhui,1985,Coal Raw,Heating Supply,-0.01428
Anhui,1985,Heat,Heating Supply,0.0029716
Anhui,1985,Coal Raw,Indigenous Production,20.7417
Anhui,1985,Electricity,Indigenous Production,0.1187214
Anhui,1985,Crude Oil,Indigenous Production,0.0132897
Anhui,1985,Coal Cleaned,Industry,0.0009
Anhui,1985,Coal Raw,Industry,5.57E+00
Anhui,1985,Coal Washed,Industry,0.380625
Anhui,1985,Coke,Industry,2.4806137
Anhui,1985,Coke Other Products,Industry,0.1087074
Anhui,1985,Coke Oven Gas,Industry,0.5008478
Anhui,1985,Diesel Oil,Industry,0.2877575
Anhui,1985,Electricity,Industry,1.16284293
Anhui,1985,Fuel Oil,Industry,0.4568513
Anhui,1985,Gasoline,Industry,2.17E-01
Anhui,1985,Heat,Industry,0.0029716
Anhui,1985,Kerosene,Industry,0.0061782
Anhui,1985,Liquid Petroleum Gas,Industry,0.1102102
Anhui,1985,Crude Oil,Industry,0.0132897
Anhui,1985,Petroleum Other Products,Industry,0.656965
Anhui,1985,Refinery Gas,Industry,0.0802781
Anhui,1985,Coal Raw,Industry - NonEnergy Use,0.52122
Anhui,1985,Coke,Industry - NonEnergy Use,0.511717
Anhui,1985,Coke Oven Gas,Industry - NonEnergy Use,0.0250839
Anhui,1985,Gasoline,Industry - NonEnergy Use,0.0054427
Anhui,1985,Electricity,Losses,0.11890575
Anhui,1985,Crude Oil,Losses,0.0198631
Anhui,1985,Diesel Oil,Petroleum Refineries,0.833404
Anhui,1985,Fuel Oil,Petroleum Refineries,1.1770673
Anhui,1985,Gasoline,Petroleum Refineries,0.5641285
Anhui,1985,Liquid Petroleum Gas,Petroleum Refineries,0.1184374
