# File: en_balance_Mtce_Yh_province.csv
# Title: energy balance by province
# Units: Mtce
# Comments: China prvincial energy balance
# Source: China statistical yearbook via LBL China Energy Databook v8
# Column types: ciccn
# ----------
province.name,year,EBProcess,EBMaterial,value
China,1971,Indigenous Production,Coal Raw,279.88
China,1972,Indigenous Production,Coal Raw,292.74
China,1973,Indigenous Production,Coal Raw,297.73
China,1974,Indigenous Production,Coal Raw,294.88
China,1975,Indigenous Production,Coal Raw,344.14
China,1976,Indigenous Production,Coal Raw,344.86
China,1977,Indigenous Production,Coal Raw,392.7
China,1978,Indigenous Production,Coal Raw,441.25
China,1979,Indigenous Production,Coal Raw,453.39
China,1986,Indigenous Production,Coal Raw,638.34
China,1987,Indigenous Production,Coal Raw,662.56
China,1988,Indigenous Production,Coal Raw,699.63
China,1989,Indigenous Production,Coal Raw,752.65
China,1990,Indigenous Production,Coal Raw,771.03
China,1991,Indigenous Production,Coal Raw,776.4
China,1992,Indigenous Production,Coal Raw,797.09
China,1993,Indigenous Production,Coal Raw,821.57
China,1994,Indigenous Production,Coal Raw,885.28
China,1971,Indigenous Production,Crude Oil,56.31
China,1972,Indigenous Production,Crude Oil,65.26
China,1973,Indigenous Production,Crude Oil,76.6
China,1974,Indigenous Production,Crude Oil,92.67
China,1975,Indigenous Production,Crude Oil,110.11
China,1976,Indigenous Production,Crude Oil,124.55
China,1977,Indigenous Production,Crude Oil,133.81
China,1978,Indigenous Production,Crude Oil,148.68
China,1979,Indigenous Production,Crude Oil,151.68
China,1980,Indigenous Production,Crude Oil,151.39
China,1981,Indigenous Production,Crude Oil,144.64
China,1982,Indigenous Production,Crude Oil,145.93
China,1983,Indigenous Production,Crude Oil,151.57
China,1984,Indigenous Production,Crude Oil,163.78
China,1985,Indigenous Production,Crude Oil,178.47
China,1986,Indigenous Production,Crude Oil,186.75
China,1987,Indigenous Production,Crude Oil,191.68
China,1988,Indigenous Production,Crude Oil,195.83
China,1989,Indigenous Production,Crude Oil,196.68
China,1990,Indigenous Production,Crude Oil,197.63
China,1991,Indigenous Production,Crude Oil,201.47
China,1992,Indigenous Production,Crude Oil,203.05
China,1993,Indigenous Production,Crude Oil,207.45
China,1994,Indigenous Production,Crude Oil,208.75
China,1971,Indigenous Production,Electricity,10.14
China,1972,Indigenous Production,Electricity,11.63
China,1973,Indigenous Production,Electricity,15.71
China,1974,Indigenous Production,Electricity,16.72
China,1975,Indigenous Production,Electricity,19.23
China,1976,Indigenous Production,Electricity,18.42
China,1977,Indigenous Production,Electricity,19.23
China,1978,Indigenous Production,Electricity,18.01
China,1979,Indigenous Production,Electricity,20.24
China,1980,Indigenous Production,Electricity,23.51
China,1981,Indigenous Production,Electricity,26.48
China,1982,Indigenous Production,Electricity,30.05
China,1983,Indigenous Production,Electricity,34.88
China,1984,Indigenous Production,Electricity,35.05
China,1985,Indigenous Production,Electricity,37.31
China,1986,Indigenous Production,Electricity,38.19
China,1987,Indigenous Production,Electricity,40.4
China,1988,Indigenous Production,Electricity,44.09
China,1989,Indigenous Production,Electricity,47.82
China,1990,Indigenous Production,Electricity,51.19
China,1991,Indigenous Production,Electricity,50.53
China,1992,Indigenous Production,Electricity,53.51
China,1993,Indigenous Production,Electricity,62.36
China,1994,Indigenous Production,Electricity,73.59
Beijing,1986,Indigenous Production,Coal Raw,6.54
Hebei,1986,Indigenous Production,Coal Raw,44.86
Shanxi,1986,Indigenous Production,Coal Raw,158.43
Inner Mongolia,1986,Indigenous Production,Coal Raw,23.5
Liaoning,1986,Indigenous Production,Coal Raw,31.75
Jilin,1986,Indigenous Production,Coal Raw,15.22
Heilongjiang,1986,Indigenous Production,Coal Raw,47.09
Jiangsu,1986,Indigenous Production,Coal Raw,15.58
Zhejiang,1986,Indigenous Production,Coal Raw,1.05
Anhui,1986,Indigenous Production,Coal Raw,21.56
Fujian,1986,Indigenous Production,Coal Raw,4.84
Jiangxi,1986,Indigenous Production,Coal Raw,13.3
Shandong,1986,Indigenous Production,Coal Raw,36.41
Henan,1986,Indigenous Production,Coal Raw,56.75
Hubei,1986,Indigenous Production,Coal Raw,5.96
Hunan,1986,Indigenous Production,Coal Raw,21.79
Guangdong,1986,Indigenous Production,Coal Raw,6.11
Guangxi,1986,Indigenous Production,Coal Raw,4.56
Sichuan,1986,Indigenous Production,Coal Raw,40.62
Guizhou,1986,Indigenous Production,Coal Raw,18.23
Yunnan,1986,Indigenous Production,Coal Raw,12.13
Shaanxi,1986,Indigenous Production,Coal Raw,20.42
Gansu,1986,Indigenous Production,Coal Raw,8.91
Qinghai,1986,Indigenous Production,Coal Raw,1.94
Ningxia,1986,Indigenous Production,Coal Raw,8.83
Xinjiang,1986,Indigenous Production,Coal Raw,11.8
Beijing,1987,Indigenous Production,Coal Raw,6.42
Hebei,1987,Indigenous Production,Coal Raw,45.28
Shanxi,1987,Indigenous Production,Coal Raw,164.89
Inner Mongolia,1987,Indigenous Production,Coal Raw,24.34
Liaoning,1987,Indigenous Production,Coal Raw,31.07
Jilin,1987,Indigenous Production,Coal Raw,15.05
Heilongjiang,1987,Indigenous Production,Coal Raw,48.7
Jiangsu,1987,Indigenous Production,Coal Raw,15.95
Zhejiang,1987,Indigenous Production,Coal Raw,1.02
Anhui,1987,Indigenous Production,Coal Raw,20.59
Fujian,1987,Indigenous Production,Coal Raw,5.61
Jiangxi,1987,Indigenous Production,Coal Raw,14.06
Shandong,1987,Indigenous Production,Coal Raw,37.97
Henan,1987,Indigenous Production,Coal Raw,57.56
Hubei,1987,Indigenous Production,Coal Raw,6.06
Hunan,1987,Indigenous Production,Coal Raw,23.99
Guangdong,1987,Indigenous Production,Coal Raw,6.24
Guangxi,1987,Indigenous Production,Coal Raw,5.69
Sichuan,1987,Indigenous Production,Coal Raw,43.78
Guizhou,1987,Indigenous Production,Coal Raw,22.29
Yunnan,1987,Indigenous Production,Coal Raw,13.89
Shaanxi,1987,Indigenous Production,Coal Raw,20.39
Gansu,1987,Indigenous Production,Coal Raw,9.15
Qinghai,1987,Indigenous Production,Coal Raw,1.95
Ningxia,1987,Indigenous Production,Coal Raw,9.26
Xinjiang,1987,Indigenous Production,Coal Raw,11.26
Beijing,1988,Indigenous Production,Coal Raw,6.46
Hebei,1988,Indigenous Production,Coal Raw,45.93
Shanxi,1988,Indigenous Production,Coal Raw,175.98
Inner Mongolia,1988,Indigenous Production,Coal Raw,26.66
Liaoning,1988,Indigenous Production,Coal Raw,32.76
Jilin,1988,Indigenous Production,Coal Raw,15.9
Heilongjiang,1988,Indigenous Production,Coal Raw,51.2
Jiangsu,1988,Indigenous Production,Coal Raw,16.65
Zhejiang,1988,Indigenous Production,Coal Raw,1.02
Anhui,1988,Indigenous Production,Coal Raw,21.79
Fujian,1988,Indigenous Production,Coal Raw,6.16
Jiangxi,1988,Indigenous Production,Coal Raw,14.62
Shandong,1988,Indigenous Production,Coal Raw,39.69
Henan,1988,Indigenous Production,Coal Raw,58.86
Hubei,1988,Indigenous Production,Coal Raw,7.14
Hunan,1988,Indigenous Production,Coal Raw,25.43
Guangdong,1988,Indigenous Production,Coal Raw,6.62
Guangxi,1988,Indigenous Production,Coal Raw,7.38
Sichuan,1988,Indigenous Production,Coal Raw,47.88
Guizhou,1988,Indigenous Production,Coal Raw,22.91
Yunnan,1988,Indigenous Production,Coal Raw,14.67
Shaanxi,1988,Indigenous Production,Coal Raw,19.74
Gansu,1988,Indigenous Production,Coal Raw,9.69
Qinghai,1988,Indigenous Production,Coal Raw,1.91
Ningxia,1988,Indigenous Production,Coal Raw,9.48
Xinjiang,1988,Indigenous Production,Coal Raw,12.94
Beijing,1989,Indigenous Production,Coal Raw,7.25
Hebei,1989,Indigenous Production,Coal Raw,45.15
Shanxi,1989,Indigenous Production,Coal Raw,196.35
Inner Mongolia,1989,Indigenous Production,Coal Raw,31.29
Liaoning,1989,Indigenous Production,Coal Raw,35.56
Jilin,1989,Indigenous Production,Coal Raw,17.41
Heilongjiang,1989,Indigenous Production,Coal Raw,54.38
Jiangsu,1989,Indigenous Production,Coal Raw,17.46
Zhejiang,1989,Indigenous Production,Coal Raw,1.02
Anhui,1989,Indigenous Production,Coal Raw,22.24
Fujian,1989,Indigenous Production,Coal Raw,6.74
Jiangxi,1989,Indigenous Production,Coal Raw,14.73
Shandong,1989,Indigenous Production,Coal Raw,40.66
