# File: gdp_mil10usd_province.csv
# Title: GDP by province
# Units: million 2010 USD
# Description: Provincial GDP by historical and future years are calculated from GDP per capita and population.
# Source for GDP per capita: Historical data (2010-2019) were obtained from NBS national data portal as in current CNY (data between 2010 and 2017 was further adjusted due to the impact of the fourth economic census). The numbers were then all converted to 2010CNY using the World Bank GDP deflators for China (World Development Indicators Database 2020). All the numbers were converted to 2010USD using the annual average USD-CNY exchange rate in 2010. IMF projected growth rates in World Economic Outlook (Version April 2020) were applied to project GDP per capita from 2019 to 2021 (adjusted for COVID-19 impact in 2020). Growth rates from 2022 to 2100 came from the SSP Database (OECD Env-Growth IIASA SSP Database V2.0,extracted in July 2020 ).
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
province.name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Beijing,8271.482298,8293.635864,8550.616018,9034.927731,9440.430947,10566.46331,10186.21763,11118.50463,12966.65486,14841.88888,16578.93991,17799.909,19220.01104,21236.6084,21606.06372,22004.75497,24982.78217,27540.40778,29808.60129,32835.60538,37824.63867,41796.41938,47087.23115,53820.04547,61168.15704,70178.03619,80703.2092,92387.60499,102272.3586,112442.825,121968.181,136673.7646,157855.3847,163951.8067,178636.4276,225737.3364,238804.6785,254813.4007,276156.057,295773.091,315300.2085,344711.2541,368590.022,393780.9996,414160.3777,418488.5361,455839.1895,482311.8104,510233.517,539678.5396,570724.6246,593899.0837,617908.8465,642779.5928,668537.6101,695209.7993,714069.4339,733316.7588,752955.8969,772990.8859,793425.6722,808973.7164,824688.3456,840567.6891,856609.7494,872812.3994,885009.7998,897228.3133,909464.2561,921713.8678,933973.3118,941511.7983,948953.5739,956295.4032,963534.052,970666.2879,973559.6914,976299.4257,978884.0321,981312.0988,983582.2617,983867.8928,983989.2018,983945.8833,983737.6881,983364.4235,981232.7587,978940.6726,976488.937,973878.3791,971109.8808,966895.8512,962535.7217,958031.1383,953383.7942,948595.4294,942234.6733,935900.1269,929591.8631,923309.9526,917054.4637,910168.4749,903318.4563,896504.4021,889726.3042,882984.1522,875380.044,867826.437,860323.182,852870.1279,845467.1218,837683.454,829957.246,822288.2575,814676.2468,807120.9707,799405.7892,791750.9389,784156.126,776621.0561,769145.4337,761644.5428,754204.1464,746823.927,739503.5669,732242.7475
Tianjin,6320.772171,5766.834401,5844.517337,6879.807355,7310.419468,7864.456843,7900.172811,8188.541131,8738.844224,10108.60009,11348.37206,12166.91569,12944.89102,13444.88218,13432.24343,13659.63831,14299.71235,15971.96065,18128.01577,21011.86312,23381.68285,26208.72836,28668.78105,31121.08132,33110.90704,37775.43607,41768.26368,46049.4937,52656.41651,57980.21867,64709.18881,75136.05612,84207.62163,99108.75652,110563.0787,94138.47723,106012.2482,115930.8329,127070.6545,137575.4265,147418.6639,156273.8119,158789.6917,158946.0751,165146.241,169533.9258,187577.6298,201565.8474,216521.4634,232505.4834,249582.3216,263579.7319,278265.1508,293666.4632,309812.3392,326732.2365,340284.628,354276.0139,368714.5766,383608.3566,398965.2341,412097.9427,425515.2663,439217.0287,453202.7383,467471.578,479765.3101,492211.5159,504805.3647,517541.7306,530415.1902,540705.4003,551003.6672,561302.8066,571595.477,581874.1861,589630.478,597281.7502,604821.0701,612241.5108,619536.1599,625537.6062,631375.6831,637044.4588,642538.1009,647850.8852,651918.7063,655780.3134,659431.3549,662867.6531,666085.2117,668189.7638,670061.976,671699.3663,673099.6754,674260.8721,674155.7526,674038.8081,673910.0642,673769.5478,673617.2861,672967.5386,672306.7065,671634.8441,670952.0063,670258.2483,668867.5595,667468.2314,666060.3513,664644.0066,663219.2848,661446.3015,659666.772,657880.796,656088.4728,654289.9021,652308.6059,650322.2888,648331.0545,646335.0067,644334.2489,642257.6973,640177.0955,638092.5476,636004.1577,633912.0296
Hebei,12036.93298,11838.58188,13649.57555,15177.0208,15972.72814,16654.1439,16284.77637,18044.06859,20052.89315,22763.36422,25598.31653,27280.90651,30693.24696,36307.03177,38987.09959,39368.30742,44720.80695,49655.0717,56873.81563,62715.06018,71499.78126,80663.44517,89631.45468,96356.49156,104333.8596,112956.9618,121398.6948,131088.2696,141367.7508,158000.5083,177049.7951,196318.5673,218140.5688,236184.5623,253342.9585,251330.2339,277558.0488,301954.9486,316261.0045,325244.485,337468.9809,355923.7032,369869.6962,386509.1404,411036.8995,418200.1098,458732.3077,488856.5985,520939.584,555107.6793,591495.4101,620267.6367,650416.6413,682007.5629,715108.5928,749791.1149,776608.894,804359.7803,833075.6718,862789.5338,893535.4327,919336.4519,945853.8061,973106.8748,1001115.536,1029900.179,1054520.656,1079698.662,1105446.314,1131775.961,1158700.186,1180306.061,1202281.433,1224632.1,1247363.917,1270482.789,1288529.588,1306796.938,1325286.954,1344001.727,1362943.326,1379554.38,1396329.253,1413268.814,1430373.886,1447645.238,1462708.638,1477886.511,1493178.775,1508585.281,1524105.813,1537690.893,1551350.199,1565082.929,1578888.209,1592765.087,1604272.407,1615834.477,1627451.333,1639123.006,1650849.53,1661431.662,1672052.5,1682711.972,1693410.003,1704146.518,1713164.225,1722199.914,1731253.422,1740324.584,1749413.234,1757615.823,1765826.66,1774045.562,1782272.34,1790506.808,1798261.999,1806020.173,1813781.141,1821544.711,1829310.692,1836875.298,1844440.233,1852005.309,1859570.333,1867135.117
Shanxi,6328.032946,5710.270814,6497.743326,7294.253581,8365.270319,8264.782233,8906.420368,9990.551204,10981.97001,13527.22272,14120.98569,14689.22964,15127.26839,16395.18766,17829.74074,18855.57147,19543.76477,21404.80419,22886.56105,23700.2371,27420.7933,30555.86434,33554.10112,36475.01214,38066.83388,40968.15161,44171.94826,49775.82945,58318.03879,66560.85193,74035.2347,82137.77069,96578.676,107905.8072,108159.2172,110663.6272,124170.8907,137495.0579,140688.1524,140936.8085,151991.7195,152298.5864,177545.0424,189814.9603,199364.4623,203038.6077,222932.9596,237798.8888,253642.4819,270527.2839,288520.9266,302823.8381,317819.4497,333540.6668,350021.9295,367299.2822,380742.6714,394658.8159,409063.7956,423974.2161,439407.2251,452421.8571,465800.1645,479551.7969,493686.6396,508214.8179,520697.0524,533461.7006,546514.6429,559861.8598,573509.4329,584528.9067,595733.68,607126.3691,618709.6041,630486.0271,639744.9193,649111.1856,658585.5576,668168.7455,677861.4367,686390.8729,694996.7871,703679.2676,712438.3705,721274.1185,729002.8417,736780.9484,744608.0479,752483.7114,760407.4712,767356.2061,774332.011,781334.1479,788361.8383,795414.2621,801271.8061,807158.3056,813073.7898,819018.2868,824991.8244,830395.0248,835819.0534,841263.8821,846729.4822,852215.8244,856844.0019,861482.4394,866131.0589,870789.7818,875458.5296,879685.0797,883916.9124,888153.9365,892396.0605,896643.1928,900651.4392,904662.2728,908675.5987,912691.322,916709.348,920627.5404,924546.9655,928467.5278,932389.1321,936311.6831
Inner Mongolia,4405.414133,4251.107045,4461.266002,4810.891793,5041.289159,5195.874124,5701.208445,6689.473352,7498.327689,8784.128869,10574.61942,11345.95814,12485.00983,14019.51617,13868.62906,14024.62736,15004.6865,16378.21176,18090.00661,19928.42862,21501.7228,23899.78689,26149.72413,28584.03172,31495.44707,34162.76657,37300.50965,41557.0795,48782.81825,56677.46831,68338.91086,83242.90581,102970.7642,125323.1975,143171.165,119478.8565,135041.8162,150591.7283,156981.1709,163948.8638,178327.4961,177707.5076,181070.9082,191987.2641,201540.5698,203320.911,221161.4269,233732.7812,247029.918,261095.5456,275974.9361,287097.5225,298682.7037,310750.4705,323321.7085,336418.2393,345823.1895,355509.1324,365485.1244,375760.5287,386345.0257,394667.6445,403190.9908,411920.4842,420861.6962,430020.3548,437344.8337,444818.5341,452444.9684,460227.7309,468170.499,473897.8223,479722.1878,485645.5321,491669.8236,497797.0624,501900.5534,506066.6453,510296.3581,514590.7189,518950.7609,522408.3304,525918.8306,529482.9743,533101.473,536775.0368,539628.1976,542526.9947,545471.8816,548463.3054,551501.7064,553849.4335,556237.6431,558666.5754,561136.4605,563647.5183,565340.0643,567027.7312,568710.4618,570388.1989,572060.8862,573314.6312,574561.1152,575800.2967,577032.1341,578256.5868,578879.8493,579493.7779,580098.3595,580693.5819,581279.4333,581556.9921,581824.7292,582082.6498,582330.7594,582569.0643,582639.8531,582700.7757,582751.8483,582793.0875,582824.5106,582781.5405,582728.795,582666.2965,582594.0675,582512.1316
Liaoning,17994.21316,18029.64318,17586.18977,18998.21501,19256.56134,21345.62323,21119.57091,22611.59679,25774.70487,30025.00211,33464.80171,37819.65221,42290.25091,45620.76151,47562.24304,46688.7316,50061.50757,57209.16748,67636.79942,70579.493,70079.82069,73765.12042,81214.19555,87882.75497,95257.27964,103636.7362,109543.5065,117025.0133,122611.633,124348.3605,140829.5755,156653.7457,178976.224,201618.3883,223607.1883,172770.5045,191138.7779,209547.9082,224595.7629,234893.1658,265880.9146,254106.092,261964.5068,279647.5663,291663.384,293912.8925,319365.5855,337182.8622,356030.79,375971.2349,397069.9091,412756.5713,429108.2763,446155.1785,463928.878,482462.4937,495713.4616,509383.7026,523488.0733,538041.9964,553061.484,564869.126,576992.9714,589442.7868,602228.6622,615361.0221,625906.0254,636703.7227,647761.1448,659085.5283,670684.3222,679155.481,687812.3488,696659.4274,705701.3299,714942.7833,721329.2343,727856.5813,734527.6655,741345.3863,748312.7024,754033.7182,759886.0983,765872.1752,771994.3244,778254.9651,783384.6056,788638.5697,794018.7512,799527.0755,805165.5,809856.7637,814667.8698,819600.36,824655.7993,829835.7765,833873.5656,837916.2811,841963.8292,846016.1158,850073.0468,853518.4319,856962.8533,860406.2131,863848.4133,867289.3561,869836.7402,872376.5437,874908.6841,877433.0791,879949.6474,882004.972,884049.9727,886084.5838,888108.7404,890122.3785,891884.0053,893633.9745,895372.2334,897098.73,898813.4131,900416.4311,902007.1719,903585.5906,905151.6433,906705.287
Jilin,6554.639835,5949.78225,6291.506851,6796.918109,7161.868852,7489.958898,8137.265808,8733.200032,10630.77355,11949.70417,12924.24827,14194.94323,17495.4801,19087.16669,18559.41921,18679.88481,19334.64608,21675.78844,24171.13619,26884.59987,28530.41973,31461.78047,33196.14658,35705.70155,38409.34633,43316.29801,46148.61101,50284.12186,54373.14277,58185.97495,63356.07127,71977.2284,84719.49527,94788.18758,106989.771,88107.79906,98699.53057,109600.4409,117200.2672,123280.7006,131728.2146,135675.2114,134434.8718,133859.1363,137308.6923,138503.2412,150650.8605,159223.8879,168308.6954,177937.2685,188143.6775,195814.1414,203826.8586,212198.3423,220945.9551,230087.9545,236741.1754,243622.8298,250741.7634,258107.1935,265728.7256,271838.6469,278130.9228,284611.8186,291287.834,298165.7122,303823.0961,309635.06,315606.4575,321742.3077,328047.8012,332857.1905,337789.1076,342846.9726,348034.3095,353354.7505,357296.6244,361338.4174,365482.5515,369731.5156,374087.8676,377853.2269,381715.6587,385677.3433,389740.5189,393907.4835,397535.1312,401258.2001,405078.6695,408998.5694,413019.9822,416589.8776,420255.0965,424017.4757,427878.8979,431841.2926,435244.6221,438667.0666,442108.6687,445569.4706,449049.5143,452222.4133,455409.7984,458611.6742,461828.0448,465058.9141,467824.4315,470598.2689,473380.3944,476170.7755,478969.3799,481528.6772,484093.3676,486663.4075,489238.753,491819.3601,494271.3874,496727.2219,499186.8154,501650.1196,504117.0864,506531.5238,508948.9845,511369.4188,513792.7769,516219.009
Heilongjiang,12826.46296,12744.48307,13435.57285,14505.61792,14713.58482,16787.83891,16706.27503,17825.20039,19606.10894,21809.58049,22892.76146,25041.07942,26734.26975,28576.39276,29878.91181,31414.0936,34381.04703,37440.35129,40472.02127,46405.9163,50677.03794,56174.74272,61661.58043,64365.80401,66173.40566,69949.41432,73784.23665,77875.36428,82872.63699,88538.56733,96491.00079,104667.947,113885.0707,122641.1141,126219.6344,103970.9257,115907.9306,128326.5939,132580.8455,137143.3058,148596.4638,148577.4902,150454.3103,152803.2477,159390.1236,161176.4406,175746.831,186206.3064,197314.5003,209113.3047,221647.4206,231244.5045,241289.8761,251805.9586,262816.3636,274345.9562,282952.0301,291868.5717,301108.0445,310683.452,320608.3616,328747.0477,337139.9771,345796.1976,354725.1057,363936.461,371691.7552,379666.7236,387868.5193,396304.5473,404982.4732,411842.5704,418879.5028,426098.4372,433504.703,441103.7972,447005.4909,453052.0907,459247.3692,465595.2048,472099.5859,477878.0336,483797.7135,489862.0899,496074.7198,502439.2558,508134.4071,513968.7643,519945.5381,526068.0212,532339.5904,538046.6838,543893.3283,549882.5623,556017.4982,562301.3247,567873.5615,573490.9424,579153.7326,584862.1981,590616.6057,595987.0213,601395.7935,606843.0995,612329.1167,617854.0226,622779.2018,627732.803,632714.9005,637725.568,642764.8789,647500.1023,652259.0507,657041.7563,661848.2506,666678.5647,671350.9974,676044.7205,680759.7455,685496.0835,690253.7453,694955.7131,699677.9694,704420.5167,709183.3571,713966.4922
Shanghai,18502.73936,18393.77127,19878.08967,22628.76395,22512.88516,23700.47846,23764.91406,24188.16544,24910.1668,26780.63002,30111.8736,30665.95063,32077.5952,33561.73085,33003.26234,34331.80992,37283.12109,43278.56042,51101.46845,57077.70308,62704.80641,69089.53729,77956.33316,86057.05732,95646.14545,105902.3123,113396.2795,122920.0491,136730.047,138853.2463,161836.8478,177997.4675,200292.9635,207537.6164,221166.5795,272010.0073,279442.0049,291909.24,308823.1739,331656.451,347366.2631,381901.9181,406752.8556,428344.8114,446758.5494,449286.2708,487113.4848,513060.9839,540351.5529,569052.9249,599236.1635,620985.9727,643480.1508,666742.8124,690798.806,715673.7341,732414.818,749496.8953,766925.9218,784707.9281,802849.019,816018.9121,829350.4828,842844.8913,856503.2791,870326.7671,880175.6166,890078.8589,900036.0264,910046.621,920110.1128,925579.0519,931021.6111,936437.0372,941824.5559,947183.371,948489.8031,949738.1972,950928.2928,952059.8156,953132.4767,952379.0798,951565.9423,950693.0669,949760.4429,948768.0462,946179.5586,943537.3026,940841.4923,938092.3284,935289.9989,931193.7291,927054.0189,922871.2116,918645.6382,914377.6175,908685.3285,903012.6117,897359.5697,891726.3036,886112.912,879884.364,873684.3778,867512.9936,861370.2494,855256.1811,848300.7088,841387.275,834515.8011,827686.2062,820898.4075,813734.0747,806618.4681,799551.4297,792532.7998,785562.4172,778429.4013,771348.0825,764318.2547,757339.7102,750412.2402,743453.2313,736546.3976,729691.5097,722888.337,716136.648
Jiangsu,16693.43759,16612.9021,17465.38179,20659.31548,23465.49546,24292.99042,25613.36131,27998.62495,30988.13138,35551.0551,42040.56014,46542.16992,54240.69296,62580.74708,62631.52486,62237.00157,66800.68077,82959.89539,100847.3889,116324.8554,129334.3236,141493.9147,151773.6327,163031.3594,175845.8927,190555.2205,207081.6489,227732.1276,254516.6682,289109.9381,325481.4691,366056.6481,417105.354,456999.6937,506485.1297,603304.3792,657071.955,702850.7939,760266.922,823352.9437,885573.8326,958084.4268,1041545.868,1108662.945,1166580.004,1169145.923,1263370.503,1326403.636,1392644.95,1462261.836,1535430.64,1586810.024,1639987.524,1695029.634,1752005.423,1810986.639,1849375.102,1888673.508,1928906.231,1970098.329,2012275.568,2042109.794,2072496.807,2103448.954,2134978.849,2167099.378,2189522.965,2212300.507,2235438.872,2258945.024,2282826.027,2295564.125,2308503.392,2321646.831,2334997.444,2348558.235,2352355.085,2356292.326,2360370.76,2364591.148,2368954.221,2369065.48,2369311.702,2369692.733,2370208.38,2370858.411,2367798.036,2364874.712,2362087.431,2359435.146,2356916.771,2351397.609,2346020.238,2340782.921,2335683.888,2330721.338,2322361.083,2313990.164,2305608.981,2297217.931,2288817.413,2278762.94,2268713.115,2258668.335,2248628.995,2238595.488,2226284.671,2214003.328,2201751.788,2189530.376,2177339.413,2164066.922,2150838.539,2137654.514,2124515.093,2111420.516,2097803.154,2084238.294,2070726.125,2057266.827,2043860.579,2030282.518,2016760.817,2003295.623,1989887.073,1976535.302
