# File: mining_water_shares.csv
# Title: shares of fresh to saline water for primary energy mining
# Units: NA
# Column types: cnnnn
# ----------
state,year,state.to.country.share,fresh.share,saline.share
AH,1990,0.031680025,1,0
AH,2005,0.031680025,1,0
AH,2010,0.031680025,1,0
AH,2015,0.031680025,1,0
BJ,1990,0.001404528,1,0
BJ,2005,0.001404528,1,0
BJ,2010,0.001404528,1,0
BJ,2015,0.001404528,1,0
CQ,1990,0.020420085,1,0
CQ,2005,0.020420085,1,0
CQ,2010,0.020420085,1,0
CQ,2015,0.020420085,1,0
FJ,1990,0.004515062,1,0
FJ,2005,0.004515062,1,0
FJ,2010,0.004515062,1,0
FJ,2015,0.004515062,1,0
GD,1990,0.032159275,1,0
GD,2005,0.032159275,1,0
GD,2010,0.032159275,1,0
GD,2015,0.032159275,1,0
GS,1990,0.007948086,1,0
GS,2005,0.007948086,1,0
GS,2010,0.007948086,1,0
GS,2015,0.007948086,1,0
GX,1990,0.002860594,1,0
GX,2005,0.002860594,1,0
GX,2010,0.002860594,1,0
GX,2015,0.002860594,1,0
GZ,1990,0.069645132,1,0
GZ,2005,0.069645132,1,0
GZ,2010,0.069645132,1,0
GZ,2015,0.069645132,1,0
HA,1990,0.034641698,1,0
HA,2005,0.034641698,1,0
HA,2010,0.034641698,1,0
HA,2015,0.034641698,1,0
HB,1990,0.003515504,1,0
HB,2005,0.003515504,1,0
HB,2010,0.003515504,1,0
HB,2015,0.003515504,1,0
HE,1990,0.03323169,1,0
HE,2005,0.03323169,1,0
HE,2010,0.03323169,1,0
HE,2015,0.03323169,1,0
HI,1990,0.000920239,1,0
HI,2005,0.000920239,1,0
HI,2010,0.000920239,1,0
HI,2015,0.000920239,1,0
HL,1990,0.102293895,1,0
HL,2005,0.102293895,1,0
HL,2010,0.102293895,1,0
HL,2015,0.102293895,1,0
HN,1990,0.008933268,1,0
HN,2005,0.008933268,1,0
HN,2010,0.008933268,1,0
HN,2015,0.008933268,1,0
JL,1990,0.024845602,1,0
JL,2005,0.024845602,1,0
JL,2010,0.024845602,1,0
JL,2015,0.024845602,1,0
JS,1990,0.012307205,1,0
JS,2005,0.012307205,1,0
JS,2010,0.012307205,1,0
JS,2015,0.012307205,1,0
JX,1990,0.007075827,1,0
JX,2005,0.007075827,1,0
JX,2010,0.007075827,1,0
JX,2015,0.007075827,1,0
LN,1990,0.020686969,1,0
LN,2005,0.020686969,1,0
LN,2010,0.020686969,1,0
LN,2015,0.020686969,1,0
NM,1990,0.114231049,1,0
NM,2005,0.114231049,1,0
NM,2010,0.114231049,1,0
NM,2015,0.114231049,1,0
NX,1990,0.009516797,1,0
NX,2005,0.009516797,1,0
NX,2010,0.009516797,1,0
NX,2015,0.009516797,1,0
QH,1990,0.003089708,1,0
QH,2005,0.003089708,1,0
QH,2010,0.003089708,1,0
QH,2015,0.003089708,1,0
SC,1990,0.04531846,1,0
SC,2005,0.04531846,1,0
SC,2010,0.04531846,1,0
SC,2015,0.04531846,1,0
SD,1990,0.041910587,1,0
SD,2005,0.041910587,1,0
SD,2010,0.041910587,1,0
SD,2015,0.041910587,1,0
SH,1990,3.18E-04,1,0
SH,2005,3.18E-04,1,0
SH,2010,3.18E-04,1,0
SH,2015,3.18E-04,1,0
SN,1990,0.149368029,1,0
SN,2005,0.149368029,1,0
SN,2010,0.149368029,1,0
SN,2015,0.149368029,1,0
SX,1990,0.144549067,1,0
SX,2005,0.144549067,1,0
SX,2010,0.144549067,1,0
SX,2015,0.144549067,1,0
TJ,1990,0.044692926,1,0
TJ,2005,0.044692926,1,0
TJ,2010,0.044692926,1,0
TJ,2015,0.044692926,1,0
XJ,1990,0.002686746,1,0
XJ,2005,0.002686746,1,0
XJ,2010,0.002686746,1,0
XJ,2015,0.002686746,1,0
XZ,1990,0,1,0
XZ,2005,0,1,0
XZ,2010,0,1,0
XZ,2015,0,1,0
YN,1990,0.025233615,1,0
YN,2005,0.025233615,1,0
YN,2010,0.025233615,1,0
YN,2015,0.025233615,1,0
ZJ,1990,0,1,0
ZJ,2005,0,1,0
ZJ,2010,0,1,0
ZJ,2015,0,1,0
AH,2021,0.031680025,1,0
BJ,2021,0.001404528,1,0
CQ,2021,0.020420085,1,0
FJ,2021,0.004515062,1,0
GD,2021,0.032159275,1,0
GS,2021,0.007948086,1,0
GX,2021,0.002860594,1,0
GZ,2021,0.069645132,1,0
HA,2021,0.034641698,1,0
HB,2021,0.003515504,1,0
HE,2021,0.03323169,1,0
HI,2021,0.000920239,1,0
HL,2021,0.102293895,1,0
HN,2021,0.008933268,1,0
JL,2021,0.024845602,1,0
JS,2021,0.012307205,1,0
JX,2021,0.007075827,1,0
LN,2021,0.020686969,1,0
NM,2021,0.114231049,1,0
NX,2021,0.009516797,1,0
QH,2021,0.003089708,1,0
SC,2021,0.04531846,1,0
SD,2021,0.041910587,1,0
SH,2021,3.18E-04,1,0
SN,2021,0.149368029,1,0
SX,2021,0.144549067,1,0
TJ,2021,0.044692926,1,0
XJ,2021,0.002686746,1,0
XZ,2021,0,1,0
YN,2021,0.025233615,1,0
ZJ,2021,0,1,0
