# Table used to adjust nuclear share weights that have been adjusted manually to match Bo Liu
# This CSV is written by ../assumptions/nuc_share_weight_assumptions.xlsx
region,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AH,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GX,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HE,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HI,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JX,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SD,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
