# File: population_thous_province.csv
# Title: Population by province
# Units: 1000 persons
# Description: Provincial population by historical and future years
# Source: Historical data (1975-2018) on national population were obtained from the 2019 China Statistics Yearbook and the China Compendium of 60-year Statistics (1949-2008) SSP growth rates were applied to project future population in China from 2020 to 2100.
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
province.name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Beijing,8484.450319,8490.983739,8644.463221,8754.278252,9010.346714,9082.627512,9232.442215,9396.279826,9568.372322,9740.855975,9929.611999,10414.57271,10617.81691,10759.5243,10898.32706,10905.09476,10994.36479,11086.17397,11195.18781,11325.26363,12585.29544,12700.15963,12523.94681,12592.15588,12711.01824,13720.97718,13964.66989,14356.74322,14677.78391,15041.78233,15637.36182,16247.94423,16983.1359,17894.33039,18741.42084,19723.84766,20294.38273,20784.40199,21283.89244,21604.66098,21769.22867,21775.19734,21737.20904,21522.26246,21481.69463,21719.7201,21924.74637,22127.60312,22328.21505,22526.50766,22722.40731,22881.49841,23037.53168,23190.44915,23340.1942,23486.71155,23592.5896,23694.75063,23793.16053,23887.78688,23978.59891,24028.42558,24074.18242,24115.86216,24153.45929,24186.97,24182.36264,24173.64298,24160.82953,24143.94234,24123.00301,24066.30373,24005.71794,23941.28708,23873.05379,23801.06187,23697.89547,23591.27672,23481.26482,23367.9197,23251.30197,23109.09709,22964.00218,22816.08826,22665.42659,22512.08865,22340.36198,22166.33732,21990.09152,21811.70126,21631.24307,21439.05126,21245.11571,21049.51458,20852.32555,20653.62586,20444.61117,20237.7117,20032.90606,19830.17305,19629.4917,19421.81168,19216.32891,19013.02015,18811.8624,18612.83289,18409.76689,18208.91633,18010.25705,17813.76515,17619.41697,17427.36533,17237.40704,17049.51931,16863.67955,16679.86544,16502.89207,16327.79638,16154.55846,15983.1586,15813.57729,15651.80439,15491.68643,15333.20648,15176.34778,15021.09374
Tianjin,7062.269957,7098.426235,7161.39279,7275.342638,7426.630885,7521.918135,7636.651942,7787.556323,7909.317281,8030.099218,8146.128172,8256.385523,8404.301253,8510.367945,8641.10611,8698.469926,8769.664116,8842.481246,8918.799396,8965.078689,8999.829167,9060.23378,9087.941406,9149.834914,9202.34447,10069.4268,10123.12532,10159.69109,10191.7854,10316.66786,10604.53081,10909.76892,11298.44662,11882.40121,12373.36817,13058.75541,13620.05379,14194.47077,14813.18661,15229.6797,15512.20486,15652.48884,15589.51381,15587.15387,15577.71913,15896.74583,16193.12552,16489.06055,16784.33854,17078.74444,17372.06071,17637.59532,17900.76848,18161.36652,18419.17563,18673.98215,18895.65246,19113.1576,19326.30502,19534.90463,19738.76918,19906.94324,20069.46664,20226.18768,20376.95947,20521.64008,20631.06068,20733.79189,20829.73601,20918.80168,21000.90403,21048.21318,21088.2669,21121.02906,21146.47066,21164.56985,21150.80275,21129.69164,21101.26175,21065.54539,21022.58188,20952.13022,20874.66128,20790.25536,20698.99912,20600.98543,20481.84228,20356.31277,20224.52101,20086.59636,19942.6732,19783.90089,19619.55846,19449.80164,19274.79011,19094.68719,18901.44896,18710.16629,18520.81941,18333.38872,18147.85482,17955.85052,17765.87762,17577.91464,17391.9403,17207.93357,17020.19501,16834.50469,16650.84024,16469.17957,16289.50083,16111.94527,15936.32506,15762.61912,15590.80657,15420.86678,15257.25138,15095.37195,14935.21005,14776.74747,14619.96618,14470.40393,14322.37169,14175.85383,14030.83485,13887.29941
Hebei,49365.35341,49663.86537,50209.21229,50797.91752,51273.90478,51906.46796,52791.24922,53825.10668,54590.08209,55386.60802,56156.46011,57006.61538,57906.14573,58766.67609,59621.4525,61845.74462,62509.09412,63126.80731,63768.27301,64307.36361,64752.25541,65386.56111,65902.22013,66408.05395,66871.36065,67136.21826,67544.63797,67949.8704,68237.58195,68599.79631,69656.41473,70005.1963,70354.36312,70617.43369,70874.81407,72320.77475,72784.36124,73212.52862,73794.22376,74130.49102,74452.56696,74855.37236,75294.24781,75497.77864,75714.49656,76015.94632,76205.06171,76390.82476,76573.28695,76752.49994,76928.51556,76985.8376,77039.73072,77090.26126,77137.49511,77181.49759,77100.24886,77015.97128,76928.74253,76838.63902,76745.7359,76531.80793,76315.71229,76097.53094,75877.34391,75655.22927,75325.26502,74994.30627,74662.43071,74329.71356,73996.2276,73565.04926,73134.24916,72703.89304,72274.04387,71844.76186,71333.44449,70823.89241,70316.15341,69810.27242,69306.29158,68737.6937,68172.10342,67609.54752,67050.05004,66493.63241,65893.75771,65297.80762,64705.78861,64117.70477,63533.5579,62924.75432,62320.42101,61720.54756,61125.12159,60534.12882,59921.52343,59315.11762,58714.84863,58120.65436,57532.47334,56923.77977,56321.52618,55725.64443,55136.06711,54552.72752,53957.55727,53368.88032,52786.62583,52210.72374,51641.10475,51078.21671,50521.46414,49970.78019,49426.09868,48887.35421,48368.65938,47855.4679,47347.72139,46845.36206,46348.33277,45874.18933,45404.89637,44940.40428,44480.66395,44025.62675
Shanxi,23512.09586,23843.27714,24093.99255,24345.23095,24579.33394,24873.5232,25198.38015,25586.01972,26070.28939,26562.75907,27060.97623,27490.21696,27970.39239,28467.61227,28923.65312,29110.37728,29565.19357,29971.90391,30329.69676,30655.72694,30955.74267,31355.09476,31722.95528,32068.75152,32390.2466,32662.76606,32990.90244,33233.38873,33408.08784,33599.69463,34111.41022,34251.6001,34381.73038,34465.02594,34530.56409,35929.17,36115.75887,36274.75862,36529.80121,36623.51453,36739.96032,36896.58381,37066.39699,37149.3834,37189.06187,37368.72997,37492.79513,37614.77622,37734.68836,37852.54704,37968.36806,38025.0956,38079.56854,38131.81293,38181.85487,38229.72043,38214.92416,38197.96148,38178.86834,38157.6804,38134.43291,38050.34439,37964.44046,37876.76381,37787.35636,37696.25933,37550.67165,37403.81372,37255.73031,37106.46517,36956.06095,36756.09715,36555.54169,36354.43713,36152.82473,35950.74445,35706.85844,35463.09793,35219.49937,34976.09781,34732.92687,34456.65548,34181.17923,33906.52596,33632.72211,33359.79266,33064.4003,32770.32743,32477.59258,32186.21295,31896.20443,31593.22557,31291.91318,30992.27736,30694.32699,30398.06983,30090.44136,29785.9261,29484.49253,29186.10946,28890.74603,28585.08194,28282.65177,27983.42132,27687.35672,27394.42449,27095.55132,26799.93885,26507.55152,26218.35413,25932.31189,25649.64969,25370.06851,25093.53476,24820.01523,24549.47706,24289.00711,24031.30075,23776.32865,23524.0618,23274.4715,23036.37366,22800.71156,22567.46028,22336.59516,22108.09179
Inner Mongolia,17462.25274,17775.70516,18063.46231,18316.18011,18599.21976,18847.23048,19112.72225,19512.10365,19839.76821,20118.6529,20404.79595,20674.14253,20955.73722,21234.08854,21514.81831,21715.79921,21947.52583,22198.50406,22474.94358,22756.22972,22979.65702,23260.43212,23489.47025,23705.31979,23880.17338,23860.81956,24007.13286,24052.3372,24053.01677,24109.16619,24432.10693,24508.92274,24613.3873,24694.37801,24766.8884,24850.8417,24948.31993,25013.6109,25138.13868,25148.54821,25178.50446,25252.41477,25321.69584,25319.13328,25331.24622,25323.43869,25280.06368,25237.58849,25196.03582,25155.42799,25115.78691,25039.55224,24964.49605,24890.63413,24817.98177,24746.55377,24637.35241,24529.68305,24423.55248,24318.96693,24215.93212,24077.23587,23940.46592,23805.61844,23672.68916,23541.6733,23379.66566,23219.96407,23062.55361,22907.41904,22754.54475,22574.1513,22396.4157,22221.31183,22048.81343,21878.89403,21686.39718,21496.83643,21310.17554,21126.37831,20945.40857,20747.14137,20551.98815,20359.90452,20170.84635,19984.76974,19787.65053,19593.69017,19402.83925,19215.04874,19030.27006,18839.8941,18652.60038,18468.33751,18287.05465,18108.70147,17925.44141,17744.03595,17564.4663,17386.7139,17210.76036,17028.67052,16848.50718,16670.24998,16493.87873,16319.37349,16141.32913,15965.22723,15791.0466,15618.76628,15448.36554,15279.97836,15113.42659,14948.69024,14785.74952,14624.58485,14469.418,14315.89748,14164.00581,14013.7257,13865.04007,13723.20071,13582.81237,13443.8602,13306.32951,13170.20576
Liaoning,32977.22163,33266.65147,33603.40438,34092.96659,34581.00963,35022.80453,35505.53006,36097.79373,36551.18227,36894.12289,37309.42898,37747.7606,38303.24211,38799.18943,39294.80528,39332.64843,39585.74305,39817.67384,40099.31029,40338.07232,40579.55543,40911.98001,41177.52513,41347.07576,41483.70014,42088.39335,42287.23864,42404.3512,42440.57025,42485.73081,42916.32266,43344.76564,43552.21845,43599.11667,43740.05799,43981.56652,44056.60204,44090.25633,44177.91386,44082.74459,43939.54861,43871.06027,43744.75647,43554.10496,43402.19824,43260.25976,43060.67792,42865.88562,42675.87296,42490.6302,42310.14785,42071.27181,41837.74458,41609.53484,41386.61166,41168.94452,40891.7532,40620.5153,40355.17545,40095.67898,39841.97197,39532.89328,39230.34005,38934.23271,38644.49283,38361.04314,38030.29112,37706.5148,37389.61311,37079.48664,36776.03756,36431.13602,36093.54848,35763.15506,35439.83799,35123.48158,34773.677,34431.35491,34096.38143,33768.6252,33447.95733,33102.19953,32763.90399,32432.92867,32109.13433,31792.3845,31460.31783,31135.47433,30817.71098,30506.88773,30202.8674,29891.93266,29587.80518,29290.34722,28999.42388,28714.90314,28424.30832,28136.65432,27851.91137,27570.05003,27291.04112,27002.30191,26716.61756,26433.95574,26154.28449,25877.57216,25595.24785,25316.00369,25039.80609,24766.62181,24496.41796,24229.40701,23965.30647,23704.08463,23445.71011,23190.15187,22944.10436,22700.66741,22459.81333,22221.51471,21985.74444,21760.83027,21538.21698,21317.88102,21099.7991,20883.94815
Jilin,20737.86951,21025.006,21276.12859,21589.86833,21941.81633,22203.87553,22407.15333,22687.74474,22858.33788,23060.08857,23260.19202,23456.08967,23693.8562,23906.22299,24284.51408,24503.32619,24719.23132,24888.56116,25129.77364,25324.29617,25660.48288,26008.40218,26260.89848,26316.55443,26450.28222,26979.22346,27132.79904,27230.3935,27258.74156,27292.82541,27614.48291,27634.69839,27663.46123,27624.56199,27608.32962,27615.39731,27632.12389,27625.47389,27684.15513,27628.26534,27605.10665,27386.84507,27204.05203,27017.73338,26837.15888,26695.49136,26519.82574,26348.7271,26182.15094,26020.05388,25862.39373,25670.60045,25483.66689,25301.53386,25124.1436,24951.43977,24744.18622,24542.08915,24345.07366,24153.06665,23965.99674,23747.08722,23533.58105,23325.38872,23122.42286,22924.59819,22699.88809,22480.72705,22267.01404,22058.65051,21855.54029,21629.07212,21408.21712,21192.86535,20982.90961,20778.24535,20554.9519,20337.22592,20124.95241,19918.01927,19716.31729,19500.85794,19290.80826,19086.05237,18886.47739,18691.97338,18489.36998,18291.89607,18099.43971,17911.89191,17729.14655,17543.12865,17361.87042,17185.26766,17013.21896,16845.62561,16675.14788,16506.39538,16339.35066,16173.99643,16010.31559,15840.92645,15673.32945,15507.50562,15343.43621,15181.10266,15015.47683,14851.65797,14689.62638,14529.36256,14370.84722,14214.20498,14059.27015,13906.0241,13754.44844,13604.52495,13460.18094,13317.36842,13176.07114,13036.27303,12897.95817,12766.01206,12635.41576,12506.15545,12378.21748,12251.58832
Heilongjiang,29722.70546,30336.85517,30865.90732,31437.05016,31825.97886,32178.39436,32535.52009,32973.40506,33297.93568,33623.61788,33979.31445,34293.12121,34723.40508,35148.45545,35584.3051,35577.11856,35927.65458,36296.6567,36646.11837,36965.66049,37229.78053,37594.24735,37884.93911,38142.42465,38339.31049,38296.01183,38425.52848,38469.61483,38458.61651,38455.78242,38839.22118,38798.18287,38749.11199,38648.11616,38550.90114,38532.87873,38538.21862,38514.93341,35573.78713,38480.79254,38223.99802,38069.01735,37937.48736,37698.93049,37408.46636,37228.55985,37000.70072,36778.65991,36562.38978,36351.84388,36146.97699,35893.87192,35647.01969,35406.35235,35171.80347,34943.30816,34665.91127,34395.21376,34131.12578,33873.55939,33622.42863,33326.13557,33036.92712,32754.69259,32479.32373,32210.71473,31903.86683,31604.35456,31312.05033,31026.82942,30748.56997,30437.02236,30132.95023,29836.2124,29546.67099,29264.19134,28955.08929,28653.44973,28359.12303,28071.96316,27791.82761,27491.9577,27199.37843,26913.93741,26635.48604,26363.87935,26080.54934,25804.16243,25534.57017,25271.6278,25015.19421,24753.88359,24499.0366,24250.51405,24008.18022,23771.90289,23531.33123,23293.19416,23057.46704,22824.12547,22593.14532,22354.10984,22117.60336,21883.59912,21652.07064,21422.99173,21189.26689,20958.09199,20729.43921,20503.28102,20279.59023,20058.54269,19839.90458,19623.64962,19409.75184,19198.18554,18994.49279,18792.96123,18593.56791,18396.29015,18201.10551,18014.9082,17830.61569,17648.20849,17467.66732,17288.97309
Shanghai,10818.77943,10864.15894,10914.52639,11032.29916,11371.05554,11515.44188,11679.56169,11863.53187,12026.03393,12161.23157,12315.24936,12484.62099,12671.50756,12802.10996,12940.62286,12886.78947,12935.96559,12971.12534,13034.94376,13074.99169,13090.98068,13154.25538,13185.09001,13208.62158,13276.40174,16185.5222,16818.10063,17282.57283,17802.86153,18487.3882,19216.26388,19931.8941,20914.79267,21632.84097,22268.03229,23151.89662,23591.3404,23908.59195,24302.88427,24355.44031,24215.88542,24250.33482,24210.30468,24220.0391,24214.27788,24354.68913,24458.62167,24560.9126,24661.56223,24760.5713,24857.94092,24916.2757,24972.74852,25027.36938,25080.14855,25131.09649,25140.41525,25147.83776,25153.38377,25157.07309,25158.92551,25120.13134,25079.60512,25037.37459,24993.46727,24947.9104,24865.73976,24782.15936,24697.20178,24610.8991,24523.2829,24402.21042,24280.16558,24157.18258,24033.29496,23908.53548,23755.40881,23601.79794,23447.73558,23293.25356,23138.38283,22960.92111,22783.45229,22606.00512,22428.60741,22251.28603,22058.48197,21866.06617,21674.06214,21482.49248,21291.37882,21091.158,20891.61082,20692.75542,20494.60909,20297.18825,20091.7807,19888.45188,19687.18075,19487.94648,19290.72846,19086.63255,18884.69598,18684.8959,18487.2097,18291.61502,18092.0535,17894.6692,17699.43835,17506.33748,17315.34334,17126.6061,16939.92609,16755.2809,16572.64834,16392.00647,16218.08728,16046.01337,15875.76517,15707.3233,15540.6686,15381.68756,15224.3329,15068.58797,14914.43632,14761.86164
Jiangsu,56631.1939,57277.31684,57917.20037,58606.25156,59183.94664,59642.11861,60366.83366,61190.78511,61791.44054,62295.34797,62892.40118,63519.77569,64376.21946,65290.03066,66260.30782,67949.98689,68777.08801,69527.01046,70143.79152,70675.08117,71079.80919,71700.94252,72193.07942,72609.71094,72928.91105,73704.9852,74199.28211,74719.63478,75183.31898,75793.25417,77149.74091,77697.85196,78258.20918,78427.88959,78693.81545,79106.50216,79398.37999,79561.3648,79892.58727,79913.15121,79977.59921,80156.3753,80390.62708,80443.70246,80481.55786,80456.27007,80317.98948,80182.57864,80050.1096,79920.65314,79794.27881,79551.65579,79312.78862,79077.72733,78846.52037,78619.21463,78271.91569,77929.49622,77591.97755,77259.37932,76931.71954,76490.77895,76055.9705,75627.28184,75204.69912,74788.207,74273.271,73765.67315,73265.36588,72772.30049,72286.42719,71713.14294,71148.31381,70591.85661,70043.68758,69503.72242,68892.04539,68289.70651,67696.59039,67112.58174,66537.5654,65907.61009,65287.55689,64677.26456,64076.59265,63485.40146,62859.14037,62242.92281,61636.59155,61039.99064,60452.96547,59848.16754,59253.16858,58667.8052,58091.91565,57525.33983,56943.18339,56366.91838,55796.48516,55231.82473,54672.87867,54094.43961,53522.12044,52955.8564,52395.58344,51841.23817,51275.65026,50716.23292,50162.91882,49615.64137,49074.33472,48539.42448,48010.34475,47487.03199,46969.42334,46457.45663,45964.54301,45476.85921,44994.34974,44516.95969,44044.63474,43594.05813,43148.09092,42706.68595,42269.79655,41837.37653
