# File: province_and_basin.csv
# Title: Mapping between provinces and basins
# Units: NA
# Comments: Basins placed in their respective provinces. Derived from rgis script grid_to_zone_fraction created by Chris R Vernon
# Source: NA
# Column types: ncc
# ----------
GCAM_basin_ID,basin_name,state_abbr
37,RusCstSE,HL
37,RusCstSE,JL
42,Gobi,GS
42,Gobi,NM
42,Gobi,QH
42,Gobi,XJ
43,AmurR,HL
43,AmurR,JL
43,AmurR,NM
56,ObR,XJ
66,BoHai,HE
66,BoHai,JL 
66,BoHai,LN
66,BoHai,NM
68,LBalkash,XJ
77,ZiyaHe,BJ
77,ZiyaHe,HA
77,ZiyaHe,HE
77,ZiyaHe,LN
77,ZiyaHe,NM
77,ZiyaHe,SD
77,ZiyaHe,SX
77,ZiyaHe,TJ
78,ChinaCst,AH
78,ChinaCst,FJ
78,ChinaCst,GD
78,ChinaCst,HK
78,ChinaCst,JS
78,ChinaCst,JX
78,ChinaCst,SD
78,ChinaCst,SH
78,ChinaCst,ZJ
79,HuangHeR,GS
79,HuangHeR,HA
79,HuangHeR,NM
79,HuangHeR,NX
79,HuangHeR,QH
79,HuangHeR,SC
79,HuangHeR,SD
79,HuangHeR,SN
79,HuangHeR,SX
85,Tarim,GS
85,Tarim,QH
85,Tarim,XJ
85,Tarim,XZ
89,IndusR,XJ
89,IndusR,XZ
92,Tibet,QH
92,Tibet,XZ
106,Yangtze,AH
106,Yangtze,CQ
106,Yangtze,GS
106,Yangtze,GX
106,Yangtze,GZ
106,Yangtze,HA
106,Yangtze,HB
106,Yangtze,HN
106,Yangtze,JS
106,Yangtze,JX
106,Yangtze,QH
106,Yangtze,SC
107,Yangtze,SD
106,Yangtze,SN
106,Yangtze,XZ
106,Yangtze,YN
108,XunJiang,GD
108,XunJiang,GX
108,XunJiang,GZ
108,XunJiang,HN
108,XunJiang,MC
108,XunJiang,YN
109,Hong,YN
110,GangesR,XZ
112,SChinaSea,GD
112,SChinaSea,GX
124,Hainan,HI
125,Mekong,QH
125,Mekong,XZ
125,Mekong,YN
127,Salween,XZ
127,Salween,YN
137,IrrawaddyR,XZ
137,IrrawaddyR,YN
