# File: province_decile_gdp_per_capita_projections.csv
# Title: province-level decile of gdp per capita projections under scenarios
# Units: NA
# Comments: note the pop and gdp are not updated so leave them as blank
# Source: https://github.com/JGCRI/pridr, China Statistical Yearbook
# Column types: ccicnccnnn
# ----------
province_code,province,year,sce,shares,category,gcam.consumer,decile_pop,decile_gdp,decile_gdp_pc
AH,Anhui,2011,Historical data,0.014433917,d1,resid_urban,,,
AH,Anhui,2011,Historical data,0.39880777,d10,resid_urban,,,
AH,Anhui,2011,Historical data,0.02628653,d2,resid_urban,,,
AH,Anhui,2011,Historical data,0.035611446,d3,resid_urban,,,
AH,Anhui,2011,Historical data,0.045243138,d4,resid_urban,,,
AH,Anhui,2011,Historical data,0.056007262,d5,resid_urban,,,
AH,Anhui,2011,Historical data,0.068996692,d6,resid_urban,,,
AH,Anhui,2011,Historical data,0.086287819,d7,resid_urban,,,
AH,Anhui,2011,Historical data,0.111783862,d8,resid_urban,,,
AH,Anhui,2011,Historical data,0.158083188,d9,resid_urban,,,
AH,Anhui,2012,Historical data,0.021620784,d1,resid_urban,,,
AH,Anhui,2012,Historical data,0.34487799,d10,resid_urban,,,
AH,Anhui,2012,Historical data,0.035491953,d2,resid_urban,,,
AH,Anhui,2012,Historical data,0.045191527,d3,resid_urban,,,
AH,Anhui,2012,Historical data,0.054598983,d4,resid_urban,,,
AH,Anhui,2012,Historical data,0.064681871,d5,resid_urban,,,
AH,Anhui,2012,Historical data,0.076490467,d6,resid_urban,,,
AH,Anhui,2012,Historical data,0.091764535,d7,resid_urban,,,
AH,Anhui,2012,Historical data,0.113717987,d8,resid_urban,,,
AH,Anhui,2012,Historical data,0.152740082,d9,resid_urban,,,
AH,Anhui,2013,Historical data,0.021471618,d1,resid_urban,,,
AH,Anhui,2013,Historical data,0.353435457,d10,resid_urban,,,
AH,Anhui,2013,Historical data,0.034996858,d2,resid_urban,,,
AH,Anhui,2013,Historical data,0.044445231,d3,resid_urban,,,
AH,Anhui,2013,Historical data,0.053638457,d4,resid_urban,,,
AH,Anhui,2013,Historical data,0.063522839,d5,resid_urban,,,
AH,Anhui,2013,Historical data,0.075159468,d6,resid_urban,,,
AH,Anhui,2013,Historical data,0.090334051,d7,resid_urban,,,
AH,Anhui,2013,Historical data,0.11234182,d8,resid_urban,,,
AH,Anhui,2013,Historical data,0.152078555,d9,resid_urban,,,
AH,Anhui,2014,Historical data,0.026557447,d1,resid_urban,,,
AH,Anhui,2014,Historical data,0.312290355,d10,resid_urban,,,
AH,Anhui,2014,Historical data,0.041632994,d2,resid_urban,,,
AH,Anhui,2014,Historical data,0.051444066,d3,resid_urban,,,
AH,Anhui,2014,Historical data,0.060566344,d4,resid_urban,,,
AH,Anhui,2014,Historical data,0.070053879,d5,resid_urban,,,
AH,Anhui,2014,Historical data,0.080933635,d6,resid_urban,,,
AH,Anhui,2014,Historical data,0.094737491,d7,resid_urban,,,
AH,Anhui,2014,Historical data,0.114246023,d8,resid_urban,,,
AH,Anhui,2014,Historical data,0.14860708,d9,resid_urban,,,
AH,Anhui,2015,Historical data,0.028804187,d1,resid_urban,,,
AH,Anhui,2015,Historical data,0.298992855,d10,resid_urban,,,
AH,Anhui,2015,Historical data,0.044365178,d2,resid_urban,,,
AH,Anhui,2015,Historical data,0.054176805,d3,resid_urban,,,
AH,Anhui,2015,Historical data,0.063124167,d4,resid_urban,,,
AH,Anhui,2015,Historical data,0.072296906,d5,resid_urban,,,
AH,Anhui,2015,Historical data,0.082713427,d6,resid_urban,,,
AH,Anhui,2015,Historical data,0.095819027,d7,resid_urban,,,
AH,Anhui,2015,Historical data,0.114210885,d8,resid_urban,,,
AH,Anhui,2015,Historical data,0.146566841,d9,resid_urban,,,
AH,Anhui,2020,SSP4,0.031187206,d1,resid_urban,,,
AH,Anhui,2020,SSP3,0.03156179,d1,resid_urban,,,
AH,Anhui,2020,SSP2,0.031895659,d1,resid_urban,,,
AH,Anhui,2020,SSP1,0.032357231,d1,resid_urban,,,
AH,Anhui,2020,SSP5,0.032558958,d1,resid_urban,,,
AH,Anhui,2020,SSP5,0.282929486,d10,resid_urban,,,
AH,Anhui,2020,SSP1,0.284487073,d10,resid_urban,,,
AH,Anhui,2020,SSP2,0.287956013,d10,resid_urban,,,
AH,Anhui,2020,SSP3,0.290456829,d10,resid_urban,,,
AH,Anhui,2020,SSP4,0.29315662,d10,resid_urban,,,
AH,Anhui,2020,SSP4,0.046925137,d2,resid_urban,,,
AH,Anhui,2020,SSP3,0.04740039,d2,resid_urban,,,
AH,Anhui,2020,SSP2,0.047827847,d2,resid_urban,,,
AH,Anhui,2020,SSP1,0.048419278,d2,resid_urban,,,
AH,Anhui,2020,SSP5,0.048679455,d2,resid_urban,,,
AH,Anhui,2020,SSP4,0.056466776,d3,resid_urban,,,
AH,Anhui,2020,SSP3,0.056957921,d3,resid_urban,,,
AH,Anhui,2020,SSP2,0.057402636,d3,resid_urban,,,
AH,Anhui,2020,SSP1,0.058018303,d3,resid_urban,,,
AH,Anhui,2020,SSP5,0.058290431,d3,resid_urban,,,
AH,Anhui,2020,SSP4,0.064985312,d4,resid_urban,,,
AH,Anhui,2020,SSP3,0.065461502,d4,resid_urban,,,
AH,Anhui,2020,SSP2,0.065895666,d4,resid_urban,,,
AH,Anhui,2020,SSP1,0.066497089,d4,resid_urban,,,
AH,Anhui,2020,SSP5,0.066764213,d4,resid_urban,,,
AH,Anhui,2020,SSP4,0.073587797,d5,resid_urban,,,
AH,Anhui,2020,SSP3,0.074025305,d5,resid_urban,,,
