# File: urban_pop_share_province.csv
# Title: Urban population fraction in China provinces
# Units: NA
# Description: Urban population fraction in China provinces
# Source: China Statistical Yearbook 2018 Table 2-7, https://springernature.figshare.com/articles/dataset/Projected_provincial_urbanization_rate_for_China/9229841?backTo=%2Fcollections%2FProvincial_and_gridded_population_projection_for_China_under_shared_socioeconomic_pathways_from_2010_to_2100%2F4605713&file=16809551
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
province.name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Beijing,0.525081515,0.531883342,0.529176755,0.531907266,0.538370441,0.539581115,0.540267286,0.54962708,0.568832906,0.576246821,0.580178416,0.581818182,0.586315789,0.590673575,0.597349643,0.604085603,0.608404967,0.612629595,0.617674419,0.73480663,0.73857404,0.743194192,0.747302158,0.752,0.756294461,0.760600286,0.764758065,0.76886641,0.77290805,0.775447345,0.780593459,0.785553682,0.790510849,0.795337308,0.836215865,0.843327008,0.845009186,0.849026549,0.850053763,0.859594546,0.862,0.862,0.863,0.8635,0.865,0.8714875,0.884559813,0.89070928,0.895756797,0.900597214,0.90523665,0.909681264,0.913937235,0.918010733,0.921907899,0.925634829,0.929197552,0.932602019,0.935854085,0.938959505,0.941923915,0.944752831,0.947451636,0.950025579,0.952479767,0.954819165,0.957048589,0.959172708,0.961196039,0.963122952,0.964957668,0.966704259,0.968366649,0.969948619,0.971453808,0.972885714,0.974247698,0.975542987,0.97677468,0.977945745,0.979059028,0.980117256,0.981123039,0.982078874,0.982987149,0.983850149,0.984670054,0.985448949,0.986188825,0.986891581,0.98755903,0.9881929,0.988794841,0.989366424,0.989909148,0.990424441,0.990913661,0.991378104,0.991819004,0.992237533,0.992634811,0.993011899,0.993369809,0.993709505,0.994031901,0.994337868,0.994628233,0.994903785,0.99516527,0.995413401,0.995648852,0.995872267,0.996084255,0.996285397,0.996476244,0.996657318,0.996829116,0.996992112,0.997146753,0.997293466,0.997432654,0.997564701,0.997689973,0.997808814,0.997921555,0.998028506,0.998129964,0.99822621,0.998317511,0.99840412
Tianjin,0.482212843,0.487645446,0.486982482,0.484627493,0.48940045,0.489087049,0.487031296,0.494912118,0.514687187,0.524262251,0.527080703,0.529997032,0.534286697,0.54943936,0.553789761,0.548547799,0.548646725,0.556935176,0.559183434,0.560392496,0.561887627,0.562938018,0.564381582,0.565982438,0.567740061,0.571156672,0.5727495,0.576042162,0.580852139,0.583886142,0.585592683,0.588803656,0.593671706,0.596396976,0.598737371,0.60179789,0.605088103,0.607171241,0.780028661,0.7955,0.805,0.8155,0.8201,0.8227,0.8264,0.829461809,0.834399595,0.839222124,0.843930482,0.848525843,0.853009464,0.857382677,0.861646883,0.865803546,0.869854189,0.873800388,0.877643763,0.881385979,0.885028733,0.888573758,0.892022812,0.895377675,0.898640146,0.901812039,0.904895178,0.907891393,0.910802518,0.91363039,0.916376839,0.919043693,0.921632771,0.924145881,0.92658482,0.928951368,0.931247291,0.933474334,0.935634226,0.937728669,0.939759349,0.941727922,0.943636024,0.945485262,0.947277219,0.949013449,0.950695478,0.952324806,0.953902901,0.955431204,0.956911127,0.95834405,0.959731328,0.961074281,0.962374202,0.963632356,0.964849975,0.966028264,0.967168399,0.968271527,0.969338765,0.970371203,0.971369903,0.9723359,0.9732702,0.974173785,0.975047607,0.975892595,0.976709653,0.977499656,0.978263459,0.979001891,0.979715758,0.98040584,0.9810729,0.981717673,0.982340877,0.982943207,0.983525336,0.984087919,0.984631592,0.985156968,0.985664646,0.986155204,0.986629203,0.987087186,0.98752968,0.987957196,0.988370228,0.988769255,0.989154742,0.989527137
Hebei,0.077124998,0.081133838,0.085331784,0.089725727,0.094322593,0.09912932,0.104152831,0.1094,0.114877621,0.120592367,0.126550755,0.132759099,0.139223466,0.145949627,0.152943003,0.160208618,0.167751033,0.175574297,0.183681885,0.192076636,0.198282382,0.204637844,0.211143366,0.217799067,0.224604836,0.231560313,0.238664888,0.245917682,0.253317547,0.260863051,0.28443429,0.30924429,0.335204609,0.358349244,0.376879288,0.387648594,0.402563733,0.418944055,0.430054023,0.444954128,0.456,0.468,0.4812,0.4933,0.5133,0.528686964,0.541719695,0.554269086,0.566318728,0.577856953,0.588876598,0.599374701,0.609352163,0.61881337,0.627765802,0.636219633,0.644187339,0.651683313,0.6587235,0.665325061,0.671506059,0.677285176,0.682681461,0.687714108,0.692402263,0.696764863,0.700820499,0.704587301,0.708082848,0.711324102,0.714327352,0.717108178,0.719681428,0.722061207,0.724260872,0.726293039,0.728169598,0.729901726,0.73149991,0.732973974,0.734333101,0.735585868,0.736740269,0.737803749,0.738783233,0.739685153,0.740515483,0.741279761,0.741983119,0.742630309,0.743225729,0.743773447,0.744277222,0.744740526,0.745166565,0.745558299,0.745918458,0.74624956,0.746553927,0.746833698,0.747090843,0.74732718,0.747544381,0.747743984,0.747927408,0.748095956,0.74825083,0.748393134,0.748523883,0.748644012,0.748754382,0.748855782,0.748948939,0.749034521,0.749113143,0.749185369,0.74925172,0.749312671,0.749368661,0.749420094,0.74946734,0.749510739,0.749550604,0.749587223,0.74962086,0.749651757,0.749680137,0.749706205,0.749730149,0.749752143
Shanxi,0.178146369,0.183860575,0.185317597,0.186841305,0.18739076,0.18896357,0.189118761,0.1918,0.1981,0.203,0.2061,0.2147,0.2232,0.2321,0.2415,0.2516,0.2617,0.2718,0.2827,0.289,0.2906,0.2927,0.2954,0.2982,0.3011,0.3041,0.3071,0.3103,0.3135,0.3588,0.350870973,0.380895707,0.388101222,0.396288534,0.421079456,0.430098828,0.440307268,0.45112297,0.45982914,0.4805,0.4968,0.5126,0.5256,0.5379,0.5503,0.545605186,0.555162988,0.564425868,0.573388469,0.582047011,0.590399217,0.598444222,0.606182486,0.613615688,0.620746622,0.627579097,0.634117824,0.640368315,0.64633678,0.652030026,0.657455365,0.662620525,0.667533564,0.672202794,0.676636707,0.680843916,0.684833088,0.688612898,0.692191977,0.695578876,0.698782023,0.701809699,0.704670009,0.707370859,0.70991994,0.712324713,0.714592397,0.716729964,0.71874413,0.720641353,0.722427833,0.724109511,0.725692072,0.727180946,0.728581318,0.729898127,0.731136075,0.732299634,0.733393053,0.734420365,0.735385393,0.736291761,0.737142901,0.73794206,0.738692307,0.739396544,0.740057512,0.740677799,0.741259844,0.74180595,0.742318288,0.742798902,0.74324972,0.743672555,0.744069116,0.744441008,0.744789745,0.745116747,0.745423353,0.745710818,0.745980325,0.746232983,0.746469835,0.746691861,0.746899981,0.747095059,0.747277906,0.747449283,0.747609905,0.747760442,0.747901525,0.748033744,0.748157652,0.74827377,0.748382586,0.748484556,0.748580109,0.748669648,0.74875355,0.748832169
Inner Mongolia,0.242379421,0.249110986,0.247471383,0.245543045,0.218251913,0.250056523,0.250709082,0.217999342,0.259207258,0.230802025,0.233958695,0.291100124,0.291298609,0.425016306,0.433602857,0.456804038,0.486111111,0.493719853,0.49747915,0.361202312,0.369722502,0.370298196,0.372603476,0.375713338,0.382201016,0.384635394,0.389388141,0.399462664,0.409754858,0.421977744,0.435373291,0.440553267,0.447386115,0.458605939,0.472008046,0.486393847,0.501496881,0.51715138,0.526037429,0.555,0.5662,0.5774,0.5871,0.5951,0.603,0.608407112,0.618094533,0.627535543,0.636724825,0.645658128,0.654332237,0.662744926,0.670894919,0.678781836,0.686406139,0.693769076,0.700872623,0.707719423,0.714312727,0.720656337,0.726754543,0.732612068,0.738234014,0.743625807,0.74879315,0.753741971,0.758478382,0.763008633,0.767339079,0.771476139,0.775426269,0.779195924,0.782791542,0.786219511,0.789486153,0.792597703,0.795560292,0.798379938,0.801062527,0.803613807,0.806039378,0.80834469,0.810535028,0.81261552,0.814591126,0.816466637,0.81824668,0.819935713,0.821538027,0.82305775,0.824498847,0.825865122,0.827160224,0.828387648,0.82955074,0.830652701,0.83169659,0.83268533,0.833621711,0.834508394,0.835347917,0.836142701,0.836895049,0.837607155,0.838281109,0.838918896,0.839522406,0.840093435,0.84063369,0.841144793,0.841628284,0.842085625,0.842518203,0.842927337,0.843314275,0.843680203,0.844026245,0.844353465,0.844662875,0.844955432,0.845232043,0.845493567,0.845740819,0.845974569,0.846195549,0.846404449,0.846601925,0.846788596,0.846965049,0.84713184
Liaoning,0.278921334,0.284173343,0.28745266,0.282766879,0.282754418,0.309272123,0.306726457,0.317324691,0.338367703,0.3547462,0.364639321,0.373051225,0.380270047,0.395896033,0.407487792,0.404991948,0.410908128,0.416361735,0.419246646,0.419964258,0.422696116,0.427993936,0.435852373,0.441726978,0.445215667,0.448607345,0.452293353,0.455501222,0.457470144,0.459975816,0.462503014,0.467870036,0.471888515,0.478312964,0.587064677,0.589791618,0.591903211,0.600463499,0.600552868,0.621028752,0.6405,0.6565,0.6645,0.6705,0.6735,0.666543709,0.672496094,0.678305097,0.683970929,0.689494034,0.694875078,0.700114936,0.705214679,0.710175561,0.714999004,0.719686587,0.724240034,0.728661199,0.732952054,0.737114681,0.741151255,0.745064037,0.748855362,0.752527626,0.756083282,0.759524828,0.762854795,0.766075744,0.769190255,0.772200922,0.775110343,0.777921118,0.780635838,0.783257086,0.785787426,0.788229402,0.790585532,0.792858307,0.795050184,0.797163587,0.799200901,0.801164471,0.803056599,0.804879547,0.806635526,0.808326705,0.809955204,0.811523094,0.813032398,0.814485088,0.815883088,0.817228273,0.818522464,0.819767437,0.820964917,0.822116579,0.823224051,0.824288912,0.825312695,0.826296883,0.827242918,0.828152193,0.829026059,0.829865822,0.830672745,0.831448053,0.832192926,0.832908506,0.833595898,0.834256166,0.83489034,0.835499413,0.836084344,0.836646056,0.837185443,0.837703362,0.838200645,0.838678088,0.839136464,0.839576512,0.839998947,0.840404458,0.840793707,0.841167332,0.841525947,0.841870142,0.842200487,0.842517527,0.842821791,0.843113783
Jilin,0.308652005,0.312304125,0.315979708,0.319678441,0.3234,0.32714405,0.330910246,0.334698233,0.338507643,0.342338101,0.34618922,0.350060601,0.353951838,0.357862513,0.361792199,0.365740459,0.369706846,0.373690905,0.37769217,0.381710167,0.385744413,0.389794416,0.393859676,0.397939685,0.402033925,0.406141873,0.410262997,0.414396758,0.41854261,0.4227,0.442921586,0.463334144,0.483870329,0.504461135,0.525036819,0.529562982,0.531501832,0.532187271,0.533211679,0.533498626,0.534,0.537,0.542,0.5481,0.5531,0.551661456,0.554300585,0.556916889,0.559510236,0.562080504,0.564627582,0.567151367,0.569651766,0.572128697,0.574582085,0.577011865,0.579417981,0.581800385,0.58415904,0.586493915,0.588804987,0.591092245,0.593355682,0.595595302,0.597811113,0.600003134,0.60217139,0.604315913,0.606436743,0.608533926,0.610607515,0.61265757,0.614684156,0.616687345,0.618667215,0.62062385,0.62255734,0.624467779,0.626355267,0.628219909,0.630061816,0.631881103,0.633677888,0.635452296,0.637204455,0.638934496,0.640642557,0.642328776,0.643993297,0.645636266,0.647257834,0.648858154,0.650437381,0.651995675,0.653533196,0.655050109,0.65654658,0.658022777,0.659478871,0.660915034,0.662331441,0.663728268,0.665105691,0.66646389,0.667803045,0.669123338,0.67042495,0.671708066,0.672972868,0.674219544,0.675448277,0.676659254,0.677852662,0.679028687,0.680187517,0.681329339,0.682454341,0.683562709,0.684654631,0.685730295,0.686789886,0.687833592,0.688861599,0.689874092,0.690871257,0.691853279,0.69282034,0.693772625,0.694710316,0.695633595
Heilongjiang,0.356539281,0.369868547,0.36684879,0.365964064,0.364693553,0.362224283,0.363938161,0.358799847,0.372834285,0.384761845,0.393696169,0.399073481,0.410405324,0.419693786,0.429103366,0.438788774,0.448598131,0.458713214,0.469088319,0.479593565,0.490405594,0.501413525,0.512692308,0.52421024,0.536584707,0.538492489,0.539002933,0.539994699,0.542009494,0.51941161,0.523799528,0.525701547,0.525897772,0.527798156,0.530994764,0.534998692,0.538990586,0.553986928,0.554887611,0.556607711,0.565,0.569,0.574,0.5801,0.588,0.580930782,0.584413226,0.587843961,0.591222927,0.594550103,0.597825503,0.601049179,0.604221217,0.607341737,0.610410891,0.613428863,0.616395867,0.619312145,0.622177968,0.624993632,0.627759458,0.630475792,0.633143002,0.635761477,0.638331627,0.64085388,0.643328683,0.6457565,0.64813781,0.650473105,0.652762894,0.655007695,0.65720804,0.65936447,0.661477536,0.663547798,0.665575822,0.667562182,0.669507459,0.671412237,0.673277106,0.675102658,0.67688949,0.678638199,0.680349385,0.682023649,0.683661591,0.685263812,0.686830911,0.688363486,0.689862135,0.691327451,0.692760026,0.694160447,0.695529301,0.696867166,0.69817462,0.699452235,0.700700578,0.701920211,0.70311169,0.704275566,0.705412384,0.706522683,0.707606995,0.708665847,0.709699758,0.710709241,0.711694802,0.712656941,0.713596149,0.714512912,0.715407707,0.716281004,0.717133268,0.717964954,0.71877651,0.719568379,0.720340993,0.72109478,0.721830158,0.72254754,0.723247329,0.723929925,0.724595715,0.725245083,0.725878406,0.726496051,0.727098379,0.727685746
Shanghai,0.604694325,0.601714109,0.595041168,0.596202202,0.592883944,0.589410894,0.582077738,0.58749135,0.607151059,0.612662666,0.614942726,0.619486493,0.624668135,0.631443085,0.638100091,0.651254128,0.658105978,0.664541119,0.670484547,0.673596447,0.675792418,0.679052561,0.690069049,0.701018625,0.70825361,0.714595647,0.722373723,0.729882594,0.7384169,0.746169503,0.752799253,0.763593983,0.776131528,0.811600204,0.844647347,0.857625285,0.868064923,0.874568668,0.882530163,0.893040632,0.893,0.893,0.896,0.896,0.876,0.905863868,0.907956628,0.910007485,0.912017075,0.913986031,0.915914986,0.917804572,0.919655421,0.921468158,0.92324341,0.924981799,0.926683942,0.928350457,0.929981953,0.931579036,0.93314231,0.934672371,0.936169812,0.937635218,0.939069171,0.940472247,0.941845014,0.943188036,0.944501871,0.945787068,0.947044171,0.948273719,0.949476242,0.950652264,0.951802301,0.952926864,0.954026456,0.955101573,0.956152703,0.957180328,0.958184922,0.959166953,0.96012688,0.961065157,0.961982229,0.962878535,0.963754505,0.964610565,0.965447131,0.966264613,0.967063414,0.96784393,0.96860655,0.969351657,0.970079625,0.970790823,0.971485614,0.972164351,0.972827384,0.973475055,0.974107699,0.974725645,0.975329218,0.975918732,0.9764945,0.977056825,0.977606005,0.978142335,0.9786661,0.979177581,0.979677054,0.980164789,0.98064105,0.981106096,0.98156018,0.982003551,0.982436453,0.982859123,0.983271795,0.983674696,0.984068051,0.984452078,0.984826991,0.985192999,0.985550308,0.985899118,0.986239626,0.986572023,0.986896497,0.987213232
Jiangsu,0.125380301,0.127829276,0.128882326,0.13068437,0.131556816,0.133319066,0.133648322,0.137251642,0.148360218,0.151861089,0.154381522,0.156616751,0.200301875,0.226236059,0.256885031,0.328469354,0.453887839,0.498989635,0.534507371,0.215599462,0.232000234,0.23783424,0.240205992,0.246848533,0.273009417,0.273200603,0.29850053,0.314999318,0.349375375,0.415000737,0.426000555,0.446999514,0.467699728,0.4818,0.505,0.519,0.531999475,0.543018303,0.549916968,0.6058,0.619,0.63,0.6411,0.6521,0.6652,0.681897768,0.653423741,0.664386212,0.674686035,0.684339772,0.693367358,0.701791438,0.709636739,0.71692951,0.723697002,0.729967024,0.735767551,0.741126393,0.746070922,0.750627847,0.754823035,0.758681377,0.762226687,0.765481635,0.768467705,0.771205177,0.773713126,0.776009434,0.778110821,0.78003288,0.781790115,0.783395994,0.784862996,0.786202669,0.787425676,0.788541854,0.789560267,0.790489254,0.791336481,0.79210899,0.792813241,0.79345516,0.794040173,0.794573252,0.795058947,0.795501418,0.795904469,0.796271579,0.796605922,0.7969104,0.79718766,0.797440118,0.79766998,0.797879257,0.798069783,0.798243229,0.798401121,0.798544849,0.798675677,0.798794761,0.798903152,0.799001807,0.799091598,0.799173321,0.799247699,0.79931539,0.799376996,0.799433061,0.799484085,0.799530519,0.799572776,0.799611232,0.799646227,0.799678074,0.799707055,0.799733427,0.799757427,0.799779266,0.799799139,0.799817224,0.799833681,0.799848656,0.799862283,0.799874684,0.799885967,0.799896235,0.799905579,0.799914081,0.799921818,0.799928858
