# File: UN_popTot.csv
# Title: UN population 1950-2022 and projected 2022-2100
# Units: thousands
# Description: UN population data by country historical and projected through 2100 - Historical data updated to July 1st 2022
# Source: https://population.un.org/wpp/ (Updated on 09/14/2022)
# Column types: ccccin 
# ----------
Country,Region,Sex,Scenario,Year,Value
BDI,eaf,M+F,Estimates,1950,2254.113
BDI,eaf,M+F,Estimates,1951,2303.248
BDI,eaf,M+F,Estimates,1952,2351.535
BDI,eaf,M+F,Estimates,1953,2399.099
BDI,eaf,M+F,Estimates,1954,2446.758
BDI,eaf,M+F,Estimates,1955,2495.193
BDI,eaf,M+F,Estimates,1956,2544.258
BDI,eaf,M+F,Estimates,1957,2593.84
BDI,eaf,M+F,Estimates,1958,2643.153
BDI,eaf,M+F,Estimates,1959,2693.642
BDI,eaf,M+F,Estimates,1960,2746.628
BDI,eaf,M+F,Estimates,1961,2815.972
BDI,eaf,M+F,Estimates,1962,2887.398
BDI,eaf,M+F,Estimates,1963,2948.133
BDI,eaf,M+F,Estimates,1964,3033.221
BDI,eaf,M+F,Estimates,1965,3118.134
BDI,eaf,M+F,Estimates,1966,3193.378
BDI,eaf,M+F,Estimates,1967,3274.493
BDI,eaf,M+F,Estimates,1968,3352.397
BDI,eaf,M+F,Estimates,1969,3424.429
BDI,eaf,M+F,Estimates,1970,3497.834
BDI,eaf,M+F,Estimates,1971,3582.07
BDI,eaf,M+F,Estimates,1972,3579.195
BDI,eaf,M+F,Estimates,1973,3571.45
BDI,eaf,M+F,Estimates,1974,3660.032
BDI,eaf,M+F,Estimates,1975,3749.232
BDI,eaf,M+F,Estimates,1976,3830.889
BDI,eaf,M+F,Estimates,1977,3927.428
BDI,eaf,M+F,Estimates,1978,4039.41
BDI,eaf,M+F,Estimates,1979,4137.437
BDI,eaf,M+F,Estimates,1980,4312.834
BDI,eaf,M+F,Estimates,1981,4490.743
BDI,eaf,M+F,Estimates,1982,4602.271
BDI,eaf,M+F,Estimates,1983,4726.506
BDI,eaf,M+F,Estimates,1984,4842.268
BDI,eaf,M+F,Estimates,1985,4948.024
BDI,eaf,M+F,Estimates,1986,5041.706
BDI,eaf,M+F,Estimates,1987,5157.769
BDI,eaf,M+F,Estimates,1988,5271.84
BDI,eaf,M+F,Estimates,1989,5373.697
BDI,eaf,M+F,Estimates,1990,5483.793
BDI,eaf,M+F,Estimates,1991,5594.828
BDI,eaf,M+F,Estimates,1992,5743.085
BDI,eaf,M+F,Estimates,1993,5555.22
