scenario,region,sector,subsector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,CO2 removal,dac,hightemp DAC elec,airCO2,0,0,0,0,0.00E+00,2.11E-09,3.64E-09,6.03E-09,1.63E-08,4.62E-08,1.28E-07,1.02E-07,2.41E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Mt
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,CO2 removal,dac,hightemp DAC elec,elect_td_ind,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,1.33E-10,3.59E-10,1.02E-09,2.83E-09,2.24E-09,5.29E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,CO2 removal,dac,lowtemp DAC heatpump,airCO2,0,0,0,0,0.00E+00,1.08E-09,1.80E-09,3.15E-09,9.05E-09,2.60E-08,7.15E-08,5.84E-08,1.43E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Mt
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,CO2 removal,dac,lowtemp DAC heatpump,elect_td_ind,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.82E-10,5.21E-10,1.44E-09,1.17E-09,2.86E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 central production,biomass,biomass to H2,elect_td_ind,0,0,0,0,1.34E-06,1.78E-06,5.96E-06,8.83E-06,8.68E-06,7.58E-06,5.71E-06,5.31E-07,4.48E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 central production,biomass,biomass to H2,regional biomass,0,0,0,0,1.00E-04,1.33E-04,4.46E-04,6.61E-04,6.49E-04,5.67E-04,4.27E-04,3.98E-05,4.01E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 central production,biomass,biomass to H2,regional natural gas,0,0,0,0,2.07E-06,2.62E-06,7.53E-06,1.04E-05,1.01E-05,8.75E-06,6.55E-06,6.02E-07,4.99E-10,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,0,0,0,0,0.00E+00,1.09E-07,5.66E-07,2.53E-06,1.51E-05,5.43E-05,1.17E-04,1.80E-04,7.85E-04,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 central production,biomass,biomass to H2 CCS,regional biomass,0,0,0,0,0.00E+00,8.17E-06,4.23E-05,1.90E-04,0.00112989,0.004072924,0.008749269,0.013530067,0.058940232,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 central production,biomass,biomass to H2 CCS,regional natural gas,0,0,0,0,0,1.42E-07,6.54E-07,2.60E-06,1.34E-05,4.60E-05,9.85E-05,1.53E-04,6.75E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 central production,coal,coal chemical CCS,elect_td_ind,0,0,0,0,0.00E+00,2.20E-05,1.49E-04,2.83E-04,4.12E-04,5.62E-04,6.51E-04,7.51E-04,9.67E-04,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 central production,coal,coal chemical CCS,regional coal,0,0,0,0,0,9.11E-04,0.00616801,0.011715767,0.017067065,0.023293604,0.026998232,0.031181523,0.040157141,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 central production,electricity,electrolysis,elect_td_ind,0,0,0,0,2.18E-05,1.24E-05,8.53E-05,8.37E-05,7.57E-05,8.97E-05,6.91E-05,7.90E-05,2.08E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
