"region","sector","Year","co2.emiss","scenario"
"AH","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"BJ","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"CQ","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"FJ","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GD","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GS","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GX","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GZ","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HA","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HB","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HE","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HI","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HL","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HN","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JL","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JS","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JX","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"LN","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NM","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NX","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"QH","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SC","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SD","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SH","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SN","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SX","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"TJ","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XJ","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XZ","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"YN","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"ZJ","agricultural energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"AH","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"BJ","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"CQ","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GS","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GZ","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HA","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HB","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HE","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HL","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HN","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JL","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JS","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JX","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"LN","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NM","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NX","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"QH","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SC","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SD","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SH","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SN","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SX","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"TJ","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XJ","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"YN","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"ZJ","airCO2","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"China","backup_electricity","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"AH","base load generation","1990",3.7215743,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"BJ","base load generation","1990",2.129954,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"CQ","base load generation","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"FJ","base load generation","1990",1.4158353,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GD","base load generation","1990",9.09396,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GS","base load generation","1990",1.5655011,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GX","base load generation","1990",1.0803284,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GZ","base load generation","1990",1.66299432,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HA","base load generation","1990",5.1019347,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HB","base load generation","1990",2.112525,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HE","base load generation","1990",7.1197198,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HI","base load generation","1990",0.276424,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HL","base load generation","1990",5.4187126,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HN","base load generation","1990",1.6556528,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JL","base load generation","1990",2.785228,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JS","base load generation","1990",8.326994,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JX","base load generation","1990",1.2877169,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"LN","base load generation","1990",7.30300157,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NM","base load generation","1990",3.4658302,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NX","base load generation","1990",0.98525766,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"QH","base load generation","1990",0.2053542,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SC","base load generation","1990",3.5123622,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SD","base load generation","1990",9.42433853,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SH","base load generation","1990",5.925043,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SN","base load generation","1990",2.1332578,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SX","base load generation","1990",5.94938,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"TJ","base load generation","1990",2.36250618,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XJ","base load generation","1990",1.0673727,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XZ","base load generation","1990",0.0186187,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"YN","base load generation","1990",0.989081,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"ZJ","base load generation","1990",3.767902,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"AH","cement","1990",1.36541,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"BJ","cement","1990",0.713932,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"CQ","cement","1990",0.729326,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
