# A mapping of USA states to GCAM EPSA USA electricity grid regions,
region,grid_region
AK,Alaska grid
CA,California grid
IN,Central East grid
KY,Central East grid
MI,Central East grid
OH,Central East grid
WV,Central East grid
IL,Central Northeast grid
MO,Central Northeast grid
WI,Central Northeast grid
IA,Central Northwest grid
MN,Central Northwest grid
ND,Central Northwest grid
NE,Central Northwest grid
SD,Central Northwest grid
KS,Central Southwest grid
OK,Central Southwest grid
FL,Florida grid
HI,Hawaii grid
DC,Mid-Atlantic grid
DE,Mid-Atlantic grid
MD,Mid-Atlantic grid
NJ,Mid-Atlantic grid
PA,Mid-Atlantic grid
CT,New England grid
MA,New England grid
ME,New England grid
NH,New England grid
RI,New England grid
VT,New England grid
NY,New York grid
ID,Northwest grid
MT,Northwest grid
NV,Northwest grid
OR,Northwest grid
UT,Northwest grid
WA,Northwest grid
AL,Southeast grid
AR,Southeast grid
GA,Southeast grid
LA,Southeast grid
MS,Southeast grid
NC,Southeast grid
SC,Southeast grid
TN,Southeast grid
VA,Southeast grid
AZ,Southwest grid
CO,Southwest grid
NM,Southwest grid
WY,Southwest grid
TX,Texas grid
